,index,0,1,2,3,4,Answer,Words
0,0.0,Propanone can be prepared from ethyne by,"(a) passing a mixture of ethyne and steam over a catalyst, magnesium at 420°C",(b) passing a mixture of ethyne and ethanol over a catalyst zinc chromite,(c) boiling ethyne with water in the presence of HgSO4 and H2SO4,(d) treating ethyne with iodine and NaOH,(c) (i) and (iii),soda
1,1.0,"The oxidation of toluene to benzaldehyde by chromyl, chloride is called",(a) Etard reaction,(b) Riemer-Tiemann reaction,(c) Wurtz reaction,(d) Cannizzaro’s reaction,(a) Etard reaction,among
2,2.0,There is a large difference in the boiling points of butanal and butanal-1-oldueto,(a) intermolecular hydrogen bonding in butan-1-ol,(b) intermolecular hydrogen bonding in butanal,(c) higher molecular mass of butan-1-ol,(d) resonance shown by butanal,(a) intermolecular hydrogen bonding in butan-1-ol,hydrolysis
3,3.0,The addition of HCN to carbonyl compounds is an example of,(a) nucleophilic addition,(b) electrophilic addition,(c) free radical addition,(d) electromeric addition,(a) nucleophilic addition,reactive
4,4.0,Aldehydes other than formaldehyde react with Grignard’s reagent to give addition products which on hydrolysis give,(a) tertiary alcohols,(b) secondary alcohols,(c) primary alcohols,(d) carboxylic acids,(b) secondary alcohols,carbonyl
5,5.0,Which of the following will not give aldol condensation?,(a) Phenyl acetaldehyde,(b) 2-Methylpentanal,(c) Benzaldehyde,(d) 1-Phenylpropanone,(c) Benzaldehyde,alcohol
6,6.0,Which of the following compounds does not react with NaHSO3?,(a) HCHO,(b) C6H5COCH3,(c) CH3COCH3,(d) CH3CHO,(b) C6H5COCH3,clemmensen
7,7.0,The product of hydrolysis of ozonide of 1-butene are,(a) ethanol only,(b) ethanal and methanal,(c) propanal and methanal,(d) methanal only,(c) CH3COCH3,four
8,8.0,α-Hydroxypropanoic acid can be preapred from ethanal by following the steps given in the sequence,(a) Treat with HCN followed by acidic hydrolysis,(b) Treat with NaHSO3 followed by reaction with Na2CO3,(c) Treat with H2SO4 followed by hydrolysis,(d) Treat with K2Cr2O7 in presence of sulphuric acid,(a) CH3MgCl,sulphate
9,9.0,Which of the following compounds will undergo Cannizzaro reaction?,(a) CH3CHO,(b) CH3COCH3,(c) C6H5CHO,(d) C6H5CH2CHO,(c) C6H5CHO,obtained
10,10.0,Benzoyl Chloride on reduction with H2/Pd-BaSO4 produces,(a) benzoic acid,(b) benzyl alochol,(c) benzoyl sulphate,(d) benzaldehyde,(d) benzaldehyde,reagent
11,11.0,What is the test to differentiate between penta-2-one and pentan-3-one?,(a) Iodoform test,(b) Benedict’s test,(c) Fehling’s test,(d) Aldol condensation test,(a) Iodoform test,mass
12,12.0,Which of the following does not undergoCannizzarro’s reaction?,(a) Benzaldehyde,(b) 2-Methylpropanal,(c) p-Methoxybenzaldehyde,"(d) 2, 2-Dimethylpropanal",(b) 2-Methylpropanal,naoh
13,13.0,Hydrocarbons are formed when aldehydes and ketones are reacted with amalgamated zinc and conc. HCl. The reaction is called,(a) Cannizzaro reaction,(b) Clemmensen reduction,(c) Rosenmund reduction,(d) Wolff-Kishner reduction,(b) 2 and 5 only,pentaone
14,14.0,"In order of reactivity of CH3CHO, CH3COC2H5 and CH3COCH3 is",(a) CH3CHO > CH3COCH3 > CH3COC2H5,(b) C2H5COCH3 > CH3COCH3 > CH3CHO,(c) CH3COCH3 > CH3CHO > C2H5COCH3,(d) CH3COCH3 > C2H5COCH3 > CH3CHO,(c) propanone,differentiate
