,index,0,1,2,3,4,Answer,Words
0,0.0,Nitrogen atom of amino group is ………. hybridised.,(a) sp,(b) sp2,(c) sp3,(d) sp3d,(c) sp3,brroh
1,1.0,C3H8N cannot represent,(a) 1° ammine,(b) 2° ammine,(c) 3° ammine,(d) quartemary ammonium salt,(b) IV,among
2,2.0,Identify the correct IUPAC name,(a) (CH3CH2)2NCH3 = N-Ethyl-N-methylethanamine,(b) (CH3)3CNH2 = 2-methylpropan-2-amine,(c) CH3NHCH (CH3)2 = N-Methylpropan-2-amine,"(d) (CH3)2CHNH2 = 2, 2-Dimethyl-N-propanamine",(a) (CH3CH2)2NCH3 = N-Ethyl-N-methylethanamine,used
3,3.0,The most convenient method to prepare primary (i Amine) amine containing one carbon atom less is,(a) Gabriel phthalmidie synthesis,(b) Reductive amination of aldehydes,(c) Hofmann bromamide reaction,(d) Reduction of isonitriles,(c) Hofmann bromamide reaction,heated
4,4.0,"When excess of ethyl iodide is treated with ammonia, the product is",(a) ethylamine,(b) diethylamine,(c) triethylamine,(d) tetrathylammonium iodide,(b),cyclohexyiamine
5,5.0,Amides may be converted into amines by a reaction named after,(a) Hofmann Bromide,(b) Claisen,(c) Perkin,(d) Kekule,(a) Hofmann Bromide,carbylamine
6,6.0,Reduction of CH3CH2NC with hydrogen in presence of Ni or Pt as catalvst gives,(a) CH3CH2NH2,(b) CH3CH2NHCH3,(c) CH3CH2NHCH2CH3,(d) (CH3)3N,(b) CH3CH2NHCH3,amino
7,7.0,Secondary amines can be prepared by,(a) reduction of nitro compounds,(b) oxidation of N-substituted amides,(c) reduction of isonitriles,(d) reduction of nitriles,(c) reduction of isonitriles,obtained
8,8.0,Which of the following amides will give ethylamine on reaction with sodium hypobromide?,(a) Butanamide,(b) Propanamide,(c) Acetamide,(d)Benzamide,(b) Propanamide,reagent
9,9.0,Benzoic acid is treated with SOCl2 and the product (X) formed is reacted with ammonia to give (Y). (Y) on reaction with Br2 and KOH gives (Z). (Z) in the reaction is,(a) aniline,(b) chlorobenzene,(c) benzamide,(d) benzoyl chloride,(a) aniline,chmh
10,10.0,Amine that cannot be prepared by Gabricl-Phthalmidie synthesis is,(a) aniline,(b) benzyl amine,(c) methyl amine,(d) iso-butylamine,(c) LiAlH4 ether,nitrite
11,11.0,Tertiary amines have lowest boiling points amongst isomeric amines because,(a) they have highest molecular mass,(b) they do not form hydrogen bonds,(c) they are more polar in nature,(d) they are most basic in nature,(a) Aniline,mass
12,12.0,Which of the following amines will give carbylatnine reaction?,(a) (C2H5)3N,(b) (C2H5)2NH,(c) C2H5NH2,(d) C3H7NHC2H35,(c) C2H5NH2,become
13,13.0,Primary and secondary amines are distinguished by,(a) Br2/ROH,(b) HClO,(c) HNO2,(d) NH3,(a) CH3CH2CH2NHCOCH3,method
