,index,0,1,2,3,4,Answer,Words
0,0.0,"During acetylation of glucose it needs ,v moles of.acetic anhydride. The value of x would be",(a) 3,(b) 5,(c) 4,(d) 1,(b) 5,hydrolysis
1,1.0,"On oxidation with a mild oxidising agent like Br2/H20, the glucose is oxidized to",(a) saccharic acid,(b) glucaric acid,(c) gluconic acid,(d) valeric acid,(c) gluconic acid,pattern
2,2.0,Invert sugar is,(a) a type of cane sugar,(b) optically inactive form of sugar,(c) mixture of glucose and galactose,(d) mixture of glucose and fructose in equimolar quantities,(d) mixture of glucose and fructose in equimolar quantities,used
3,3.0,Which of the following compounds is found abundatly in nature?,(a) Fructose,(b) Starch,(c) Glucose,(d) Cellulose,(b) Starch or (d) Cellulose,carbohydrate
4,4.0,Glycosidic linkage is an,(a) amide linkage,(b) ester linkage,(c) ether linkage,(d) acetyl linkage,(c) ether linkage,activity
5,5.0,Starch is composed of two polysaccharides which arc,(a) amylopectin and glycogen,(b) amylose and gtycogen,(c) amylose (20%) and amylopectin (80%),(d) cellulose and glycogen,(c) amylose (20%) and amylopectin (80%),dextrorotatory
6,6.0,Which reagent is used to convert glucose into saccharic acid?,(a) Br2/H2O,(b) Nitric acid,(c) Alkaline solution of iodine,(d) Ammonium hydroxide,(b) Nitric acid,amino
7,7.0,Maltose is made up of,(a) two α-D-glucose,(b) normal β-D-glucose,(c) α- and β-D-glucose,(d) fructose,(a) two α-D-glucose,reagent
8,8.0,What is the basic formulae for starch?,(a) (C6H12O6)n,(b) (C6H10O5)n,(c) C12O12O11,(d) (C6H12O4)n,(b) (C6H10O5)n,furanose
9,9.0,Whicn of the following is an example of an aldopentose?,(a) D-Ribose,(b) Glyceraldehyde,(c) Fructose,(d) Erythrose,(a) D-Ribose,exists
10,10.0,Which of the following treatment will convert starch directly into glucose?,(a) Heating with dilute H2SO4,(b) Fermentation by diastase,(c) Fermentation by zymase,(d) Heating with dilute NaOH,(d) Heptanoic acid,many
11,11.0,The general formula of carbohydrates is,(a) CnH2n+1O,(b) CnH2nO,(c) Cx(H2O),"(d) Cn(H2,O)2n",(c) Cx(H2O),pentapolysaccharide
