,index,0,1,2,3,4,Answer,Words
0,0.0,The use of chemicals for therapeutic effect is called,(a) chemotherapy,(b) physiotherapy,(c) angiotherapy,(d) polytherapy,(a) chemotherapy,aspartame
1,1.0,"Some drugs do not bind to the enzyme’s artive site, instead bind to a different site of enzyme. This site is called",(a) allosteric site,(b) substrate site,(c) ionic site,(d) competitive site,(a) allosteric site,added
2,2.0,Drugs that bind to the receptor site and inhibit its natural function are called,(a) agonistic drugs,(b) antagonists drugs,(c) antimicrobial drugs,(d) allosteric drugs,(b) antagonists drugs,among
3,3.0,Barbituric acid and its derivatives are well known as,(a) tranquilizers,(b) antiseptics,(c) analgesics,(d) antipyretics,(a) tranquilizers,benzoate
4,4.0,A drug which acts as antipyretic as analgesic is,(a) chloroquin,(b) penicillin,(c) chlorodiazeposide,(d) 4-acetamidophenol,(d) 4-acetamidophenol,caused
5,5.0,The drugs which are given to the patients suffering from anxiety and metnal tension are known as,(a) tranquilizers,(b) analgesics,(c) antimicrobials,(d) antibiotics,(a) tranquilizers,sweetener
6,6.0,Which of the following can be used as an analgesic without causing addiction?,(a) Morphine,(b) Aspirin,(c) Heroin,(d) Codeine,(b) Aspirin,used
7,7.0,Which of the following will not act as a tranquilizer?,(a) Equanil,(b) Analgin,(c) Meprobamate,(d) Chlordiazepoxide,(b) Analgin,sulphanilamide
8,8.0,Which of the following is a narcotic analgesic?,(a)Ibuprofen,(b) Aspirin,(c) Paracetamol,(d) Morphine,(d) Morphine,decomposes
9,9.0,Antihistamines are not helpful,(a) in curing nasal allergies,(b) in treating rashes caused by itching,(c) in bringing down acute fever,(d) in vasodilation,(c) in bringing down acute fever,alcohol
10,10.0,The main cause of acidity in the stomach is,(a) release of extra gastric acids which decrease the pH level,(b) indigestion and pain in large intestine,(c) increase the pH level in the stomach,(d) release of extra bile juice which increases alkaline medium in stomach,(a) release of extra gastric acids which decrease the pH level,faced
11,11.0,The chemical substances used to bring down body temperature in high fever are known as,(a) analgesics,(b) antipyretics,(c) antihistamines,(d) tranquilizers,(b) antipyretics,substance
