,index,0,1,2,3,4,Answer,Words
0,0.0,The chemistry of lithium is very similar to that of magnesium even though they are placed in different groups. Its reason is:,(a) Both are found together in nature,(b) Both have nearly the same size,(c) Both have similar electronic configuration,(d) The ratio of their charge and size (i.e. charge density) is nearly the same,"(d) The ratio of their charge and size (i.e. charge density) is nearly the same
Explanation:
The chemistry of lithium is very similar to that of magnesium even though they are placed in different groups because of diagonal relationship.",fill
1,1.0,The element with atomic number 35 belongs to,(a) d – Block,(b) f – Block,(c) p – Block,(d) s – Block,"(c) p – Block
Explanation:
The electronic configuration of element with atomic number 35 is [Ar]3d104s2 4p5. The valence electron belongs to p block. Therefore, it is a p-block element.",filled
2,2.0,"The correct order of first ionization potential among following elements, Be, B, C, N and O is",(a) B < Be < C < O < N,(b) B < Be < C < N < O,(c) Be < B < C < N < O,(d) Be < B < C < O < N,"(a) B < Be < C < O < N
Explanation:
The energy required to remove the most loosely bound electron from an isolated gaseous atom is called the ionisation energy. The ionisation potential decreases as the size of the atom decreases. Atoms with fully or partly filled orbitals have high ionisation potential.",among
3,3.0,Representative elements are those which belong to,(a) p and d – Block,(b) s and d – Block,(c) s and p – Block,(d) s and f – Block,"(c) s and p – Block
Explanation:
Elements in which all the inner shells are complete but outer shell is incomplete is known as representative elements i.e. Those elements which have less than 8 electrons in outermost shell are representative.
s and p block elements except inert gas is known as representative elements.",nexplanationnatomic
4,4.0,Which of the following properties generally decreases along a period?,(a) Ionization Energy,(b) Metallic Character,(c) Electron Affinity,(d) Valency.,"(b) Metallic Character
Explanation:
The IE, EA increases along the period. The valency initially increases then decreases. The metallic character decreases along the period.",ascending
5,5.0,On the Paulings electronegativity scale the element next to F is,(a) N,(b) Cl,(c) O,(d) Ne.,"(c) O
Explanation:
Pauling explained electronegativity as the power of an atom in a molecule to attract electrons towards it. When we analyse the trend in periodic table, we can see that the degree of electronegativity decreases while going down the groups, while it increases across the periods. In the case of a covalent bond, based on the bond energies, Pauling calculated the differences in electronegativity between atoms in the bond and assigned a value of 4 to fluorine, which is the most electronegative element, and others were calculated with respect to that value. Hence, on paulings scale, the element next to fluorine is Oxygen.",
6,6.0,"The group number, number of valence electrons, and valency of an element with the atomic number 15, respectively, are:","(a) 16, 5 and 2","(b) 15, 5 and 3","(c) 16, 6 and 3","(d) 15, 6 and 2","(b) 15, 5 and 3
Explanation:
Atomic number (Z) =15 =P → [Ne] 3s² 3p³
Phosphorus belongs to 15th group
Number of valence electrons 3s²3p³ = 5 and valency = 3 in ground state.",mass
7,7.0,Which of the following oxides is amphoteric in character?,(a) SnO2,(b) CO2,(c) SiO2,(d) CaO,"(a) SnO2
Explanation:
CaO is basic; CO2 is acidic; SiO2 is weakly acidic. SnO2 is amphoteric.",size
8,8.0,"In the modern periodic table, the period indicates the value of:",(a) Atomic Number,(b) Atomic Mass,(c) Principal Quantum Number,(d) Azimuthal Quantum Number,"(c) Principal Quantum Number
Explanation:
The periodic table is a tabular arrangement of the chemical elements, organized on the basis of their atomic number (number of protons in the nucleus), electron configurations, and recurring chemical properties.
The value of the principal quantum number (n) for the outermost shell or the valence shell indicates a period in the Modern periodic table.",actinoid
9,9.0,"In the long form of the periodic table, the valence shell electronic configuration of 5s²5p4 corresponds to the element present in:",(a) Group 16 and period 6,(b) Group 17 and period 6,(c) Group 16 and period 5,(d) Group 17 and period 5,"(c) Group 16 and period 5
Explanation:
Tellurium (Te) has 5s²5p4 valence shell configuration. It belongs to group 16 and present in period 5 of the periodic table.",group
