,index,0,1,2,3,4,Answer,Words
0,0.0,"If 96500 coulomb electricity is passed through CuSO4 solution, it will liberate",(a) 63.5 gm of Cu,(b) 31.76 gm of Cu,(c) 96500 gm of Cu,(d) 100 gm of Cu,(b) 31.76 gm of Cu,specific
1,1.0,Fused NaCl on electrolysis gives ………….. on cathode.,(a) Chlroine,(b) Sodium,(c) Sodium amalgam,(d) Hydrogen,(b) Sodium,used
2,2.0,Which of the following is a secondary cell?,(a) Leclanche cell,(b) Lead storage battery,(c) Concentration cell,(d) All of these,(b) +0.35 V,remains
3,3.0,"For a certain redox reaction, E° is positive. This means that","(a) ΔG° is positive, K is greater than 1","(b) ΔG° is positive, K is less than 1","(c) ΔG° is negative, K is greater than 1","(d) ΔG° is negative, K is less than 1","(c) ΔG° is negative, K is greater than 1",easier
4,4.0,"Cell reaction is spontaneous, when",(a) E\(_{red}^{0}\) is negative,(b) ΔG° is negative,(c) E\(_{oxid}^{0}\) is Positive,(d) ΔG° is positive,(b) ΔG° is negative,per
5,5.0,Equilibrium constant K is related to E\(_{cell}^{0}\) and not E\(_{cell}\) because,(a) E\(_{cell}^{0}\) is easier to measure than E\(_{cell}\),(b) E\(_{cell}\) becomes zero at equilibrium point but E\(_{cell}^{0}\) remains constant under all conditions,"(c) at a given temperature, E\(_{cell}\) changes hence value of K can’t be measured",(d) any of the terms E\(_{cell}\) or E\(_{cell}^{0}\) can be used,(b) E\(_{cell}\) becomes zero at equilibrium point but E\(_{cell}^{0}\) remains constant under all conditions,sulphate
6,6.0,"Molar conductivity of 0.15 M solution of KCl at 298 K, if its conductivity of 0.0152 S cm-1 w ill be",(a) 124 Ω-1 cm² mol-1,(b) 204 Ω-1 cm² mol-1,(c) 101 Ω-1 cm² mol-1,(d) 300 Ω-1 cm² mol-1,(c) 101 Ω-1 cm² mol-1,many
7,7.0,Electrical conductance through metals is called metallic or electronic conductance and is due to the movement of electrons. The electronic conductance depends on,(a) the nature and structure of the metal,(b) the number of valence electrons per atom,(c) change in temperature,(d) all of these,(d) all of these,hour
8,8.0,The specific conductivity of N/10 KCl solution at 20°C is 0.0212 ohm-1 cm-1 and the resistance of the cell containing this solution at 20°C is 55 ohm. The cell constant is,(a) 3.324 cm-1,(b) 1.166 cm-1,(c) 2.372 cm-1,(d) 3.682 cm-1,(b) 1.166 cm-1,valence
9,9.0,Faraday’s law of electrolysis is related to,(a) Atomic number of cation,(b) Speed of cation,(c) Speed of anion,(d) Equivalent weight of electrolyte,(d) Equivalent weight of electrolyte,
10,10.0,The molar conductivity is maximum for the solution of concentration,(a) 0.004 M,(b) 0.002 M,(c) 0.005 M,(d) 0.001 M,(d) 0.001 M,area
11,11.0,Units of the properties measured are given below. Which of the properties has been not matched correctly?,(a) Molar conductance = Sm2 mol-1,(b) Cell constant = m-1,(c) Specific conductance of = S m²,(d) Equivalence conductance = S m² (g eq)-1,(c) Specific conductance of = S m²,time
12,12.0,How long would it take to deposit 50 g of Al from an electrolytic cell containing Al2O3 using a current of 105 ampere?,(a) 1.54 h,(b) 1.42 h,(c) 1.32 h,(d) 2.15 h,(b) 1.42 h,
13,13.0,The charge required for reducing 1 mole of MnO\(_{4}^{-}\) to Mn2- is,(a) 1.93 × 105 C,(b) 2.895 × 105 C,(c) 4.28 × 105 C,(d) 4.825 × 105 C,(d) 4.825 × 105 C,cuso
14,14.0,How much electricity in in terms of Faraday is required to produce 100 g of Ca from molten CaCl2?,(a) 1F,(b) 2F,(c) 3F,(d) 5F,(d) 5F,cant
15,15.0,"If a current of 1.5 ampere flows through a metallic wire for 3 hours, then how many electrons would flow through the wire?",(a) 2.25 × 1022 electrons,(b) 1.13 × 1023 electrons,(c) 1.01 × 1023 electrons,(d) 4.5 × 1023 electrons,(c) 1.01 × 1023 electrons,electrolyte
16,16.0,How many coulombs of electricity is required to reduce 1 mole of Cr2O\(_{7}^{2-}\) in acidic medium?,(a) 4 × 96500 C,(b) 6 × 96500 C,(c) 2 × 96500 C,(d) 1 × 96500 C,(b) 6 × 96500 C,ered
17,17.0,A current of 1.40 ampere is passed through 500 mL of 0.180 M solution of zinc sulphate for 200 seconds. What will be the molarity of Zn2+ions after deposition of zinc?,(a) 0.154 M,(b) 0.177 M,(c) 2 M,(d) 0.180 M,(b) 0.177 M,second
18,18.0,How much time is required to deposit 1 × 10-3 cm thick layer of silver (density of 1.05 g cm-3) on a surface of area 100 cm² by passing a current of 5 A through AgNO3 solution?,(a) 125 s,(b) 115 s,(c) 18.7 s,(d) 27.25 s,(c) 18.7 s,mean
19,,,,,,,,value
20,,,,,,,,certain
21,,,,,,,,would
24,,,,,,,,correctly
25,,,,,,,,measured
26,,,,,,,,charge
27,,,,,,,,zinc
28,,,,,,,,solution
29,,,,,,,,mno
30,,,,,,,,storage
31,,,,,,,,hence
33,,,,,,,,weight
34,,,,,,,,resistance
35,,,,,,,,metal
36,,,,,,,,property
37,,,,,,,,liberate
38,,,,,,,,maximum
39,,,,,,,,deposition
40,,,,,,,,cation
42,,,,,,,,redox
43,,,,,,,,mole
44,,,,,,,,negative
45,,,,,,,,lead
46,,,,,,,,reaction
47,,,,,,,,anion
48,,,,,,,,faraday
51,,,,,,,,ill
52,,,,,,,,equivalent
53,,,,,,,,passing
54,,,,,,,,measure
55,,,,,,,,acidic
57,,,,,,,,constant
58,,,,,,,,called
59,,,,,,,,temperature
60,,,,,,,,cathode
61,,,,,,,,battery
62,,,,,,,,current
63,,,,,,,,eoxid
64,,,,,,,,matched
65,,,,,,,,conductivity
66,,,,,,,,ampere
67,,,,,,,,chlroine
68,,,,,,,,produce
69,,,,,,,,surface
70,,,,,,,,density
71,,,,,,,,thick
72,,,,,,,,nature
73,,,,,,,,secondary
74,,,,,,,,medium
75,,,,,,,,given
77,,,,,,,,molarity
78,,,,,,,,mol
80,,,,,,,,electron
81,,,,,,,,atom
82,,,,,,,,molar
83,,,,,,,,reducing
84,,,,,,,,give
85,,,,,,,,using
86,,,,,,,,leclanche
88,,,,,,,,silver
89,,,,,,,,spontaneous
90,,,,,,,,metallic
91,,,,,,,,term
92,,,,,,,,sodium
93,,,,,,,,structure
94,,,,,,,,related
95,,,,,,,,conductance
96,,,,,,,,required
97,,,,,,,,equilibrium
98,,,,,,,,due
99,,,,,,,,cro
100,,,,,,,,law
101,,,,,,,,electronic
102,,,,,,,,zero
103,,,,,,,,change
104,,,,,,,,wire
105,,,,,,,,atomic
106,,,,,,,,layer
107,,,,,,,,long
108,,,,,,,,speed
109,,,,,,,,much
110,,,,,,,,deposit
111,,,,,,,,electrolysis
112,,,,,,,,ecell
113,,,,,,,,becomes
115,,,,,,,,cacl
116,,,,,,,,coulomb
117,,,,,,,,take
119,,,,,,,,greater
120,,,,,,,,number
121,,,,,,,,hydrogen
122,,,,,,,,positive
123,,,,,,,,alo
124,,,,,,,,agno
125,,,,,,,,nacl
126,,,,,,,,passed
127,,,,,,,,amalgam
129,,,,,,,,electrolytic
130,,,,,,,,flow
131,,,,,,,,reduce
133,,,,,,,,cell
134,,,,,,,,condition
136,,,,,,,,znions
137,,,,,,,,kcl
138,,,,,,,,molten
139,,,,,,,,movement
140,,,,,,,,ohm
141,,,,,,,,point
142,,,,,,,,equivalence
143,,,,,,,,depends
144,,,,,,,,concentration
146,,,,,,,,following
148,,,,,,,,containing
149,,,,,,,,electricity
