,index,0,1,2,3,4,Answer,Words
0,0.0,The solubility of Ca3​(PO4​​)2​ in water is y mol/L. Its solubility product is:,(a) 6y²,(b) 36 y4,(c) 64 y5,(d) 108 y5,"(d) 108 y5
Explanation:

= (3y)³ × (2y)²
= 27 y³ × 4y²
= 108 y5",radicalsna
1,1.0,A physician wishes to prepare a buffer solution at pH = 3.85 that efficiently resists changes in pH yet contains only small concentration of the buffering agents. Which of the following weak acids together with its sodium salt would be best to use?,"(a) 2, 5-Dihydroxy benzoic acid (pKa = 2.97)",(b) Acetoacetic acid (pKa = 3.58),(c) m-Chlorobenzoic acid (pKa = 3.98),(d) p-Chlorocinnamic acid (pKa = 4.41),"(b) Acetoacetic acid (pKa = 3.58)
Explanation:
For small concentration of buffering agent and for maximum buffer capacity
[Salt]/ [Acid] ≈ 1
i.e., pH = pKa",hydrolysis
2,2.0,Which of the following aqueous solutions will have highest pH?,(a) NaCl,(b) CH3COONa,(c) Na2CO3,(d) NH4Cl,"(c) Na2CO3
Explanation:
NaCl is salt of strong acid and strong base so it has pH of about 7.
NH4Cl is salt of strong acid and weak base so it has pH is much less than 7.
CH3​COONH4 is salt of weak acid and weak base so it has pH of about 7.
Na2​CO3 is salt of weak acid and strong base so it has pH is much greater than 7.",every
3,3.0,"What is the pH of a 0.10 M solution of barium hydroxide, Ba (OH)2?",(a) 11.31,(b) 11.7,(c) 13.30,(d) None of these,"(c) 13.30
Explanation:
pH = 13.30
Barium hydroxide is a strong base for both stages of dissociation:
Ba (OH)2(s) → Ba2+ + 2OH–
So the solution will have 0.20 M hydroxide ions. Now use the auto dissociation product for water:
[H+][OH–] = 1.0 × 10-14M
[OH–] = 2.0 × 10-1M
[H+] = 5.0 × 10-14M
And then pH = −log10 ([H+] = 5.0 × 10-14)
= 13.30.",option
4,4.0,Which of the following oxides is not expected to react with sodium hydroxide?,(a) CaO,(b) SiO2,(c) BeO,(d) B2O3,"(a) CaO
Explanation:
CaO being a basic oxide does not react with NaOH, however SiO2 (acidic oxide), BeO (amphoteric oxide) and Br2O3 (acidic oxide) react with NaOH.",used
5,5.0,The pH of a 10-10 M NaOH solution is nearest to,(a) 10,(b) 7,(c) 4,(d) -10,"(c) 4
Explanation:
pOH= −log [OH–]
= −log 10-10
= 10 log 10
= 10pH + pOH
= 14pH
= 14−pOH
= 14−10
= 4",nhohexcess
6,6.0,A weak acid HX has the dissociation constant 1 × 10-5 M. It forms a salt NaX on reaction with alkali. The degree of hydrolysis of 0.1 M solution of NaX is,(a) 0.0001%,(b) 0.01%,(c) 0.1%,(d) 0.15%,"(b) 0.01%
Explanation:
NaX: Salt of weak acid, strong base.
⇒ α = (√Kh/c)
= √ (Kw)/ (KaC)
= (10-14)/(10-5×0.1)
= 10-4
⇒ % hydrolysis = 0.01%",conjugate
7,7.0,"When equal volumes of 0.1 M NaOH and 0.01 M HCl are mixed, the hydroxide ion concentration is",(a) 7.0,(b) 1.04,(c) 12.65,(d) 2.0,"(c) 12.65
Explanation:
When equal volumes of 0.1 M NaOH and 0.01 M HCl are mixed, the hydroxide ion concentration is
(0.1 – 0.01)/(2)
​= 0.045 M
The pOH of the solution is pOH = −log [OH–]
= −log 0.045
= 1.35
The pH of the solution is pH = 14 − pOH
= 14 − 1.35
= 12.65",mnthe
8,8.0,Concentration of the Ag+ ions in a saturated solution of Ag2C2O4 is 2.2 x 10-4 mol L-1. Solubility product of Ag2C2O42 is,(a) 2.66 × 10-12,(b) 4.5 × 10-11,(c) 5.3 × 10-12,(d) 2.42 × 10-8,"(c) 5.3 × 10-12
Explanation:
[Ag+] = 2.2 × 10-4 mol L-1
[C2​O42-] = 0.5[Ag+] = 0.5 × 2.2 × 10-4 mol L-1 = 1.1 × 10-4 mol L-1
Ksp ​=[Ag+]² [C2O42-​]Ksp
= (2.2 × 10-4 mol L-1)² × 1.1 × 10-4 mol L-1
Ksp = 5.3 × 10-12",kwnkb
9,9.0,"In a reversible chemical reaction at equilibrium, if the concentration of any one of the reactants is doubled, then the equilibrium constant will",(a) Also be Doubled,(b) Be Halved,(c) Remain the Same,(d) Become One-Fourth,"(c) Remain the Same
Explanation:
Equilibrium constants are not changed if you change the concentrations of things present in the equilibrium. The only thing that changes an equilibrium constant is a change of temperature.",reactant
