,index,0,1,2,3,4,Answer,Words
0,0.0,Concentration of sulphide ore is done by,(a) froth flotation process,(b) electrolysis,(c) roasting,(d) None of these,(a) froth flotation process,added
1,1.0,Malachite is an ore of,(a) iron,(b) copper,(c) zinc,(d) Sliver,(b) copper,eliminates
2,2.0,Formula of copper pyrite is,(a)Cu2S,(b) CuFeS,(c) CuFeS2,(d) Cu2Fe2S2,(c) CuFeS2,used
3,3.0,Ore of aluminium is,(a) bauxite,(b) hematite,(c) dolomite,(d) None of these,(a) bauxite,heated
4,4.0,"Removal of the unwanted materials like sand, clays, etc. from the ore is known as ………., …….. or ……….","(a) concentration, dressing, benefaction","(b) separation, refining, gangue","(c) magnetic separation, purification, gangue","(d) washing, refining, amalgamation","(a) concentration, dressing, benefaction",electromagnetic
5,5.0,For which of the following ores froth floatation method is used for concentration?,(a) Haematite,(b) Zinc blende,(c) Magnetite,(d) Camallite,(b) Zinc blende,monoxide
6,6.0,The powdered ore is agitated with water or washed with running stream of water. The heavy ore particles and lighter impurities are separated. This method of concentration is known as,(a) metallurgy,(b) leaching,(c) froth floatation process,(d) gravity separation,(d) gravity separation,washed
7,7.0,The oil used as frothing agent in froth floatation process is,(a) coconut oil,(b) castor oil,(c) palmitic oil,(d) pine oil,(d) pine oil,benefaction
8,8.0,Which of the following metals is not extracted by leaching?,(a) Aluminium,(b) Mercury,(c) Silver,(d) Gold,(b) Mercury,obtained
9,9.0,Sulphide ore of zinc/copper is concentrated by,(a) floatation process,(b) electromagnetic process,(c) gravity separation,(d) distillation,(a) floatation process,flotation
10,10.0,Which of the following ores is concentrated by chemical leaching method?,(a) Cinnabar,(b) Argentite,(c) Copper pyrites,(d) Galena,(b) Argentite,method
11,11.0,How do we separate two sulphide ores by froth floatation method?,(a) By using excess of pine oil,(b) By adjusting proportion of oil to water or using depressant.,(c) By using some solvent in which one of the sulphides is soluble,(d) By using collectors and froth stabilisers like xanthates,(b) By adjusting proportion of oil to water or using depressant.,fesio
12,12.0,Common impurities present in bauxite are,(a) CuO,(b) ZnO,(c) CaO,(d) SiO2,(d) SiO2,energy
13,13.0,An ore of tin containing FeCrO4 is concentrated by,(a) gravity separation,(b) magnetic separation,(c) froth floatation,(d) leaching,(b) magnetic separation,bauxite
14,14.0,Which of the following ores cannot be concentrated by magnetic separation?,(a) Haematite,(b) Malachite,(c) Magnetite,(d) Siderite,(b) Malachite,corresponding
15,15.0,The significance of leaching in the extraction of aluminium is,"(a) it helps removing the impurities like SiO2, Fe2O3 etc. from the bauxite ore",(b) it converts the ore into oxide,(c) it reduces melting point of the ore,(d) it eliminates water from bauxite,"(a) it helps removing the impurities like SiO2, Fe2O3 etc. from the bauxite ore",separation
16,16.0,Which of the following metals is extracted using a silica lined convertor?,(a) Mg,(b) Al,(c) Cu,(d) Zn,(c) Cu,amalgamation
17,17.0,Which of the following sulphides when heated strongly in air gives the corresponding metal without undergoing separate reduction of oxide?,(a) Cu2S,(b) FeS,(c) HgS,(d) ZnS,(c) HgS,cuo
18,18.0,Which of the following metals cannot be obtained by reduction of its metal oxide bv aluminium ?,(a) Cr,(b) Mn,(c) Fe,(d) Mg,(d) Mg,
19,19.0,Heating pyrites to remove sulphur is called,(a) smelting,(b) calcination,(c) liquation,(d) roasting,(d) roasting,
20,20.0,"Impurities of sulphur, silicon and phosphorus can be removed from cast iron by adding",(a) carbon which reduces the impurities,(b) water which dissolves the impurities,(c) limestone which changes impurities into oxides and pass into slag,(d) iron oxide which reacts with impurities by forming slag,(c) limestone which changes impurities into oxides and pass into slag,self
21,21.0,"In metallurgical process, aluminium acts as",(a) an oxidising agent,(b) a reducing agent,(c) acidic flux,(d) basic flux,(b) a reducing agent,thermite
22,22.0,Ellingham diagram represents change of,(a) ΔG with temperature,(b) ΔH with temperature,(c) ΔG with pressure,(d) (ΔG – TΔS) with temperature,(a) ΔG with temperature,agitated
23,23.0,"During the extraction of haematite, limestone is added which acts as",(a) flux,(b) slag,(c) reducing agent,(d) gangue,(a) flux,diagram
24,24.0,In blast furnace iron oxide is reduced by,(a) silica,(b) carbon monoxide,(c) carbon,(d) lime stone,(b) carbon monoxide,melting
25,25.0,"From the Ellingham graph between Gibb’s energy and temperature, out of C and CO with is a better reducing agent for ZnO?",(a) Carbon,(b) CO,(c) Both of these,(d) None of these,(a) Carbon,water
26,26.0,In a thermite process is used as reducing agent.,(a) Zn,(b) Al,(c) Mn,(d) Fe,(b) Al,adjusting
27,27.0,Blister copper is,(a) impure copper,(b) obtained in self reduction process during bessermerisation,(c) Both are correct,(d) None is correct,(c) Both are correct,stone
28,28.0,Which of the following slags is produced during extraction of iron?,(a) CaSiO3,(b) FeSiO3,(c) MgSiO3,(d) ZnSiO3,(a) CaSiO3,sulphide
29,29.0,Which of the following oxides cannot be reduced by hydrogen?,(a) Ferric oxide,(b) Aluminium oxide,(c) Zinc oxide,(d) Cupric oxide,(b) Aluminium oxide,gangue
30,,,,,,,,represents
31,,,,,,,,zinccopper
32,,,,,,,,graph
33,,,,,,,,cus
34,,,,,,,,roasting
36,,,,,,,,magnetite
38,,,,,,,,liquation
39,,,,,,,,phosphorus
40,,,,,,,,concentrated
41,,,,,,,,ferric
42,,,,,,,,convertor
43,,,,,,,,like
44,,,,,,,,pine
45,,,,,,,,heavy
