,index,0,1,2,3,4,Answer,Words
0,0.0,A dibromo derivative of an alkane reacts with sodium metal to form an alicyclic hydrocarbon. The derivative is ______.,"(a) 2, 2-dibromobutane","(b) 1, 1-dibromopropane","(c) 1, 4-dibromobutane","(d) 1, 2-dibromoethane","(c) 1, 4-dibromobutane
Explanation:
The derivative is 1, 4 dibromobutane. This on reaction with sodium metal gives cyclobutane.

This reaction is an example of internal Wurtz reaction.",soda
1,1.0,The position of double bond in alkenes can be located by :,(a) Hydrogenation of oil,(b) Ozonolysis,(c) Photolysis,(d) Hydration,"(b) Ozonolysis
Explanation:
Ozonolysis is the cleavage of an alkene or alkyne with ozone to form organic compounds in which the multiple carbon-carbon bonds have been replaced by a double bond to oxygen. The outcome of the reaction depends on the type of multiple bonds being oxidized.",nitrate
2,2.0,Nitrobenzene on reaction with conc. HNO3/H2SO4 at 80 – 100°C forms which one of the following products?,"(a) 1, 2-Dinitrobenzene","(b) 1, 3-Dinitrobenzene","(c) 1, 4-Dinitrobenzene","(d) 1, 2, 4-Trinitrobenzene","(b) 1, 3-Dinitrobenzene
Explanation:
NO2 is an m-directing group and hence, 1, 3-dinitrobenzene is formed.
",internal
3,3.0,Some meta-directing substituents in aromatic substitution are given. Which one is most deactivating?,(a) –C ≡ N,(b) -SO3H,(c) -COOH,(d) -NO2,"(d) -NO2
Explanation:
The correct order of deactivation is
−NO2 > −C ≡ N > −SO32 H > −COOH",reactive
4,4.0,Which of the following compounds will exhibit geometrical isomerism?,(a) 1 – Phenyl – 2 – butene,(b) 3 – Phenyl – 1 – butene,(c) 2 – Phenyl – 1 butene,"(d) 1, 1 – Diphenyl – propene .","(a) 1 – Phenyl – 2 – butene
Explanation:
C6H5CH2−CH = CH−CH3 (1-phenyl-2-butene) exhibits the phenomenon of geometrical isomerism due to Cab = Cad structure, so its two isomers are possible which are given are follow :
",used
5,5.0,"The order of decreasing reactivity towards an electrophilic reagent, for the following : (i) Benzene (ii) Toluene (iii) Chlorobenzene (iv) Phenol would be:",(a) (i) > (ii) > (iii) > (iv),(b) (ii) > (iv) > (i) > (iii),(c) (iv) > (iii) > (ii) > (i),(d) (iv) > (ii) > (i) > (iii),"(d) (iv) > (ii) > (i) > (iii)
Explanation:
Benzene having any activating group i.e., OH, R etc., undergoes electrophilic substitution very easily as compared to benzene itself. Thus toluene (C6H5CH3), phenol (C6H5OH) undergo electrophilic substitution very readily than benzene. Chlorine with +E and +M effect deactivates the ring due to strong -I effect. So, it is difficult to carry out the substitution in chlorobenzene than in benzene, so correct order is Phenol (iv) > Toluene (ii) > Benzene (i) > Chlorobenzene (iii)",alkanes
6,6.0,Pure methane can be prepared by,(a) Soda lime decarboxylation,(b) Kolbes electrolytic method,(c) Wurtz reaction,(d) Reduction with H2,"(a) Soda lime decarboxylation
Explanation:
Methane cannot be prepared by either Wurtz reaction, Kolbes electrolytic method or by reduction of alkenes with H2. While acetic acid salt on heating with soda lime gives methane.
CH3COONa– → CH4 + Na2CO3",cab
7,7.0,Hydrocarbon containing following bond is most reactive,(a) C ≡ C,(b) C = C,(c) C-C,(d) All of these,"(a) C ≡ C
Explanation:
−C ≡ C−is most reactive because sp-hybridization.",exhibiting
8,8.0,"The compound C3H4 has a triple bond, which is indicated by its reaction with",(a) Bromine water,(b) Bayers reagent,(c) Fehling solution,(d) Ammonical silver nitrate,"(d) Ammonical silver nitrate
Explanation:
CH3−C ≡ C−H + AgNO3 → CH3 −C ≡ C−Ag
Propyne Ammonical Siver salt of Propyne",obtained
9,9.0,Isopropyl bromide on Wurtz reaction gives,(a) Hexane,(b) Propane,"(c) 2, 3 – Dimethylbutane",(d) Neohexane,"(c) 2, 3 – Dimethylbutane
Explanation:
CHMe2 − Br + 2Na + Br − CHMe2 + Br − CHMe2 \(\underrightarrow { dryEther } \) Me2CH − CHMe2 + 2NaBr",reagent
10,10.0,Nitrobenzene on reaction with conc. HNO3/H2SO4 at 80 – 100°C forms which one of the following products?,"(a) 1, 2-Dinitrobenzene","(b) 1, 3-Dinitrobenzene","(c) 1, 4-Dinitrobenzene","(d) 1, 2, 4-Trinitrobenzene","(b) 1, 3-Dinitrobenzene
Explanation:
NO2 is an m-directing group and hence, 1, 3-dinitrobenzene is formed.",method
11,11.0,The angle strain in cyclobutane is,(a) 24°44,(b) 29°16,(c) 19°22,(d) 9°44,"(d) 9°44
Explanation:
According to Baeyers strain theory, the amount of the strain is directly proportional to the angle through which a valency bond has deviated from its normal position . i.e., Amount of deviation) in cyclobutane (d) = (109∘28 − 90∘)/(2) = 9∘44",group
12,12.0,The first fraction obtained during the fractionation of petroleum is:,(a) Gasoline,(b) Diesel Oil,(c) Hydrocarbon Gases,(d) Kerosene Oil,"(c) Hydrocarbon Gases
Explanation:
During fractionation or distillation of petroleum, gases light hydrocarbons in the form of gases are obtained from first fraction.",dibromobutane
13,13.0,2 – Phenylpropene on acidic hydration gives,(a) 2 – Phenyl – 2 – propanol,(b) 2 – Phenyl – 1 – propanol,(c) 3 – Phenyl – 1 – propanol,(d) 1 – Phenyl – 2 – propanol,"(a) 2 – Phenyl – 2 – propanol
Explanation:
Acidic hydration of 2-phenyl propene follows electrophilic reaction mechanism forming an intermediate 3° carbocation (more stable), there by forming 2-phenyl-2-propanol.
",salt
14,14.0,The coal tar fraction which contains phenol is:,(a) Heavy Oil,(b) Light Oil,(c) Middle Oil,(d) Green Oil,"(c) Middle Oil
Explanation:
The second fraction of coal-tar distillation which distills at 170°−230°C is called middle-oil or olic oil. It contains mainly phenol, naphthalene etc.",show
15,15.0,Which one of these is not true for benzene?,(a) There are three carbon-carbon single bonds and three carbon-carbon double bonds.,(b) Heat of hydrogenation of benzene is less than the theoretical value,(c) It forms only one type of mono substituted product,(d) The bond angle between carbon-carbon bonds is 120 Degree,"(a) There are three carbon-carbon single bonds and three carbon-carbon double bonds.
Explanation:
There are three carbon-carbon single bonds and three carbon-carbon double bonds.",
16,16.0,The catalyst used in Friedel – Crafts reaction is,(a) Aluminium Chloride,(b) Anhydrous Aluminium Chloride,(c) Ferric Chloride,(d) Copper .,"(b) Anhydrous Aluminium Chloride
Explanation:
It is a catalyst-based electrophilic substitution reaction. Lewis acids like anhydrous AlCl3, anhydrous FeCl3, BF3 and BiCl3 can be used as catalysts. The catalyst facilitates more effective attack by the electrophile (R+, RCO+ etc.) on the benzene ring.",either
17,17.0,Alkyl halides react with dialkyl copper reagents to give?,(a) Alkanes,(b) Alkenes,(c) Hydrogen,(d) Carbon,"(a) Alkanes
Explanation:
Alkyl halides react with dialkyl copper reagents to give Alkanes.",proportional
18,18.0,"The lowest alkene, that is capable of exhibiting geometrical isomerism is",(a) Ethene,(b) But – 1- ene,(c) But – 2 – ene,(d) Propene.,"(c) But – 2 – ene
Explanation:
The lowest alkene which is capable of exhibiting geometrical isomerism is 2-Butene",rco
19,19.0,Presence of a nitro group in a benzene ring,(a) Activates the ring towards electrophilic substitution,(b) Renders the ring basic,(c) Deactivates the ring towards nucleophilic substitution,(d) Deactivates the ring towards electrophilic substitution,"(d) Deactivates the ring towards electrophilic substitution
Explanation:
−NO2 group shows −M effect, so withdraws the electron density from the ring and hence deactivate the ring towards electrophilic aromatic substitution.",chloridenexplanationnit
20,,,,,,,,naphthalene
21,,,,,,,,baeyers
22,,,,,,,,phenylbutene
23,,,,,,,,undergoes
24,,,,,,,,valency
25,,,,,,,,alkenes
26,,,,,,,,coaltar
27,,,,,,,,butenenexplanationnchchch
28,,,,,,,,mech
29,,,,,,,,capable
30,,,,,,,,coal
31,,,,,,,,water
32,,,,,,,,toluene
33,,,,,,,,follows
34,,,,,,,,formedn
35,,,,,,,,located
37,,,,,,,,derivative
38,,,,,,,,hydrocarbon
39,,,,,,,,iiinexplanationnbenzene
40,,,,,,,,second
41,,,,,,,,value
42,,,,,,,,chloride
43,,,,,,,,electrophile
44,,,,,,,,substitutionnexplanationnno
45,,,,,,,,isnno
46,,,,,,,,propane
47,,,,,,,,renders
48,,,,,,,,mainly
49,,,,,,,,cyclobutane
50,,,,,,,,iii
51,,,,,,,,would
53,,,,,,,,ferric
54,,,,,,,,formed
55,,,,,,,,fractionation
56,,,,,,,,mono
57,,,,,,,,compound
58,,,,,,,,like
59,,,,,,,,towards
60,,,,,,,,distills
61,,,,,,,,conc
62,,,,,,,,prepared
63,,,,,,,,deviated
64,,,,,,,,heavy
65,,,,,,,,bondsnexplanationnthere
66,,,,,,,,anhydrous
67,,,,,,,,activating
68,,,,,,,,mdirecting
69,,,,,,,,bicl
70,,,,,,,,acid
71,,,,,,,,multiple
72,,,,,,,,solution
73,,,,,,,,halide
74,,,,,,,,thus
75,,,,,,,,position
76,,,,,,,,strain
77,,,,,,,,hence
78,,,,,,,,bond
79,,,,,,,,ozonolysisnexplanationnozonolysis
80,,,,,,,,dinitrobenzene
81,,,,,,,,ring
82,,,,,,,,reduction
84,,,,,,,,attack
85,,,,,,,,react
86,,,,,,,,fraction
87,,,,,,,,cyclobutanennthis
88,,,,,,,,containing
89,,,,,,,,ammonical
90,,,,,,,,nitro
91,,,,,,,,indicated
92,,,,,,,,hnohso
93,,,,,,,,metal
94,,,,,,,,propene
95,,,,,,,,dimethylbutanenexplanationnchme
96,,,,,,,,amount
97,,,,,,,,dialkyl
98,,,,,,,,neohexane
99,,,,,,,,wurtz
100,,,,,,,,exhibit
101,,,,,,,,butene
102,,,,,,,,intermediate
103,,,,,,,,strong
104,,,,,,,,dinitrobenzenenexplanationnno
105,,,,,,,,reaction
106,,,,,,,,oxygen
107,,,,,,,,correct
108,,,,,,,,photolysis
109,,,,,,,,order
110,,,,,,,,alicyclic
111,,,,,,,,dibromoethane
112,,,,,,,,propyne
113,,,,,,,,chme
114,,,,,,,,forming
115,,,,,,,,compared
116,,,,,,,,decarboxylation
118,,,,,,,,replaced
119,,,,,,,,electrophilic
120,,,,,,,,nexplanationnaccording
121,,,,,,,,benzene
122,,,,,,,,effective
123,,,,,,,,outcome
124,,,,,,,,hydration
125,,,,,,,,acidic
126,,,,,,,,carboncarbon
127,,,,,,,,undergo
128,,,,,,,,phenylpropene
130,,,,,,,,middle
131,,,,,,,,aluminium
132,,,,,,,,alkane
