,index,0,1,2,3,4,Answer,Words
0,0.0,Pure H2O2 is :,(a) Semi – solid,(b) Liquid,(c) Solid,(d) Gas,"(b) Liquid
Explanation:
Hydrogen peroxide is the simplest kind of peroxide available (oxygen-oxygen single bond). It is a colourless liquid and is used in aqueous solution for safety reasons. It acts as a bleaching agent and is also used as a disinfectant. Concentrated hydrogen peroxide is a very reactive oxygen species and is used as a propellant in rocketry. The chemical formula for hydrogen peroxide is H2O2.",volumenor
1,1.0,The freezing point of heavy water is,(a) 0°C,(b) 3.8°C,(c) 4°C,(d) 1°C,(b) 3.8°C,kind
2,2.0,H2O2 used in rocket has the concentration:,(a) 50%,(b) 90%,(c) 70%,(d) 30%,"(b) 90%
Explanation:
H2O2 is used as an oxidant for rocket fuel. Usually, 90% concentration of H2O2 is used.",reactive
3,3.0,Which of the following hydrides are generally nonstochiometric in nature?,(a) Ionic Hydrides,(b) Molecular Hydrides,(c) Interstitial Hydrides,(d) All of the Above.,"(c) Interstitial Hydrides
Explanation:
Interstitial hydrides are non- stoichiometric hydrides and thus deficit in hydrogen. Transition and inner transition elements at relevant temperature absorb hydrogen into the interstices of their lattices to yield metal like hydrides.",transition
4,4.0,What is the product of the reaction of H2O2 with Cl2?,(a) O2 + HOCl,(b) HCl + O2,(c) H2O + HCl,(d) HCl + H2,"(b) HCl + O2
Explanation:
H2O2 + Cl2 → 2HCl + O2",used
5,5.0,Water shows anomalous behavior between,(a) 0 to 4°C,(b) 0 to 5°C,(c) 0 to -4°C,(d) 4 to 0°C,"(a) 0 to 4°C
Explanation:
Water show a wide range of anomalies compared to similar liquids or hydrides of other group 16 elements. One of the most talked-about anomalies is the formation of ice from liquid water and how the density changes when we cool the water.",heated
6,6.0,Which of the following statements regarding hydrogen peroxide is/ are incorrect?,(a) As aerating agent in production of sponge rubber,(b) As an antichlor,(c) For restoring white colour of blackened lead painting,(d) All of the above,"(d) All of the above
Explanation:
H2O2 show all these properties",monoxide
7,7.0,Atomic hydrogen is called,(a) Protium,(b) Deutrium,(c) Nascent Hydrogen,(d) Tritium,"(c) Nascent Hydrogen
Explanation:
A hydrogen atom is an atom of the chemical element hydrogen. The electrically neutral atom contains a single positively charged proton and a single negatively charged electron bound to the nucleus by the Coulomb force. Atomic hydrogen constitutes about 75% of the baryonic mass of the universe.",four
8,8.0,The volume strength of 1.5 NH2O2 solution is :,(a) 4.8,(b) 5.2,(c) 8.8,(d) 8.4,"(d) 8.4
Explanation:
Strength =Normality ×Equivalent Weight of H2O2
= 1.5N × 1.7gL-1 = 25.5gL-1
2H2O2 → 2H2O + O2
68g 22400 mLat STP
68 g of H2O gives = 22400 mL of O2 at STP
25.5 gH2O2 gives = 2240068 × 25.5 = 8400 mL of O2 at STP
25.5g of H2O2 is present in 1000 mL of H2O2 solution
1000 mL of H2O2 gives 8400 mL of O2 at STP
1 mL of H2O2 gives 84001000 mL of O2 at STP
= 8.4mL of O2
Hence, volume strength of 1.5NH2O2 = 8.4 volume.
Or mass of H2O2 in 1.5N solution
= Equivalent Weight of H2O2 × 1.5N
= 17 × 1.5 = 25.5 g/L
Hence, volume strength of 1.5NH2O2 solution
= 22.4 × 25.568 = 8.4",per
9,9.0,Water gas is mixture of hydrogen H2 and,(a) CO,(b) CO2,(c) Cl2,(d) SO2,"(a) CO
Explanation:
Water gas is a combustion fuel containing carbon monoxide (CO) and hydrogen gas (H2). Water gas is made by passing steam over heated hydrocarbons.",available
10,10.0,Hydrogen has isotopes,(a) 2,(b) 3,(c) 4,(d) 5,"(c) 4
Explanation:
Hydrogen has three main isotopes; Protium (1H), deuterium (²H) and tritium (³H). These isotopes form naturally in nature. Protium and deuterium are stable. Tritium is radioactive and has a half-life of about 12 years. Scientists have created four other hydrogen isotopes (4H to 7H), but these isotopes are very unstable and do not exist naturally.
The main isotopes of hydrogen are unique because they are the only isotopes that have a name.",electrically
11,11.0,The freezing point of heavy water is,(a) 0°C,(b) 3.8°C,(c) 4°C,(d) 1°C,(b) 3.8°C,universe
12,12.0,Pure H2O2 is:,(a) Semi – solid,(b) Liquid,(c) Solid,(d) Gas,"(b) Liquid
Explanation:
Hydrogen peroxide is the simplest kind of peroxide available (oxygen-oxygen single bond). It is a colourless liquid and is used in aqueous solution for safety reasons. It acts as a bleaching agent and is also used as a disinfectant. Concentrated hydrogen peroxide is a very reactive oxygen species and is used as a propellant in rocketry. The chemical formula for hydrogen peroxide is H2O2.",sulphate
13,13.0,_________________ on water decolourises H2O2,(a) O3,(b) Acidic KMnO4 solution,(c) Black Suspension of Lead Sulphide(PbS),(d) None of these.,"(c) Black Suspension of Lead Sulphide(PbS)
Explanation:
Lead sulphide (black suspension) on reaction with hydrogen peroxide forms lead sulphate and water. Lead sulphate as well as water are colourless, therefore lead sulphite decolourises on addition of hydrogen peroxide.
PbS(s) + 4H2O2 (aq) → PbSO4 (s) + 4H2O (aq)",obtained
