,index,0,1,2,3,4,Answer,Words
0,0.0,If two compounds have the same empirical formula but different molecular formula they must have,(a) Different percentage composition,(b) Different molecular weight,(c) Same viscosity,(d) Same vapour density,(b) Different molecular weight,takenmass
1,1.0,Identify the chiral molecule among the following:,(a) Isopropyl alcohol,(b) 2-pentanol,(c) 1-bromo 3-butene,(d) Isobutyl alcohol,"(d) Isobutyl alcohol
Explanation:
Chirality is the condition for a molecule to be optically active and here isobutyl alcohol is the only compound is optically active and hence it is the chiral molecule.",
2,2.0,0.0833mol of carbohydrate of empirical formula CH2O contain 1g of hydrogen. The molecular formula of the carbohydrate is,(a) C5H10O5,(b) C3H4O3,(c) C12H22O11,(d) C6H12O6,"(d) C6H12O6
Explanation:
As 0.0833 mole carbohydrate has hydrogen = 1g
Therefore, 1 mole carbohydrate has hydrogen = (\(\frac {1}{0.0833}\)) = 12g
Empirical Formula (CH2O) has hydrogen = 2g
Hence n = \(\frac {(12)}{(2)}\) = 6
Hence molecular formula of carbohydrate =(CH2O)6 = C6H12O6",nitrate
3,3.0,The displacement of electrons in a multiple bond in the presence of attacking reagent is called,(a) Inductive effect,(b) Electromeric effect,(c) Resonance,(d) Hyper conjugation.,"(b) Electromeric effect
Explanation:
The electromeric effect is a temporary effect brought into play at the requirement of attacking reagent. Electromeric effect refers to a molecular polarizability effect occurring by an intra-molecular electron displacement. It is the temporary effect.",among
4,4.0,Which of the following cannot be represented by resonance structures?,(a) Dimethyl ether,(b) Nitrate anion,(c) Carboxylate anion,(d) Toluene,"(a) Dimethyl ether
Explanation:
Ethers due to absence of delocalized pair of electrons do not show resonance.",
5,5.0,An organic compound which produces a bluish green coloured flame on heating in presence of copper is,(a) Chlorobenzene,(b) Benzaldehyde,(c) Aniline,(d) Benzoic acid,"(d) Benzoic acid
Explanation:
Halogen containing compounds, e.g.,C6H5Cl when placed in a flame, the presence of halogen is revealed by a green to blue flame.",flame
6,6.0,Which one is strongest acid among following options?,(a) CH2FCOOH,(b) CH2ClCOOH,(c) CHCl2COOH,(d) CHF2COOH,"(b) CH2ClCOOH
Explanation:
CHF2−COOH. Difluoroacetic acid is strongest because presence of two F atoms increases its acidic nature.",option
7,7.0,Insulin contains 3.4% sulphur. The minimum molecular weight of insulin is,(a) 350,(b) 470,(c) 560,(d) 940,"(d) 940
Explanation:
Minimum mass of sulphur = wt. of its one atom = 32
As 3.4 gms of sulphur present in 100 gms.
Therefore, 32 gms of sulphur present in = (100 × 32)/(3.4) = 940",dinitrogen
8,8.0,"59 g of an amide obtained from a carboxylic acid, RCOOH, liberated 17 g of ammonia upon heating with alkali. The acid is",(a) Formic Acid,(b) Acetic Acid,(c) Propionic Acid,(d) Benzoic Acid,"(a) 4-methoxy-2-nitrobenzaldehyde
Explanation:
IUPAC name is 4-methoxy-2-nitrobenzaldehyde
",carbohydrate
9,9.0,"In the Dumas method, the nitrogen present in organic compound gets converted to",(a) Sodium Cyanide,(b) Gaseoue Ammonia,(c) Dinitrogen Gas,(d) Ammonium Sulphate.,"(c) Dinitrogen Gas
Explanation:
Nitrogen present in the organic compound is converted into N2 gas by heating the compound with CuO.",symmetryn
10,10.0,0.0833mol of carbohydrate of empirical formula CH2O contain 1 g of hydrogen. The molecular formula of the carbohydrate is,(a) C5H10O5,(b) C3H4O3,(c) C12H22O11,(d) C6H12O6,"(d) C6H12O6
Explanation:
As 0.0833 mole carbohydrate has hydrogen = 1 g
Therefore, 1 mole carbohydrate has hydrogen = (\(\frac {1}{0.0833}\)) = 12 g
Empirical Formula (CH2O) has hydrogen = 2 g
Hence n = \(\frac {(12)}{(2)}\) = 6
Hence molecular formula of carbohydrate = (CH2O)6 = C6H12O6",alcohol
11,11.0,The compound  is known by which of the following names,"(a) Bicyclo-[2, 2, 2] octane","(b) Bicyclo-[2, 2, 1] octane","(c) Bicyclo-[1, 2, 1] octane","(d) Bicyclo-[1, 1, 1] octane","(a) Bicyclo-[2, 2, 2] octane
Explanation:
Bicyclo-[2, 2, 2] octane
",specific
12,12.0,Which one of the following conformations of cyclohexane is chiral?,(a) Twist boat,(b) Rigid,(c) Chair,(d) Boat,"(a) Twist boat
Explanation:
The twist boat conformation of cyclohexane is optically active as it does not have any plane of symmetry.
",four
13,13.0,If 0.228 g of silver salt of dibasic acid gave a residue of 0.162 g of silver on ignition then molecular weight of the acid is,(a) 70,(b) 80,(c) 90,(d) 100,"(c) 90
Explanation:
Mass of silver salt taken = 0.228 gm
Mass of silver left = 0.162 gm
Basicity of acid = 2
Step 1- To calculate the equivalent mass of the silver salt (Eq. mass of silver salt)/(Eq. mass of silver)=(Mass of Acid taken)/(Mass of silver left)
(\(\frac {E}{108}\)) = (\(\frac {0.228}{0.162}\))
E = (\(\frac {0.228}{0.162}\)) × 108 = 152(Eq. mass of silver salt)
Step 2 – To calculate the eq. mass of acid = ( Equivalent mass of acid)
= Equivalent mass of silver salt – Equivalent mass of Ag + Basicity
= 152 – 108 + 1
= 152 – 109
= 43 (Equivalent mass of acid)
Step 3- To determine the molecular mass of acid. molecular mass of the acid = Equivalent mass of acid × basicity = 45 × 2 = 90.",pattern
14,14.0,"If there is no rotation of plane polarized light by a compound in a specific solvent, thought to be chiral, it may mean that",(a) The compound may be a racemic mixture,(b) The compound is certainly a chiral,(c) The compound is certainly meso,(d) There is no compound in the solvent.,"(c) The compound is certainly meso
Explanation:
Meso compound does not rotate plane polarised light. Compound which contains tetrahedral atoms with four different groups but the whole molecule is a chiral, is known as meso compound. It possesses a plane of symmetry and is optically inactive. One of the asymmetric carbon atoms turns the plane of polarised light to the right and other to the left and to the same extent so that the rotation due to upper half is compensated by the lower half, i.e., internally compensated, and finally there is no rotation of plane polarised light.",sulphate
15,15.0,Which element is estimated by Carius method,(a) Carbon,(b) Hydrogen,(c) Halogen,(d) Nitrogen,"(c) Halogen
Explanation:
Halogen element is estimated by Carius method",obtained
16,16.0,Inductive effect involves,(a) displacement of σ electrons,(b) delocalization of π electrons,(c) delocalization of σ-electrons,(d) displacement of π-electrons,"(a) displacement of σ electrons
Explanation:
During inductive effect shifting of a electrons takes place due to which partially charges are developed on the atom.
+δ” +δ′ +δ −δ
C− C− C −Cl−",reagent
