,index,0,1,2,3,4,Answer,Words
0,0.0,Bakelite is an example of,(a) elastomer,(b) fibre,(c) thermoplastic,(d) thermosetting,(d) thermosetting,thermosetting
1,1.0,"Arrange the following polymers is an increasing order of intenqolecular forces: fibre, plastic, elastomer",(a) Elastomer < Fibre < Plastic,(b) Elastomer < Plastic < Fibre,(c) Plastic < Elastomer < Fibre,(d) Fibre < Elastomer < Plastic,(b) Elastomer < Plastic < Fibre,among
2,2.0,The S in buna-S refers to,(a) Sulphur,(b) Styrene,(c) Sodium,(d) Salicylate,(c),polyvinyl
3,3.0,Which of the following are thermoplastic polymers?,"(a) Polythene, urea-formaldehyde, polyvinyls","(b) Bakelite, polythene, polystyrene","(c) Polythene, polystyrene, polyvinyls","(d) Urea-formaldehyde, polystyrene, bakelite","(a) (i) Homopolymer, (ii) Copolymer",reactive
4,4.0,"Glycogen, anaturally occuring polymer stored in animals is a",(a) monosaccharide,(b) disaccharide,(c) trisaccharide,(d) polysaccharide,(d) polysaccharide,used
5,5.0,"Nylon 6, 6 is obtained by condensation polymerisation of",(a) adipic acid and ethylene glycol,(b) adipic acid and hexamethylenediamine,(c) terephthalic acid and ethylene glycol,(d) adipic acid and phenol,(b) adipic acid and hexamethylenediamine,polyacrylonitrile
6,6.0,Terylerte is a condensation polymer of ethylene glycol and,(a) benzoic acid,(b) phthalic acid,(c) dimethyl terephthalate,(d) salicylic acid,(c) dimethyl terephthalate,nonpolar
7,7.0,Natural rubber is a polymer of,"(a) 1, 1-dimethylbufadiene","(b) 2-methyl-1, 3-rbutadiene","(c) 2-chlorobuta-1, 3-diene",(d) 2-chlorobut-2-ene,"(b) 2-methyl-1, 3rbutadiene",obtained
8,8.0,Heating rubber with sulphur is known as,(a) galvanisation,(b) bessemerisation,(c) vulcanisation,(d) sulphonation,(c) vulcanisation,polyamide
9,9.0,Dacron is an example of,(a) polyamides,(b) polypropenes,(c) polyacrylnitrfle,(d) polyesters,(d) polyesters,melamine
10,10.0,Which of the following is a condensation polymer?,(a) Teflon,(b) PVC,(c) Polyester,(d) Neoprene,(c) Polyester,various
11,11.0,Which of the following polymers does not involve cross-linkages?,(a) Vulcanised rubber,(b) Bakelite,(c) Melamine,(d) Teflon,(d) Teflon,thermoplastic
12,12.0,Composition of Ziegler-Natta catalyst is,(a) (Et3)3Al.TiCl2,(b) (Me)3Al.TiCl2,(c) (Et)3Al.TiCl4,(d) (Et)3Al.PtCl4,(c) (Et)3Al.TiCl4,held
13,13.0,Which of the following is not an example of addition polymer?,(a) Polythene,(b) Polystyrene,(c) Neoprene,"(d) Nylon 6,6","(d) Nylon 6,6",melamineformaldehyde
14,14.0,Teflon and neoprene are the examples of,(a) copolymers,(b) monomers,(c) homopolymers,(d) condensation polymers,(c) homopolymers,posse
15,15.0,Which of the following sets contains only addition polymers?,"(a) Polyethylene, polypropylene, terylene","(b) Polyethylene, PVC, acrilan","(c) Buna-S, nylon, polybutadiene","(d) Bakelite, PVC, polyethylene","(b) Polyethylene, PVC, acrilan",bessemerisation
16,16.0,Which among the following is a cross-linked polymer?,(a) Polyesters,(b) Glycogens,(c) Melamine-formaldehyde,(d) Polyvinyl chloride,(c) Melamine-formaldehyde,elastic
17,17.0,Synthetic polymer prepared by using caprolactam is known as,(a) terylene,(b) teflon,(c) nylon 6,(d) neoprene,(c) nylon 6,trace
18,18.0,Polymer which has amide linkage is,"(a) nylon-6, 6",(b) terylene,(c) teflon,(d) bakelite,"(a) nylon-6, 6",styrene
19,19.0,Which of the following is not an example of rubber?,(a) Polychloroprene,(b) Buna-N,(c) Butadiene-styrene copolymer,(d) Polyacrylonitrile,(d) Polyacrylonitrile,different
20,20.0,Which of the following polymers does not have vinylic monomer units?,(a) Acrilan,(b) Nylon,(c) Polystyrene,(d) Neoprene,(b) Nylon,chloride
21,21.0,cis-Polyisoprene possesses elastic property because,(a) It is soft and soluble in non-polar solvent,(b) It is unsaturated and porous,(c) It has a coiled structure and chains held together by weak van der waals forces,(d) It has fibrous structure and reactive sites at various double bonds,(c) It has a coiled structure and chains held together by weak van der waals forces,disaccharide
22,22.0,The monomers used in addition polymerisation through free radical should be very pure because,(a) the traces of impurities act like inhibitors resulting in short chain polymers,(b) the impurities result in formation of different products,(c) the polymer formed is impure,(d) catalyst does not function in presence of impurities,(a) the traces of impurities act like inhibitors resulting in short chain polymers,nylon
23,,,,,,,,glycogens
24,,,,,,,,resulting
25,,,,,,,,salicylate
26,,,,,,,,plastic
27,,,,,,,,refers
28,,,,,,,,phthalic
29,,,,,,,,formed
30,,,,,,,,polychloroprene
