,index,0,1,2,3,4,Answer,Words
0,0.0,"Approximate atomic weight of an element is 26.89. If its equivalent weight is 8.9, the exact atomic weight of element would be",(a) 26.89,(b) 8.9,(c) 17.8,(d) 26.7,"(d) 26.7
Explanation:
Atomic weight = (Equivalent weight × Valency)
=(8.9 × 3) = 26.7
(Valency = (26.89)/(8.9) ≈ 3).",
1,1.0,The number of moles present in 6 gms of carbon is:,(a) 2,(b) 0.5,(c) 5,(d) 1,"(b) 0.5
Explanation:
The molar mass of
12C is 12.0 gmol-1.
NA (Avogadros number = 6.022×1023)
12C atoms have a mass of 12.0 g.
Given that: – 6.0 g.
Thus (6.0 g)/ (12.0 gmol-1) = 0.50 mol.",nitrate
2,2.0,What is the concentration of nitrate ions if equal volumes of 0.1 M AgNO3 and 0.1 M NaCl are mixed together,(a) 0.1 N,(b) 0.2 M,(c) 0.05 M,(d) 0.25 M,"(b) 0.2 M
Explanation:
0.1 M AgNOA will react with 0.1 M NaCl to form 0.1 M NaNOA.
But as the volume is doubled, conc. of NO–3 = \(\frac { (0.1) }{ (2) } \)
= 0.05 M",kind
3,3.0,The -ve charged particles is called:,(a) Anion,(b) Cation,(c) Radical,(d) Atom,"(a) Anion
Explanation:
A charged particle, also called an ion, is an atom with a positive or negative charge.
This happens whenever something called an ionic bond forms.
Two particles that have different numbers of electrons (the smallest particle in an atom which is negative) start reacting to each other.
The particle that has the greater amount of electrons takes the other particles electrons.
One becomes positive because it lost an electron, and the other negative because it got another electron.
The two particles become attracted to each other and mix together, making a new kind of particle.",nexplanationnatomic
4,4.0,Which is not a unit of pressure:,(a) Bar,(b) N/m²,(c) Kg/m²,(d) Torr,"(c) Kg/m²
Explanation:
Pressure is force per unit area so Kg/m² cannot be a unit of pressure.",
5,5.0,What is the normality of a 1 M solution of H3PO4,(a) 0.5 N,(b) 1.0 N,(c) 2.0 N,(d) 3.0 N,"(d) 3.0 N
Explanation:
H3PO4 is tribasic
So N = 3M
= 3 × 1 = 3.",used
6,6.0,The total number of ions present in 111 g of CaCl2 is,(a) One Mole,(b) Two Mole,(c) Three Mole,(d) Four Mole,"(c) Three Mole
Explanation:
Molecular weight of
CaCl2 = 111g/mol
Ions in one calcium chloride molecule = Ca+2 + 2Cl– = 3 ions
Now no. of molecules in 111g/mol of CaCl2 = Avogadros number
= 6.02 × 1023 molecules
So number of ions in 111g/mol of CaCl2
= 3 × 6.02 × 1023 ions
= 3 moles.",ofncacl
7,7.0,Which of the following weighs the most?,(a) One g – atom of nitrogen,(b) One mole of water,(c) One mole of sodium,(d) One molecule of H2SO4,(c) One mole of sodium,numbern
8,8.0,"Under similar conditions of pressure and temperature, 40 ml of slightly moist hydrogen chloride gas is mixed with 20 ml of ammonia gas, the final volume of gas at the same temperature and pressure will be",(a) 100 ml,(b) 20 ml,(c) 40 ml,(d) 60 ml,"(b) 20 ml
Explanation:
NH3(g) + HCl(g)→ NH4Cl(s)
t = 0 40ml 0
t = t 20ml solid
Final volume = 20ml.",four
9,9.0,"An organic compound contains carbon , hydrogen and oxygen. Its elemental analysis gave C, 38.71% and H, 9.67%. The empirical formula of the compound would be",(a) CHO,(b) CH4O,(c) CH3O,(d) CH2O,"(c) CH3O
Explanation:
",per
10,10.0,Which of the following cannot give iodometric titrations,(a) Fe3+,(b) Cu2+,(c) Pb2+,(d) Ag+,"(c) Pb2+
Explanation:
Atom in highest oxidation state can oxidize iodide to liberate I2 which is volumetrically measured by iodometric titration using hypo.
2I– →I2
Pb+2 → Lowest oxidation state cannot oxidise iodide to I2",titration
