,index,0,1,2,3,4,Answer,Words
0,0.0,Oxidation number of gold metal is,(a) +1,(b) 0,(c) -1,(d) all of these,(a) +1,bell
1,1.0,Shape of d-orbital is,(a) spherical,(b) dumb bell,(c) double dumb bell,(d) none of these,(c) double dumb bell,transition
2,2.0,Electronic configuration of alkaline earth element is,(a) ns2,(b) ns1,(c) np6,(d) ns0,(a) ns2,
3,3.0,Lanthanoid contraction is due to increase in,(a) atomic number,(b) effective nuclear charge,(c) atomic radius,(d) valence electrons,(b) effective nuclear charge,four
4,4.0,Which one of the following is called green vitriol?,(a) FeSO4 7H2O,(b) CuSO4 5H2O,(c) CaSO4 2H2O,(d) None of these,(a) FeSO4 7H2O,
5,5.0,Which block of elements are known as transition elements?,(a) p-block,(b) s-block,(c) d-block,(d) f-block,(c) d-block,acidfied
6,6.0,Most abundant element in earth’s crust is,(a) Si,(b) Al,(c) Zn,(d) Fe,(a) Si,sulphate
7,7.0,Which one of the following is diamagnetic ion?,(a) Co2+,(b) Ni2+,(c) Cu2+,(d) Zn2+,(d) Zn2+,size
8,8.0,Which of the following is not an element of first transition series?,(a) Iron,(b) Chromium,(c) Magnesium,(d) Nickel,(c) Magnesium,aqueous
9,9.0,"The correct order of E\(_{0}^{M^{2+}/M}\) values with negative sign for the four successive elements Cr, Mn, Fe and Co is",(a) Fe > Mn > Cr > Co,(b) Cr > Mn > Fe > Co,(c) Mn > Cr > Fe > Co,(d) Cr > Fe > Mn > Co,(c) Mn > Cr > Fe > Co,absorption
10,10.0,"The number of unpaired electrons in gaseous species of Mn3+, Cl3+ and V3+ respectively are and the most stable species is","(a) 4, 3 and 2; V3+","(b) 3, 3 and 2; Cr3+","(c) 4, 3 and 2; Cr3+","(d) 3, 3 and 3; Mn3+","(c) 4, 3 and 2; Cr3+",
11,11.0,Fe3+ ion is more stable than Fe2+ ion because,"(a) more the charge on the atom, more is its stability",(b) configuration of Fe2+ is 3d5 while Fe3+ is 3d5,(c) Fe2+ has a larger size than Fe3+,(d) Fe3+ ions are coloured hence more stable,(b) configuration of Fe2+ is 3d5 while Fe3+ is 3d5,actinoid
12,12.0,Colour of transition metal ions are due to absorption of some wavelength. This results in,(a) d-s transition,(b) s-s transition,(c) s-t/transition,(d) d-d transition,(d) d-d transition,valence
13,13.0,"The melting points of Cu, Ag and Au follow the order",(a) Cu > Ag > Au,(b) Cu >Au > Ag,(c) Au > Ag > Cu,(d) Ag > Au > Cu,"(b) 3, 4",group
14,14.0,"In which of the following pairs of ions, the lower oxidation state in aqueous solution is more stable than the other?","(a) Ti+, Ti3+","(b)Cu+, Cu3+","(c) Cr2+, Cr3+","(d) V2+, VO2+ (V4)","(a) Ti+, Ti3+",oxidises
15,15.0,Which of the following pairs of ions have the same electronic configuration?,"(a) Cu2+, Cr2+","(b) Fe3+, Mn2+","(c) Co3+, Ni3+","(d) Sc3+, Cr3+","(b) Fe3+, Mn2+",lartthanoid
16,16.0,The melting point of copper is higher than that of zinc because,(a) copper has a bcc structure,(b) the atomic volume of copper is higher,(c) the electrons of copper are involved in metallic bonding,(d) the s as well as d electrons of copper are involved in metallic bonding,(c) the electrons of copper are involved in metallic bonding,
17,17.0,Zr and Hf have almost equal atomic and ionic radii because of,(a) diagonal relationship,(b) lartthanoid contraction,(c) actinoid contraction,(d) belonging to the same group,(b) lartthanoid contraction,
18,18.0,Which of the following is not an amphoteric ion?,(a) Al3+,(b) Cr3+,(c) Fe3+,(d) Zn2+,(c) Fe3+,sttransition
19,19.0,What happens when potassium iodide reacts with acidic solution of potassium dichromate?,(a) It liberates iodine,(b) Potassium sulphate is formed,(c) Chromium sulphate is formed,(d) All the above products are formed,(d) All the above products are formed,earth
20,20.0,The number of moles of KMnO4 that are needed to react completely with one mole of ferrous oxalate in acidic solution is,(a) 3/5,(b) 2/5,(c) 4/5,(d) 1,(a) 3/5,cuso
21,21.0,Acidified potassium dichromate reacts with potassium iodide and oxidises it to I2. What is the oxidation state of chromium in the products of the reaction?,(a) +4,(b) +6,(c) +3,(d) +2,(c) +3,melting
22,22.0,One mole of acidfied K2Cr3+O on reaction with excess KI will liberate ………….. mole(s) of I2.,(a) 6,(b) 1,(c) 7,(d) 2,(a) 6,diehromateanion
23,23.0,In the diehromateanion (Cr2O\(_{7}^{2-}\)),(a) all Cr – O bonds are equivalent,(b) 6 Cr – O bonds are equivalent,(c) 3 Cr – O bonds are equivalent,(d) no bonds in Cr2O\(_{7}^{2-}\) are equivalent,(b) 6 Cr – O bonds are equivalent,sign
24,,,,,,,,value
26,,,,,,,,element
27,,,,,,,,caso
28,,,,,,,,stability
29,,,,,,,,formed
30,,,,,,,,block
31,,,,,,,,alkaline
32,,,,,,,,bonding
33,,,,,,,,dorbital
34,,,,,,,,zinc
35,,,,,,,,charge
36,,,,,,,,bcc
38,,,,,,,,solution
39,,,,,,,,hence
40,,,,,,,,bond
41,,,,,,,,crust
42,,,,,,,,react
44,,,,,,,,metal
45,,,,,,,,unpaired
46,,,,,,,,sblock
47,,,,,,,,excess
48,,,,,,,,liberate
49,,,,,,,,happens
52,,,,,,,,none
53,,,,,,,,mole
54,,,,,,,,negative
56,,,,,,,,series
57,,,,,,,,reaction
58,,,,,,,,diamagnetic
59,,,,,,,,correct
60,,,,,,,,order
61,,,,,,,,equivalent
62,,,,,,,,effective
63,,,,,,,,acidic
64,,,,,,,,gaseous
66,,,,,,,,kcro
67,,,,,,,,radius
68,,,,,,,,called
69,,,,,,,,iron
70,,,,,,,,amphoteric
71,,,,,,,,dumb
72,,,,,,,,iodide
73,,,,,,,,feso
74,,,,,,,,belonging
75,,,,,,,,product
76,,,,,,,,relationship
77,,,,,,,,dblock
78,,,,,,,,larger
79,,,,,,,,respectively
81,,,,,,,,oxidation
82,,,,,,,,ionic
83,,,,,,,,completely
84,,,,,,,,higher
85,,,,,,,,vitriol
87,,,,,,,,electron
88,,,,,,,,atom
89,,,,,,,,needed
91,,,,,,,,copper
92,,,,,,,,specie
93,,,,,,,,follow
94,,,,,,,,stable
96,,,,,,,,coloured
97,,,,,,,,metallic
98,,,,,,,,magnesium
99,,,,,,,,structure
100,,,,,,,,fblock
101,,,,,,,,pblock
102,,,,,,,,gold
103,,,,,,,,due
104,,,,,,,,cro
105,,,,,,,,pair
107,,,,,,,,dichromate
108,,,,,,,,electronic
109,,,,,,,,equal
110,,,,,,,,one
111,,,,,,,,potassium
112,,,,,,,,atomic
113,,,,,,,,emm
115,,,,,,,,volume
116,,,,,,,,abundant
117,,,,,,,,configuration
118,,,,,,,,successive
119,,,,,,,,involved
120,,,,,,,,liberates
122,,,,,,,,oxalate
123,,,,,,,,ferrous
124,,,,,,,,double
126,,,,,,,,spherical
127,,,,,,,,chromium
128,,,,,,,,contraction
129,,,,,,,,known
130,,,,,,,,number
133,,,,,,,,almost
134,,,,,,,,nuclear
135,,,,,,,,kmno
136,,,,,,,,reacts
137,,,,,,,,nickel
138,,,,,,,,iodine
139,,,,,,,,lower
140,,,,,,,,well
143,,,,,,,,state
144,,,,,,,,wavelength
145,,,,,,,,ion
146,,,,,,,,increase
147,,,,,,,,diagonal
148,,,,,,,,point
149,,,,,,,,following
150,,,,,,,,green
151,,,,,,,,result
152,,,,,,,,first
