,index,0,1,2,3,4,Answer,Words
0,0.0,CsOH is,(a) Strongly basic,(b) Weakly basic,(c) Slightly acidic,(d) Amphoteric.,"(a) Strongly basic
Explanation:
Caesium hydroxide or cesium hydroxide (CsOH) is a chemical compound consisting of caesium ions and hydroxide ions. It is a strong base (pkb = -1.76), much like the other alkali metal hydroxides such as sodium hydroxide and potassium hydroxide.",soda
1,1.0,Solvays process is used for the manufacture of :,(a) NaOH,(b) (Na2CO3. 10H2O),(c) K2CO3,(d) Na2O2,"(b) (Na2CO3. 10H2O)
Explanation:
The Solvay process or ammonia soda process is used for the manufacture of sodium carbonate
(Na2CO3. 10H2O).",reactive
2,2.0,Alkali metals give a _________________when dissolved in liquid ammonia,(a) Deep blue solution,(b) Colourless,(c) Red colour,(d) None of the Above,"(a) Deep blue solution
Explanation:
When an alkali metal is dissolved in liquid ammonia, it results in the formation of a deep blue coloured solution. The ammoniated electrons absorb energy corresponding to a red region of visible light. Therefore, the transmitted light is blue in colour.",manufacture
3,3.0,What are Oxo-Acids?,(a) Acid containing Oxygen,(b) Acid containing Sulphur,(c) Acid containing Carbon,(d) None of the Above,"(a) Acid containing Oxygen
Explanation:
An oxyacid, oxoacid, or ternary acid is an acid that contains oxygen. Specifically, it is a compound that contains hydrogen, oxygen, and at least one other element, with at least one hydrogen atom bond to oxygen that can dissociate to produce the H+ cation and the anion of the acid. e.g., carbonic acid, H2CO3 (OC(OH)2; sulphuric acid, H2SO4 (O2S(OH)2).",gel
4,4.0,"In curing cement plasters, water is sprinkled from time to time. This helps in",(a) Converting sand into silicic acid,(b) Keeping it cool,(c) Developing interlocking needle like crystals of hydrated silicates,(d) Hydrating sand and gravel mixed with cement.,"(c) Developing interlocking needle like crystals of hydrated silicates
Explanation:
Water develops interlocking needle ­like crystals of hydrated silicates. The reactions involved are the hydration of calcium aluminates and calcium silicates which change into their colloidal gels.",honexplanationnthe
5,5.0,The substance not likely to contain CaCO3 is,(a) Dolomite,(b) A marble statue,(c) Calcined gypsum,(d) Sea shells.,"(c) Calcined gypsum
Explanation:
The composition of gypsum is CaSO4 ∙2H2O. It does not have CaCO3",
6,6.0,Carnallite is the mineral of:,(a) Na,(b) Ca,(c) Mg,(d) None of the Above,"(c) Mg
Explanation:
Carnallite is an evaporite mineral a hydrated potassium magnesium chloride. It is variably coloured yellow to white, reddish or blue. It occurs with a sequence of potassium and magnesium evaporite. It is an uncommon double chloride mineral that forms under specific conditions. It is an important source of potash.",thermal
7,7.0,The wire of flash bulb is made up of:,(a) Mg,(b) Ag,(c) Cu,(d) Ba,"(a) Mg
Explanation:
Magnesium metal is used for the preparation of the wire of flash bulb.",group
8,8.0,The basic strength of which hydroxide is maximum,(a) LiOH,(b) NaOH,(c) Ca (OH)2,(d) KOH.,"(d) KOH.
Explanation:
The basic strength increases down the group and decreases along a period.",mgclxa
9,9.0,The composition of Sorels cement is,(a) KCl × MgCl2× 6H2O,(b) MgCl2 × 5MgO × (xH2O),(c) MgCO3 × CaCO3,(d) CaSO4 × 2H2O,"(b) MgCl2 × 5MgO × (xH2O)
Explanation:
Mixture of MgCl2 and MgO is called Sorels cement. It is MgCl2 × 5MgO × (xH2O)",salt
10,10.0,Which of the following alkali metals has the least melting point?,(a) Na,(b) K,(c) Rb,(d) Cs.,"(d) Cs.
Explanation:
Atomic size increases as we move down the alkali group. As a result, the binding energies of their atoms in the crystal lattice decrease. Also, the strength of metallic bonds decreases on moving down a group in the periodic table. This causes a decrease in the melting point. Among the given metals, Cs is the largest and has the least melting point.",made
11,11.0,The basic strength of which hydroxide is maximum,(a) LiOH,(b) NaOH,(c) Ca(OH)2,(d) KOH.,"(d) KOH.
Explanation:
The basic strength increases down the group and decreases along a period.",caponexplanationncapo
12,12.0,The hydration energy of Mg2+ is larger than that of,(a) A13+,(b) Na+,(c) Be26,(d) Mg3+,"(b) Na+
Explanation:
Hydration energy depends on charge of ion and ionic radius. Higher the charge, greater the hydration energy. On the other hand, smaller the size, greater the hydration energy. Charge is considered first for comparison. Hence, Mg2+ has higher hydration energy than Na+.",occurs
13,13.0,"Milk of lime reacts with chlorine to form ________, a constituent of bleaching powder.",(a) Ca(OCI)2,(b) Ca(CIO2)2,(c) Ca(CIO3)2,(d) Ca(CIO4)2,"(a) Ca(OCI)2
Explanation:
Milk of lime reacts with chlorine to form bleaching powder.
2Ca(OH)2 + 2Cl2 → CaCl2 + Ca(OCl)2 + 2H2O",uncommon
14,14.0,What happens when Calcium carbonate is heated to 1200 K?,(a) Carbon Monoxide,(b) Calcium hydroxide,(c) Calcium Oxide,(d) Both (2) and (3) are correct,"(d) Both (2) and (3) are correct
Explanation:
Calcium carbonate is strongly heated until it undergoes thermal decomposition to form calcium oxide and carbon dioxide. The calcium oxide (unslaked lime) is dissolved in water to form calcium hydroxide (limewater).
CaCO3 → CaO + CO2",slippery
15,15.0,The salt that is added to table salt to make it flow freely in rainy season is,(a) KCl,(b) KI,(c) Ca3(PO4)2,(d) Na3PO4,"(c) Ca3(PO4)2
Explanation:
Ca3(PO4)2. Both Ca and P are needed by human beings. Also they prevent moisture absorbing power of other components such as MgCl2, CaCl2, CaSO4 and MgSO4 present in commercial sodium chloride.",sorels
16,16.0,CsOH is,(a) Strongly basic,(b) Weakly basic,(c) Slightly acidic,(d) Amphoteric.,"(a) Strongly basic
Explanation:
Caesium hydroxide or cesium hydroxide (CsOH) is a chemical compound consisting of caesium ions and hydroxide ions. It is a strong base (pkb = -1.76), much like the other alkali metal hydroxides such as sodium hydroxide and potassium hydroxide.",also
17,17.0,Which of the following metals is not manufactured by electrolysis?,(a) Na,(b) Mg,(c) Al,(d) Fe,"(d) Fe
Explanation:
Method of extraction of a metal depends on the reactivity of the metal. Iron (Fe) is not manufacture by electrolysis. Moderately reactive metals like zinc and iron are extracted by reduction of their oxides using carbon.",silicatesnexplanationnwater
18,18.0,The wire of flash bulb is made up of:,(a) Mg,(b) Ag,(c) Cu,(d) Ba,"(a) Mg
Explanation:
Magnesium metal is used for the preparation of the wire of flash bulb.",caesium
19,19.0,Usually CaCl2 is preferred over NaCl for cleaning snow on roads particularly in very cold countries this is because,(a) NaCl makes the road slippery but CaCl2 doesnot,(b) CaCl2 is hygroscopic but NaCl is not,(c) CaCl2 is less soluble in H2O than NaCl,(d) eutectic mixtue of CaCl/H2O freezes at -55°C while that of NaCl/H2O freezes at -18°C,"(d) eutectic mixtue of CaCl/H2O freezes at -55°C while that of NaCl/H2O freezes at -18°C
Explanation:
Eutectic mixture of CaCl2/H2O freezes at -55°C while that of NaCl/H2O freezes at -18°C.",particularly
20,,,,,,,,mgnexplanationnmagnesium
21,,,,,,,,reduction
23,,,,,,,,base
24,,,,,,,,metal
25,,,,,,,,none
26,,,,,,,,source
27,,,,,,,,table
28,,,,,,,,constituent
29,,,,,,,,therefore
30,,,,,,,,dissociate
31,,,,,,,,called
32,,,,,,,,amphoteric
33,,,,,,,,produce
34,,,,,,,,cleaning
35,,,,,,,,ionic
36,,,,,,,,powderncaoh
38,,,,,,,,atom
39,,,,,,,,cement
40,,,,,,,,naclho
41,,,,,,,,osoh
42,,,,,,,,silicic
43,,,,,,,,powder
44,,,,,,,,periodic
45,,,,,,,,extraction
46,,,,,,,,oxoacids
47,,,,,,,,reddish
48,,,,,,,,plaster
49,,,,,,,,interlocking
50,,,,,,,,marble
51,,,,,,,,liquid
52,,,,,,,,greater
53,,,,,,,,carbonate
54,,,,,,,,make
55,,,,,,,,develops
56,,,,,,,,contain
57,,,,,,,,mgo
58,,,,,,,,napo
60,,,,,,,,condition
61,,,,,,,,potash
62,,,,,,,,lime
63,,,,,,,,unslaked
64,,,,,,,,ammoniated
65,,,,,,,,sequence
66,,,,,,,,statue
67,,,,,,,,developing
68,,,,,,,,result
69,,,,,,,,first
70,,,,,,,,consisting
71,,,,,,,,dioxide
72,,,,,,,,naoh
73,,,,,,,,energy
74,,,,,,,,converting
76,,,,,,,,melting
77,,,,,,,,cacio
78,,,,,,,,cesium
79,,,,,,,,mgso
80,,,,,,,,compound
81,,,,,,,,oxygennexplanationnan
82,,,,,,,,zinc
83,,,,,,,,bleaching
84,,,,,,,,curing
86,,,,,,,,period
87,,,,,,,,soluble
88,,,,,,,,gravel
89,,,,,,,,happens
90,,,,,,,,dissolved
91,,,,,,,,carbonatennaco
92,,,,,,,,strong
93,,,,,,,,reaction
94,,,,,,,,calcined
95,,,,,,,,caclho
96,,,,,,,,mixed
97,,,,,,,,being
98,,,,,,,,hydration
99,,,,,,,,preparation
100,,,,,,,,iron
101,,,,,,,,smaller
103,,,,,,,,hydroxide
104,,,,,,,,given
105,,,,,,,,slightly
106,,,,,,,,considered
107,,,,,,,,flash
108,,,,,,,,colour
109,,,,,,,,commercial
110,,,,,,,,dolomite
111,,,,,,,,metallic
112,,,,,,,,magnesium
113,,,,,,,,sodium
114,,,,,,,,pkb
115,,,,,,,,country
117,,,,,,,,potassium
118,,,,,,,,ocoh
119,,,,,,,,gypsumnexplanationnthe
120,,,,,,,,double
121,,,,,,,,hydrogen
122,,,,,,,,aluminate
123,,,,,,,,flow
124,,,,,,,,form
125,,,,,,,,hco
126,,,,,,,,reactivity
127,,,,,,,,kohnexplanationnthe
128,,,,,,,,absorb
129,,,,,,,,increase
130,,,,,,,,move
131,,,,,,,,added
132,,,,,,,,among
133,,,,,,,,xho
134,,,,,,,,heated
135,,,,,,,,moisture
136,,,,,,,,binding
138,,,,,,,,mineral
139,,,,,,,,size
140,,,,,,,,hydrated
141,,,,,,,,white
142,,,,,,,,basicnexplanationncaesium
143,,,,,,,,ammonia
144,,,,,,,,undergoes
145,,,,,,,,limewaterncaco
146,,,,,,,,time
147,,,,,,,,region
148,,,,,,,,water
149,,,,,,,,likely
150,,,,,,,,eutectic
151,,,,,,,,blue
152,,,,,,,,chloride
153,,,,,,,,crystal
154,,,,,,,,element
155,,,,,,,,carbonic
156,,,,,,,,like
157,,,,,,,,oxoacid
158,,,,,,,,hydrating
159,,,,,,,,decrease
160,,,,,,,,charge
161,,,,,,,,bond
163,,,,,,,,strength
164,,,,,,,,comparison
165,,,,,,,,red
166,,,,,,,,xhonexplanationnmixture
167,,,,,,,,largest
168,,,,,,,,yellow
169,,,,,,,,shell
170,,,,,,,,important
171,,,,,,,,manufactured
172,,,,,,,,lioh
174,,,,,,,,mgnexplanationncarnallite
175,,,,,,,,sulphuric
176,,,,,,,,caco
177,,,,,,,,extracted
178,,,,,,,,nanexplanationnhydration
179,,,,,,,,naco
180,,,,,,,,koh
182,,,,,,,,electron
183,,,,,,,,needed
184,,,,,,,,cnexplanationneutectic
185,,,,,,,,csnexplanationnatomic
186,,,,,,,,give
187,,,,,,,,present
188,,,,,,,,mgcl
189,,,,,,,,hygroscopic
190,,,,,,,,colourless
191,,,,,,,,one
192,,,,,,,,sand
194,,,,,,,,caocinexplanationnmilk
195,,,,,,,,fenexplanationnmethod
197,,,,,,,,prevent
198,,,,,,,,contains
199,,,,,,,,power
200,,,,,,,,cause
202,,,,,,,,chemical
203,,,,,,,,nao
204,,,,,,,,weakly
205,,,,,,,,ion
206,,,,,,,,solutionnexplanationnwhen
207,,,,,,,,cao
208,,,,,,,,mixture
209,,,,,,,,solvay
210,,,,,,,,light
211,,,,,,,,depends
212,,,,,,,,containing
213,,,,,,,,snow
214,,,,,,,,transmitted
215,,,,,,,,component
216,,,,,,,,specific
217,,,,,,,,used
218,,,,,,,,monoxide
219,,,,,,,,substance
220,,,,,,,,lattice
221,,,,,,,,human
222,,,,,,,,corresponding
223,,,,,,,,sprinkled
224,,,,,,,,colloidal
225,,,,,,,,keeping
226,,,,,,,,hand
227,,,,,,,,least
228,,,,,,,,freely
229,,,,,,,,moderately
230,,,,,,,,decomposition
231,,,,,,,,variably
232,,,,,,,,mgcoxa
233,,,,,,,,caso
235,,,,,,,,acid
236,,,,,,,,solution
237,,,,,,,,carbon
238,,,,,,,,gypsum
239,,,,,,,,hence
240,,,,,,,,silicate
241,,,,,,,,preferred
242,,,,,,,,visible
243,,,,,,,,sea
244,,,,,,,,caoh
245,,,,,,,,maximum
246,,,,,,,,cation
248,,,,,,,,moving
250,,,,,,,,oxygen
251,,,,,,,,correct
252,,,,,,,,hso
253,,,,,,,,freeze
254,,,,,,,,deep
255,,,,,,,,anion
256,,,,,,,,rainy
257,,,,,,,,acidic
258,,,,,,,,mixtue
259,,,,,,,,radius
260,,,,,,,,absorbing
261,,,,,,,,along
262,,,,,,,,capo
263,,,,,,,,caocl
264,,,,,,,,oxide
265,,,,,,,,larger
266,,,,,,,,help
267,,,,,,,,composition
268,,,,,,,,cold
269,,,,,,,,csoh
270,,,,,,,,mgclxaand
271,,,,,,,,higher
272,,,,,,,,caoci
273,,,,,,,,casoxa
275,,,,,,,,using
276,,,,,,,,road
277,,,,,,,,coloured
279,,,,,,,,calcium
280,,,,,,,,change
281,,,,,,,,wire
282,,,,,,,,needle
283,,,,,,,,alkali
284,,,,,,,,much
285,,,,,,,,ternary
286,,,,,,,,electrolysis
287,,,,,,,,involved
288,,,,,,,,chlorine
289,,,,,,,,cacl
290,,,,,,,,evaporite
291,,,,,,,,bulb
293,,,,,,,,correctnexplanationncalcium
294,,,,,,,,formation
295,,,,,,,,nacl
296,,,,,,,,cool
297,,,,,,,,basic
298,,,,,,,,reacts
299,,,,,,,,doesnot
300,,,,,,,,sulphur
301,,,,,,,,strongly
302,,,,,,,,kcl
303,,,,,,,,season
304,,,,,,,,process
305,,,,,,,,oxyacid
306,,,,,,,,point
307,,,,,,,,following
308,,,,,,,,kco
309,,,,,,,,specifically
