,index,0,1,2,3,4,Answer,Words
0,0.0,Third law of thermodynamics provides a method to evaluate which property?,(a) Absolute Energy,(b) Absolute Enthalpy,(c) Absolute Entropy,(d) Absolute Free Energy,"(c) Absolute Entropy
Explanation:
The Third Law of Thermodynamics is concerned with the limiting behavior of systems as the temperature approaches absolute zero. Most thermodynamics calculations use only entropy differences, so the zero point of the entropy scale is often not important. However, the Third Law tells us about the completeness as it describes the condition of zero entropy.",systemng
1,1.0,One mole of which of the following has the highest entropy?,(a) Liquid Nitrogen,(b) Hydrogen Gas,(c) Mercury,(d) Diamond,"(b) Hydrogen Gas
Explanation:
The measure of randomness of a substance is called entropy. Greater the randomness of molecules of a substance greater is the entropy. Here hydrogen gas has more entropy as it shows more randomness/disorderliness due to less molar mass than all the given substances and also in the gas phase.",
2,2.0,The enthalpy of vaporisation of a substance is 8400 J mol-1 and its boiling point is –173°C. The entropy change for vaporisation is :,(a) 84 J mol-1K-1,(b) 21 J mol-1K-1,(c) 49 J mol-1K-1,(d) 12 J mol-1K-1,"(a) 84 J mol-1K-1
Explanation:
∆S = (qrev)/ (T)
= (\(\frac {8400}{100}\))
= 84 J mol-1K-1",third
3,3.0,The species which by definition has ZERO standard molar enthalpy of formation at 298 K is,(a) Br2(g),(b) Cl2(g),(c) H2O(g),(d) CH4(g),"(b) Cl2(g)
Explanation:
This is possible only for elements, chlorine is a gas at this temperature, but bromine is a liquid, so it is possible only for chlorine.",internal
4,4.0,In a reversible process the system absorbs 600 kJ heat and performs 250 kJ work on the surroundings. What is the increase in the internal energy of the system?,(a) 850 kJ,(b) 600 kJ,(c) 350 kJ,(d) 250 kJ,"(c) 350 kJ
Explanation:
∆E = q + w
= (600 – 250)
∆E = 350 J",added
5,5.0,Which of the following is true for the reaction? H2O (l) ↔ H2O (g) at 100° C and 1 atm pressure,(a) ∆S = 0,(b) ∆H = T ∆S,(c) ∆H = ∆U,(d) ∆H = 0,"(a) ∆S = 0
Explanation:
Equilibrium
Therefore, ∆ G = 0 = ∆ H – T ∆ S
Or T∆ S = ∆H",kjmolnhence
6,6.0,Calculate the heat required to make 6.4 Kg CaC2 from CaO(s) and C(s) from the reaction: CaO(s) + 3 C(s) → CaC2(s) + CO (g) given that ∆f Ho (CaC2) = -14.2 kcal. ∆f H° (CO) = -26.4 kcal.,(a) 5624 kca,(b) 1.11 × 104 kcal,(c) 86.24 × 10³,(d) 1100 kcal,"(b) 1.11 × 104 kcal
Explanation:
n = (Mass)/ (Molecular weight)
= (6.4 × 10³)/ (64)
= 100
For 1 mole of CaC2
∆ H = ∆Hf (CaC) + Hf (CO) – Hf (CaO)
= -14.2 – 26.4 + 151.6 = 111.1 kcal
For 100 moles, ∆H = 1.11 × 104 Kcal",monoxide
7,7.0,"In a system where ∆E = -51.0 kJ, a piston expanded against a pext of 1.2 atm giving a change in volume of 32.0 L. What was the change in heat of this system?",(a) -36 kJ,(b) -13 kJ,(c) -47 kJ,(d) 24 kJ,"(c) -47 kJ
Explanation:
w = -1.2 (32) × 101.3
= – 3.89 KJ
= -4 (approx.)
= ∆ E = – 51.0 KJ
Therefore, E = q + w
– 51 = q – 4
Therefore, q = – 47 KJ",
8,8.0,A system absorb 10 kJ of heat at constant volume and its temperature rises from 270 C to 370 C. The value of ∆ U is,(a) 100 kJ,(b) 10 kJ,(c) 0 kJ,(d) 1 kJ,"(b) 10 kJ
Explanation:
At constant volume w = 0
Therefore, ∆ U = q = 10 kJ",substance
9,9.0,"In which of the following process, a maximum increase in entropy is observed?",(a) Dissolution of Salt in Water,(b) Condensation of Water,(c) Sublimation of Naphthalene,(d) Melting of Ice,"(c) 5P1V1
Explanation:
Work done = Area under P-V graph = (\(\frac {1}{2}\)) (5P1) (2V1) = 5P1 V1",reactant
10,10.0,The bond energy (in kcal mol-1) of a C-C single bond is approximately,(a) 1,(b) 10,(c) 83-85,(d) 1000,"(c) 83-85
Explanation:
C–C bond 83–85 kcal/mol",predicts
11,11.0,Which thermodynamic function accounts automatically for enthalpy and entropy both?,(a) Helmholtz Free Energy (A),(b) Internal Energy (E),(c) Work Function,(d) Gibbs Free Energy,"(d) Gibbs Free Energy
Explanation:
Gibbs free energy combines the effect of both enthalpy and entropy. The change in free energy (ΔG) is equal to the sum of the change of enthalpy (∆H) minus the product of the temperature and the change of entropy (∆S) of the system.
∆G = ∆H – T∆S
ΔG predicts the direction in which a chemical reaction will go under two conditions: (1) constant temperature and (2) constant pressure.
If ΔG is positive, then the reaction is not spontaneous (it requires the input of external energy to occur) and if it is negative, then it is spontaneous (occurs without the input of any external energy).",mass
