,index,0,1,2,3,4,Answer,Words
0,0.0,An atom stays in an excited state for about:,(a) 10 micro seconds,(b) 10 milli seconds,(c) 10 nano seconds,(d) 10 seconds,(c) 10 nano seconds,stay
1,1.0,The energy equivalent to one atomic mass unit is :,(a) 1.6 × 10-19 J,(b) 6.02 × 1023 J,(c) 9.31 MeV,(d) 931 MeV,(d) 931 MeV,mass
2,2.0,Who explained the splitting of special lines in magnetic field?,(a) Zeeman,(b) Bohr,(c) Summerfield,(d) Einstein,(a) Zeeman,micro
3,3.0,The mass of a neutron is:,(a) 1.00866 u,(b) 1.0866 u,(c) 1.866 u,(d) 0.1866 u,(a) 1.00866 u,splitting
4,4.0,Isobars have the same:,(a) A,(b) Z,(c) N,(d) All the above,(a) A,goudsmit
5,5.0,Isotones have the same:,(a) A,(b) Z,(c) N,(d) All the above,(c) N,millikan
6,6.0,Half-life of a substance depends on:,(a) pressure,(b) temperature,(c) density,(d) None of these,(d) None of these,constituent
7,7.0,The concept of electron spin was introduced by:,(a) Becquerel,(b) Goudsmit,(c) Millikan,(d) Uhlenbeek and Goudsmit,(d) Uhlenbeek and Goudsmit,milli
8,8.0,The principle that a quantum orbital cannot be occupied by more than two electrons was given by:,(a) Pauli,(b) Millikan,(c) Hund,(d) None of these,(a) Pauli,concept
9,9.0,"For ionization of excited Hydrogen atom, the, required energy is:",(a) a little less than 13.6,(b) equal to 13.6,(c) more than 13.6,(d) 3.4 or less,(d) 3.4 or less,
10,10.0,"According to Bohr’s theory of hydrogen atom, the radius r of stationary orbit are related to principal quantum number n as:",(a) rg ∝ \(\frac{1}{n^2}\),(b) rg ∝ \(\frac{1}{n}\),(c) rg ∝ n,(d) rg ∝ n²,(d) rg ∝ n²,introduced
11,11.0,Fg and Fe represents the gravitational and electrostatic force respectively between two electrons situated at some distance the ratio \(\frac{F_g}{F_e}\) is if the order of:,(a) 9.8,(b) 109,(c) 1042,(d) 10-42,(d) 10-42,one
12,12.0,Artificial radioactivity was discovered by:,(a) Joliot,(b) Becquerel,(c) Pauli,(d) None of these,(a) Joliot,represents
13,13.0,P-decay produces:,(a) isobars,(b) isotopes,(c) isotones,(d) All the above,(a) isobars,required
14,14.0,Natural radioactivity was discovered by:,(a) Joliot,(b) Becquerel,(c) Pauli,(d) None of these,(b) Becquerel,unit
15,15.0,Transmutation of nuclei was discovered by:,(a) Rutherford,(b) Becquerel,(c) Pauli,(d) None of these,(a) Rutherford,stationary
16,16.0,The energy equivalent to mass defect is called :,(a) binding energy,(b) internal energy,(c) external energy,(d) enthalpy,(a) binding energy,temperature
17,17.0,The total energy that will be released if a nucleus is built from its constituents is called the:,(a) binding energy of the nucleus,(b) binding energy of the solid,(c) binding energy of the atom,(d) None of these,(a) binding energy of the nucleus,binding
18,18.0,The binding energy of \(_{2}^{4}\)He is about:,(a) 28.3 eV,(b) 28.3 MeV,(c) 28.3 J,(d) 2.83 MeV,(b) 28.3 MeV,little
19,19.0,The binding energy of a deuteron is about:,(a) 2.22 MeV,(b) 2.22 J,(c) 2.22 eV,(d) None of these,(a) 2.22 MeV,ionization
20,,,,,,,,uhlenbeek
21,,,,,,,,hydrogen
22,,,,,,,,internal
23,,,,,,,,substance
24,,,,,,,,produce
25,,,,,,,,radius
26,,,,,,,,radioactivity
27,,,,,,,,second
28,,,,,,,,rutherford
29,,,,,,,,electron
30,,,,,,,,bohrs
31,,,,,,,,occupied
32,,,,,,,,orbit
33,,,,,,,,becquerel
34,,,,,,,,distance
35,,,,,,,,joliot
36,,,,,,,,released
37,,,,,,,,two
39,,,,,,,,equivalent
41,,,,,,,,called
42,,,,,,,,excited
43,,,,,,,,summerfield
44,,,,,,,,nucleus
45,,,,,,,,principal
46,,,,,,,,equal
47,,,,,,,,neutron
48,,,,,,,,defect
49,,,,,,,,situated
50,,,,,,,,enthalpy
51,,,,,,,,pressure
52,,,,,,,,order
53,,,,,,,,spin
54,,,,,,,,zeeman
55,,,,,,,,field
56,,,,,,,,deuteron
57,,,,,,,,discovered
58,,,,,,,,cannot
59,,,,,,,,pauli
60,,,,,,,,theory
61,,,,,,,,energy
63,,,,,,,,atomic
64,,,,,,,,force
65,,,,,,,,atom
67,,,,,,,,line
68,,,,,,,,magnetic
69,,,,,,,,hund
70,,,,,,,,respectively
72,,,,,,,,state
73,,,,,,,,mev
75,,,,,,,,ratio
76,,,,,,,,einstein
77,,,,,,,,orbital
78,,,,,,,,number
79,,,,,,,,special
80,,,,,,,,given
81,,,,,,,,bohr
82,,,,,,,,principle
83,,,,,,,,none
84,,,,,,,,isotones
85,,,,,,,,solid
86,,,,,,,,quantum
87,,,,,,,,isotope
88,,,,,,,,external
89,,,,,,,,density
90,,,,,,,,total
91,,,,,,,,electrostatic
92,,,,,,,,isobar
93,,,,,,,,built
94,,,,,,,,explained
97,,,,,,,,nano
98,,,,,,,,related
99,,,,,,,,gravitational
100,,,,,,,,depends
