,index,0,1,2,3,4,Answer,Words
0,0.0,Who undertook the first space walk and in which year?,(a) Leonov 1965,"(b) Neil Armstrong, 1969",(c) Rakesh Sharma. 1998,(d) None of these,(a) Leonov 1965,zero
1,1.0,The term used “to collect the information about an object and a place without physical contact” is called :,(a) modulation,(b) communication,(c) amplification,(d) remote sensing,(d) remote sensing,ommi
2,2.0,The velocity of electromagnetic wave is:,(a) 3 × 105 ms-1,(b) 3 × 106 ms-1,(c) 3 × 108 ms-1,(d) 3 × 1010 ms-1,(c) 3 × 108 ms-1,without
3,3.0,The audio frequencies range from:,(a) 20 Hz to 20.000 kHz,(b) 20 Hz to 20 kHz,(c) 20 kHz to 20.000 kHz,(d) None of these,(b) 20 Hz to 20 kHz,neither
4,4.0,The wavelength of a wave of frequency 10 kHz is:,(a) 30 m,(b) 300 m,(c) 30 km,(d) 300 km,(c) 30 km,fork
5,5.0,The area served by an antenna of height 100 m is:,(a) 109m²,(b) 4 × 109 m²,(c) 6 × 109m²,(d) 8 × 1010m²,(b) 4 × 109 m²,data
6,6.0,Which of the following is not transducer?,(a) Loudspeaker,(b) Amplifier,(c) Microphone,(d) All,(b) Amplifier,horizontal
7,7.0,The space waves which are affected seriously by atmospheric conditions are:,(a) MF,(b) HUF,(c) VHF,(d) UHF,(d) UHF,requires
8,8.0,An antenna is:,(a) Inductive,(b) Capacitive,(c) Resistive,(d) A transformer,(a) Inductive,length
9,9.0,Broadcasting antenna are generally:,(a) Ommi directional type,(b) Vertical type,(c) Horizontal type,(d) None,(b) Vertical type,velocity
10,10.0,The modulation index in amplitude modulation is:,(a) Always zero,(b) Between 0 and 1,(c) Between 1 and ∞,(d) None of these,(c) Between 1 and ∞,free
11,11.0,The output of a digital computer is an example of:,(a) digital signal,(b) analog signal,(c) both (a) and (b),(d) neither (a) nor (b),(a) digital signal,amplification
