,index,0,1,2,3,4,Answer,Words
0,0.0,De-Broglie equation states the:,(a) dual nature,(b) particle nature,(c) wave nature,(d) none of these,(a) dual nature,mass
1,1.0,Protons and alpha particles have the same de-Broglie wavelength. What is same for both of them ?,(a) Energy,(b) Time period,(c) Frequency,(d) Momentum,(d) Momentum,threshold
2,2.0,Kinetic energy of emitted electrons depends upon :,(a) frequency,(b) intensity,(c) nature of atmosphere surrounding the electrons,(d) none of these,(a) frequency,liquid
3,3.0,De-Broglie wavelength of a body of mass m and kinetic energy E is given by (symbols have their usual meanings):,(a) \(\frac{h}{\sqrt{2mE}}\),(b) \(\frac{h}{2mE}\),(c) \(\frac{\sqrt{2mE}}{h}\),(d) \(\frac{h}{mE}\),(a) \(\frac{h}{\sqrt{2mE}}\),give
4,4.0,The ratio of specific charge of an alpha particle to the proton is:,(a) 1 : 2,(b) 2 : 1,(c) 4 : 1,(d) 1 : 4,(a) 1 : 2,metre
5,5.0,In Thomson’s experiment number of parabola gives :,(a) the no. of electrons present in element,(b) the no. of proton present in element,(c) the no. of neutrons present in element,(d) the no. of isotopes of the element present,(d) the no. of isotopes of the element present,far
6,6.0,The work function of photoelectric material is 3.3 eV. The threshold frequency will be equal to:,(a) 8 × 1014 Hz,(b) 8 × 1010 Hz,(c) 5 × 1010 Hz,(d) 4 × 1014 Hz,(a) 8 × 1014 Hz,upon
7,7.0,The strength of photoelectric current depends upon :,(a) angle of incident radiation,(b) frequency of incident radiation,(c) intensity of incident radiation,(d) distance between anode and cathode,(b) frequency of incident radiation,doppler
8,8.0,The momentum of an electron that emits a wavelength of 2 Å. will be:,(a) 6.4 × 10-36 kgms-1,(b) 3.3 × 10-24 kgms-1,(c) 3.3 × 10-34 kgms-1,(d) none of these,(b) 3.3 × 10-24 kgms-1,establish
9,9.0,Name the scientists who first studied the passage of electricity through fluids to establish the electrical nature of matter:,(a)Millikan,(b) Planck,(c) Faraday,(d) Boyle,(c) Faraday,millikan
10,10.0,Millikan’s oil drop experiment makes use of:,(a) Stokes’ law,(b) Boyle’s law,(c) Gas equation,(d) Bernoulli’s theorem,(a) Stokes’ law,planck
11,11.0,X-rays are:,(a) deflected by an electric field,(b) deflected by a magnetic field,(c) deflected by both electric and magnetic fields,(d) not deflected by electric and magnetic fields,(d) not deflected by electric and magnetic fields,lower
12,12.0,"In photo electric emission, for alkali metals the threshold frequency lies in the:",(a) visible region,(b) ultraviolet region,(c) infrared region,(d) far end of the infrared region,(a) visible region,region
13,13.0,Which of the following radiations cannot eject photo electrons?,(a) ultraviolet,(b) infrared,(c) visible,(d) X-rays,(b) infrared,scientist
14,14.0,What is the de-Broglie wavelength of an electron accelerated from rest through a potential difference of V volts?,(a) \(\frac{12.3}{V^2}\) Å,(b) \(\frac{12.3}{V}\) Å,(c) \(\frac{12.2}{V^2}\) Å,(d) None of these,(a) \(\frac{12.3}{V^2}\) Å,theorem
15,15.0,What is the de-Broglie wavelength of an electron accelerated from rest through a potential difference of 100 volts?,(a) 12.3 Å,(b) 1.23 Å,(c) 0.123 Å,(d) None of these,(b) 1.23 Å,charge
16,16.0,What is the de-Broglie wavelength of a proton accelerated from rest through a potential difference of V volts?,(a) \(\frac{12.3}{√V}\) Å,(b) \(\frac{12.3}{V}\) Å,(c) \(\frac{12.2}{V^2}\) Å,(d) None of these,(d) None of these,velocity
17,17.0,"When a yellow light is incident on a surface, no electrons are emitted while green light can emit electrons. If the red light is incident on the surface then:",(a) no electrons are emitted,(b) photons are emitted,(c) electrons of higher energy are emitted,(d) electrons of lower energy are emitted,(a) no electrons are emitted,emitted
18,18.0,"The de-Broglie wavelength of particle of mass 1 mg moving with a velocity of 1 ms-1, in terms of Planck’s constant h, is given by (in metre):",(a) 105  h,(b) 106 h,(c) 10-3 h,(d) 103 h,(b) 106 h,element
19,19.0,Evidence of the wave nature of light cannot be obtained from:,(a) diffraction,(b) interference,(c) doppler effect,(d) reflection,(d) reflection,bernoullis
20,20.0,which Characteristic of a target does the Mosley’s law relate the frequency of X-rays?,(a) density,(b) atomic number,(c) atomic weight,(d) interatomic space,(b) atomic number,effect
21,21.0,The charge of a photo electron is :,(a) 9.1 × 10-31 C,(b) 9.1 × 10-27 C,(c) 9.1 × 10-24 C,(d) none of these,(d) none of these,
22,22.0,"The number of photons of frequency n present in energy E, in terms of Planck’s constant h:",(a) \(\frac{E}{nh}\),(b) nhE,(c) \(\frac{nh}{E}\),(d) \(\frac{nE}{h}\),(a) \(\frac{E}{nh}\),use
23,23.0,"Compared to liquids and solids, gases are:",(a) good conductors of electricity,(b) best conductors of electricity,(c) very poor conductors of electricity,(d) good or bad conductors of electricity depending upon the nature of the gas,(c) very poor conductors of electricity,matter
24,24.0,The different stages of discharge in a discharge tube can be explained on the basis of:,(a) the wave nature of light,(b) the dual nature of light,(c) wave nature of electrons,(d) the collision between the charged particles emitted from the cathode the atoms of the gas in the tube,(d) the collision between the charged particles emitted from the cathode the atoms of the gas in the tube,charged
25,25.0,"When an electron jumps across a potential difference of 1 V, it gains energy equal to :",(a) 1.602 × 10-19 J,(b) 1.602 × 1019 J,(c) 1.602 × 1024 J,(d) 1 J,(a) 1.602 × 10-19 J,faraday
26,,,,,,,,basis
27,,,,,,,,xrays
28,,,,,,,,cathode
29,,,,,,,,specific
30,,,,,,,,electrical
31,,,,,,,,metal
32,,,,,,,,oil
33,,,,,,,,incident
34,,,,,,,,momentum
35,,,,,,,,frequency
36,,,,,,,,fluid
37,,,,,,,,bad
38,,,,,,,,term
39,,,,,,,,visible
40,,,,,,,,work
41,,,,,,,,usual
42,,,,,,,,across
43,,,,,,,,current
44,,,,,,,,alpha
45,,,,,,,,electron
46,,,,,,,,surface
47,,,,,,,,emits
48,,,,,,,,kgms
50,,,,,,,,law
52,,,,,,,,distance
53,,,,,,,,photoelectric
54,,,,,,,,interatomic
55,,,,,,,,eject
56,,,,,,,,intensity
57,,,,,,,,atmosphere
58,,,,,,,,difference
59,,,,,,,,gain
60,,,,,,,,present
61,,,,,,,,surrounding
62,,,,,,,,studied
63,,,,,,,,photon
64,,,,,,,,stokes
65,,,,,,,,wave
66,,,,,,,,make
67,,,,,,,,passage
68,,,,,,,,jump
71,,,,,,,,emission
72,,,,,,,,characteristic
73,,,,,,,,moving
74,,,,,,,,space
75,,,,,,,,time
76,,,,,,,,yellow
77,,,,,,,,diffraction
78,,,,,,,,period
79,,,,,,,,function
80,,,,,,,,boyles
81,,,,,,,,anode
82,,,,,,,,experiment
83,,,,,,,,equal
84,,,,,,,,volt
85,,,,,,,,collision
86,,,,,,,,proton
87,,,,,,,,best
88,,,,,,,,stage
89,,,,,,,,discharge
90,,,,,,,,symbol
91,,,,,,,,following
92,,,,,,,,drop
93,,,,,,,,neutron
94,,,,,,,,rest
95,,,,,,,,light
96,,,,,,,,reflection
97,,,,,,,,accelerated
98,,,,,,,,particle
99,,,,,,,,electricity
101,,,,,,,,infrared
103,,,,,,,,relate
104,,,,,,,,target
105,,,,,,,,wavelength
106,,,,,,,,field
107,,,,,,,,meaning
108,,,,,,,,conductor
109,,,,,,,,tube
110,,,,,,,,potential
111,,,,,,,,cannot
112,,,,,,,,electric
113,,,,,,,,parabola
114,,,,,,,,energy
115,,,,,,,,atomic
116,,,,,,,,atom
117,,,,,,,,debroglie
118,,,,,,,,ultraviolet
119,,,,,,,,obtained
120,,,,,,,,radiation
121,,,,,,,,angle
122,,,,,,,,magnetic
123,,,,,,,,depending
124,,,,,,,,kinetic
125,,,,,,,,nature
126,,,,,,,,end
127,,,,,,,,state
129,,,,,,,,body
130,,,,,,,,interference
131,,,,,,,,ratio
132,,,,,,,,material
133,,,,,,,,alkali
134,,,,,,,,boyle
135,,,,,,,,red
136,,,,,,,,mosleys
137,,,,,,,,number
138,,,,,,,,given
139,,,,,,,,different
140,,,,,,,,none
141,,,,,,,,constant
142,,,,,,,,dual
143,,,,,,,,lie
144,,,,,,,,emit
145,,,,,,,,solid
146,,,,,,,,photo
147,,,,,,,,deflected
148,,,,,,,,good
149,,,,,,,,higher
150,,,,,,,,isotope
151,,,,,,,,first
152,,,,,,,,weight
153,,,,,,,,equation
154,,,,,,,,density
156,,,,,,,,nhe
157,,,,,,,,gas
158,,,,,,,,explained
160,,,,,,,,thomsons
161,,,,,,,,poor
162,,,,,,,,green
163,,,,,,,,strength
164,,,,,,,,depends
165,,,,,,,,plancks
