,index,0,1,2,3,4,Answer,Words
0,0.0,The coupling co-efficient of the perfectly coupled coils is:,(a) Zero,(b) 1,(c) slightly more than 1,(d) infinite,(b) 1,zero
1,1.0,1 henry is equal to :,(a) \(\frac{weber}{ampere}\),(b) \(\frac{weber}{Volt}\),(c) weber ampere,(d) None of these,(a) \(\frac{weber}{ampere}\),secondcoulomb
2,2.0,"The magnetic field is parallel to a surface, then the magnetic flux through the surface is :",(a) zero,(b) small but not zero,(c) infinite,(d) large but not infinite,(b) small but not zero,effective
3,3.0,"In the expression e = –\(\frac{d∅}{dt}\), the -ve sign signifies:",(a) The induced emf is produced only when magnetic flux decreases,(b) The induced emf opposes the change in the magnetic flux,(c) The induced emf is opposite to the direction of the flux,(d) None of these,(b) The induced emf opposes the change in the magnetic flux,direction
4,4.0,An e– and a p– are moving parallel to each other in a magnetic field. The magnetic force acting on the p+ is:,(a) 1840 times that on e–,(b) less than that of e–,(c) same as that of e–,(d) slightly more than that of e–,(c) same as that of e–,purely
5,5.0,Which of the following is not equal to a henry?,(a) \(\frac{Volt second}{ampere}\),(b) \(\frac{Volt second^2}{Coulomb}\),(c) \(\frac{Volt^2 second}{Coulomb}\),(d) \(\frac{Jole second}{Coulomb^2}\),(c) \(\frac{Volt^2 second}{Coulomb}\),rusting
6,6.0,A transformer is used to light 100 W and 110 V lamp from a 220 V mains. If the main current is 0.5 A. Then the efficiency of the transformer is:,(a) 11%,(b) 50%,(c) 80%,(d) 90%,(d) 90%,mil
7,7.0,The magnetic flux (∅) linked with a coil is related to the number of turns (N) ofthe coil as:,(a) f ∝ N,(b) f ∝ N-1,(c) f ∝ N2,(d) f ∝ N-2,(a) f ∝ N,perfectly
8,8.0,The magnetic flux (∅) lined with a coil is related to its area (s) as:,(a) ∅ ∝ s,(b) ∅ ∝ s²,(c) ∅ ∝ s1/2,(d) ∅ ∝ s-1/2,(a) ∅ ∝ s,developed
9,9.0,"If the magnetic flux linked with a coil through which a current off ampere is set up is ∅, then the coefficient of self-inductance of the coil is:",(a) \(\frac{l}{∅}\),(b) \(\frac{∅}{l}\),(c) ∅l,(d) None of these,(b) \(\frac{∅}{l}\),neither
10,10.0,"In a uniform magnetic field B, a wire in the form of a semicircle of radius r rotated about the diameter of the circle with angular frequency ‘ω’. The axis of rotation is perpendicular to the field. If the total resistance of the circuit is R the mean power generated per period of rotation is :",(a) \(\frac{Bπr^2ω}{2R}\),(b) \(\frac{(Bπr^2ω)^2}{8R}\),(c) \(\frac{(Bπrω)^2}{2R}\),(d) \(\frac{(Bπrω^2)^2}{8R}\),(b) \(\frac{(Bπr^2ω)^2}{8R}\),secondary
