,index,0,1,2,3,4,Answer,Words
0,0.0,S.I. unit of flux is :,(a) Ohm,(b) Weber,(c) Tesla,(d) None,(b) Weber,zero
1,1.0,What is the angle of dip at a place where the horizontal component of earth’s magnetic field is equal to the vertical component?,(a) 0°,(b) 30°,(c) 45°,(d) 90°,(c) 45°,meter
2,2.0,Which of the following has a low value in ferrites?,(a) Conductivity,(b) Permeability,(c) Magnetic susceptibility,(d) All the above,(a) Conductivity,keeping
3,3.0,The dimensional representation of magnetic flux density is :,(a) [MLT-2],(b) [MLT-2A-1],(c) [MLT-2A-2],(d) [MT-2A-1],(d) [MT-2A-1],semi
4,4.0,Tangent law is applicable only when:,(a) two uniform and mutually perpendicular magnetic fields exist,(b) two magnetic fields exist,(c) horizontal component of earth’s magnetic field is present,(d) uniform magnetic field are used,(a) two uniform and mutually perpendicular magnetic fields exist,pole
5,5.0,Ferrites may be:,(a) ant. ferromagnetic,(b) ferromagnetic,(c) ferrimagnetic,(d) None of the above,(b) ferromagnetic,semicircular
6,6.0,"A magnetic bar of M magnetic moment is placed m the field of magnetic strength B, the torque acting on it is :",(a) \(\vec{M} \).\(\vec{B} \),(b) –\(\vec{M} \).\(\vec{B} \),(c) \(\vec{M} \) × \(\vec{B} \).,(d) \(\vec{B} \) × \(\vec{M} \),(c) \(\vec{M} \) × \(\vec{B} \).,give
7,7.0,The magnetic lines of force inside a bar magnet:,(a) do not exist,(b) depends on area of cross-section of bar magnet,(c) are from N-pole to S-pole of the magnet,(d) are from S-pole to N-pole of the magnet.,(d) are from S-pole to N-pole of the magnet.,file
8,8.0,A magnetic dipole moment is a vector quantity directed from:,(a) S to N,(b) N to S,(c) E to W,(d) W to E,(a) S to N,direction
9,9.0,"What is the magnetic field in the empty space enclosed by the toroidal solenoid of radius ‘R’? ,",(a) Infinity,(b) \(\frac{µ_0}{4π}\).\(\frac{2πl}{R}\),(c) \(\frac{µ_0}{4π}\).(\(\frac{πl}{R}\)),(d) zero,(d) zero,ant
10,10.0,A current carrying power line carries current from west to east. What will be direction of magnetic field 1 meter above it?,(a) N to S,(b) S to N,(c) E to W,(d) W to E,(a) N to S,horizontal
11,11.0,The dimensional representation of \(\sqrt{l/MB}\) is similar to that of:,(a) frequency,(b) time,(c) distance,(d) speed,(b) time,axial
12,12.0,"On quadrupling the moment of inertia of a magnet, its frequency of oscillation will become:",(a) half,(b) double,(c) four times,(d) one-fourth,(a) half,induction
13,13.0,The magnetic field strength due to a short bar magnet directed along its axial line at a distance r is B. What is its value at the same distance along the equatorial line?,(a) B,(b) 2B,(c) \(\frac{B}{2}\),(d) \(\frac{B}{4}\),(c) \(\frac{B}{2}\),flux
14,14.0,The neutral point in the magnetic field of a horizontally placed bar magnet is a point where the magnetic field due to that bar magnet is:,(a) zero,(b) more than that of earth,(c) less than that of earth,(d) equal to that of earth,(d) equal to that of earth,length
15,15.0,"In a moving coil galvanometer, we use a radial magnetic field so that the galvanometer scale is :",(a) exponential,(b) linear,(c) algebraic,(d) logarithmic,(b) linear,arrangement
16,16.0,"The force between two parallel wire 2 × 10-7 Nm-1, placed 1 m apart to each other in vacuum. The electric current flowing through the wires is:",(a) 1 A,(b) zero,(c) 5 × 106 A,(d) 2 × 10-7 A,(a) 1 A,charge
17,17.0,The force acting per unit length of a semi circular wire of radius R carrying a current I is:,(a) \(\frac{µ_0l^2}{4R}\),(b) \(\frac{µ_0l^2}{2R}\),(c) \(\frac{µ_0l^2}{R}\),(d) \(\frac{2µ_0l^2}{R}\),(a) \(\frac{µ_0l^2}{4R}\),curvature
18,18.0,Which of the following has higher magnetic susceptibility?,(a) diamagnetic,(b) paramagnetic,(c) ferromagnetic,(d) None of these,(c) ferromagnetic,carrying
