,index,0,1,2,3,4,Answer,Words
0,0.0,The angular velocity depends upon the rate of change of the?,(a) Angular acceleration,(b) Angular Distance.,(c) Angular Displacement.,(d) torque,(c) Angular Displacement.,zero
1,1.0,"A small body attached at the end of an inextensible string completes a vertical circle, then its",(a) angular momentum remains constant,(b) linear momentum remains constant,(c) angular velocity remains constant,(d) total mechanical energy remains constant,(d) total mechanical energy remains constant,completes
2,2.0,"A cyclist goes round a circular path of circumference 343 m in s. The angle made by him, with the vertical is",(a) 440,(b) 420,(c) 430,(d) 450,(d) 450,propagation
3,3.0,A body makes a displacement of 4 m due East from a point O and then makes displacement of 3 m due North. Its resultant displacement from O,(a) 7 m,(b) 1 m,(c) 5 m,(d) 1 . 2 m,(c) 5 m,direction
4,4.0,A body is traveling in a circle at constant speed. It,(a) has an inward acceleration,(b) has constant velocity.,(c) has no acceleration,(d) has an outward radial acceleration,(a) has an inward acceleration,metre
5,5.0,"When a body P moves on a circular path, the centripetal acceleration is","(a) directed inwards from P, to the centre of the circle","(b) directed tangential to the circumference of the circle, at P","(c) directed perpendicular to the planc of the circle, at P","(d) directed outward, perpendicular to the circumference of the circle","(a) directed inwards from P, to the centre of the circle",upon
6,6.0,"A coin kept on a rotating gramophone disc just begins to slip if its centre is at a distance of 8 cm from the centre of the disc. The angular velocity of the gramophone disc is then doubled. Through what distance, the coin should be shifted towards the centre, so that the coin will just slip?",(a) 2 cm,(b) 6 cm,(c) 16 cm,(d) 4 cm,(a) 2 cm,disc
7,7.0,A can filled with water is revolved in a vertical circle of radius 4 metre and the water does not fall down. The time period of revolution will be,(a) 4 sec,(b) 10 sec,(c) 8 sec,(d) 1 sec,(a) 4 sec,kept
8,8.0,When angular velocity changes with respect to time then?,(a) an angular acceleration is produced,(b) a linear acceleration is produced,(c) it constitute a couple,(d) a linear velocity is produced,(a) an angular acceleration is produced,requires
9,9.0,The total flight requires a time that is?,(a) four times the time necessary to reach the maximum height.,(b) thrice the time necessary to reach the maximum height,(c) equal to the time necessary to reach the maximum height.,(d) twice the time necessary to reach the maximum height,(d) twice the time necessary to reach the maximum height,projectile
10,10.0,The path followed by a projectile is called its?,(a) Territory,(b) Treasury,(c) Tractor,(d) Trajectory,(d) Trajectory,travel
11,11.0,One radian is defined to be the angle subtended where the arc length S is exactly equal to the?,(a) radius of the circle.,(b) diameter of the circle.,(c) circumference of the circle.,(d) half of radius of the circle.,(a) radius of the circle.,length
12,12.0,"A car sometimes overturns while taking a turn. When it overturns, it is",(a) the inner wheel which leaves the ground first,(b) either inner wheel or the outer wheel leaves the ground,(c) both the wheel leave the ground simultaneously,(d) the outer wheel which leaves the ground first,(a) the inner wheel which leaves the ground first,leaf
13,13.0,A body travels along the circumference of a circle of radius 2 m with a linear velocity of 6 m/s . Then its angular velocity is,(a) 6 rad /s,(b) 3 rad /s,(c) 2 rad / s,(d) 4 rad / s,(b) 3 rad /s,velocity
14,14.0,The centripetal component of acceleration arises when?,(a) The direction of motion is changed.,(b) The direction propagation is changed.,(c) The direction of gravity is changed.,(d) The direction of projectile is changed.,(a) The direction of motion is changed.,followed
15,15.0,The word centripetal is derived from two Greek words meaning?,(a) Seeking the situation.,(b) Seeking the centre.,(c) Touching the centre.,(d) Leaving the centre.,(b) Seeking the centre.,outer
16,16.0,A car is moving with a speed of 30 m/s on a circular path of radius 500 m. Its speed is increasing at the rate of 2 m/s². The acceleration of the car is,(a) 2 m/s²,(b) 9.8 m/s²,(c) 1.8 m/2,(d) 2.7 m/s²,(d) 2.7 m/s²,angular
17,17.0,One radian is equal to?,(a) 57.7o,(b) 53.7o,(c) 59.3o,(d) 57.3o,(d) 57.3o,derived
18,18.0,A body is moving along a circle with an increasing speed. It possesses?,(a) centripetal acceleration only (ac),(b) tangential acceleration only (ar),(c) both tangential and centripetal acceleration (ar and ac),(d) No acceleration,(c) both tangential and centripetal acceleration (ar and ac),inwards
19,19.0,"The path of a particle is given by the expression y = at + bt², where a and b are constants . Y is the displacement at time t. Its velocity at any instant is given by",(a) a + 2bt,(b) zero,(c) 2bt,(d) at,(a) a + 2bt,remains
20,,,,,,,,word
21,,,,,,,,speed
22,,,,,,,,displacement
23,,,,,,,,centre
24,,,,,,,,inner
25,,,,,,,,either
26,,,,,,,,cyclist
27,,,,,,,,sometimes
28,,,,,,,,filled
29,,,,,,,,circle
30,,,,,,,,overturn
31,,,,,,,,directed
33,,,,,,,,mechanical
34,,,,,,,,momentum
35,,,,,,,,treasury
36,,,,,,,,couple
37,,,,,,,,perpendicular
38,,,,,,,,slip
39,,,,,,,,changed
40,,,,,,,,water
41,,,,,,,,acceleration
42,,,,,,,,turn
43,,,,,,,,maximum
44,,,,,,,,doubled
46,,,,,,,,respect
47,,,,,,,,gravity
48,,,,,,,,radius
49,,,,,,,,touching
50,,,,,,,,small
51,,,,,,,,simultaneously
52,,,,,,,,half
53,,,,,,,,four
54,,,,,,,,begin
55,,,,,,,,thrice
56,,,,,,,,radian
57,,,,,,,,outward
58,,,,,,,,increasing
59,,,,,,,,territory
61,,,,,,,,north
63,,,,,,,,distance
64,,,,,,,,path
65,,,,,,,,revolution
66,,,,,,,,round
67,,,,,,,,subtended
68,,,,,,,,posse
69,,,,,,,,arc
70,,,,,,,,two
71,,,,,,,,instant
72,,,,,,,,gramophone
73,,,,,,,,situation
74,,,,,,,,leave
75,,,,,,,,make
76,,,,,,,,seeking
77,,,,,,,,shifted
78,,,,,,,,centripetal
79,,,,,,,,rate
80,,,,,,,,fall
81,,,,,,,,constitute
82,,,,,,,,ground
83,,,,,,,,called
84,,,,,,,,moving
85,,,,,,,,coin
86,,,,,,,,height
87,,,,,,,,time
88,,,,,,,,torque
89,,,,,,,,rad
90,,,,,,,,period
91,,,,,,,,greek
92,,,,,,,,arises
93,,,,,,,,reach
94,,,,,,,,equal
95,,,,,,,,leaving
96,,,,,,,,expression
97,,,,,,,,flight
98,,,,,,,,taking
99,,,,,,,,point
100,,,,,,,,resultant
101,,,,,,,,particle
102,,,,,,,,traveling
103,,,,,,,,circular
104,,,,,,,,exactly
105,,,,,,,,twice
106,,,,,,,,along
107,,,,,,,,meaning
108,,,,,,,,planc
109,,,,,,,,vertical
110,,,,,,,,made
111,,,,,,,,trajectory
112,,,,,,,,energy
113,,,,,,,,inextensible
114,,,,,,,,produced
115,,,,,,,,tractor
116,,,,,,,,motion
117,,,,,,,,string
118,,,,,,,,rotating
119,,,,,,,,linear
120,,,,,,,,angle
121,,,,,,,,end
122,,,,,,,,east
123,,,,,,,,revolved
124,,,,,,,,wheel
125,,,,,,,,body
126,,,,,,,,car
127,,,,,,,,circumference
128,,,,,,,,radial
130,,,,,,,,component
131,,,,,,,,given
132,,,,,,,,sec
133,,,,,,,,constant
134,,,,,,,,attached
135,,,,,,,,change
136,,,,,,,,first
137,,,,,,,,total
139,,,,,,,,towards
140,,,,,,,,due
141,,,,,,,,move
144,,,,,,,,defined
145,,,,,,,,tangential
146,,,,,,,,necessary
147,,,,,,,,diameter
148,,,,,,,,depends
149,,,,,,,,inward
