,index,0,1,2,3,4,Answer,Words
0,0.0,The current sensitibility of a moving coil galanometer increases with decrease in:,(a) magnetic field,(b) area of a coil,(c) number of turns,(d) None of these,(d) None of these,zero
1,1.0,"A current carring coil is placed in a uniform magnetic field. If the coil turns through an angle θ, then the torque is directly proportional to:",(a) sin θ,(b) cos θ,(c) cot θ,(d) tan θ,(b) cos θ,meter
2,2.0,The sensitivity of a tangent galvanometer can be increased by increasing:,(a) the radius of the coil,(b) the external magnetic field,(c) the number of turns of the coil,(d) all the above,(b) the external magnetic field,magnetism
3,3.0,The permeability of a paramagnetic substance is:,(a) very large,(b) small but more than unity,(c) less than unity,(d) negative,(b) small but more than unity,mass
4,4.0,Which of the following shows that the earth behaves as a magnet?,(a) Repulsion between like poles .,(b) Attraction between unlike poles,(c) Null points in the magnetic field of a bar magnet,(d) No existence of isolated magnetic poles,(c) Null points in the magnetic field of a bar magnet,keeping
5,5.0,What is the angle of dip at the magnetic poles ?,(a) 30°,(b) 0°,(c) 45°,(d) None of these,(d) None of these,qvece
6,6.0,"A charged particle of mass m and charge q travels on a circular path of radius r i.e., perpendicular to the magnetic field B. The time taken by particle to complete on revolution is :",(a) \(\frac{2πqB}{m}\),(b) \(\frac{2πm}{qB}\),(c) \(\frac{2πmq}{B}\),(d) \(\frac{2πq^2B}{m}\),(b) \(\frac{2πm}{qB}\),webermetre
7,7.0,Circular loop of radius 0.0157 m carries a current 2 A. The magnetic field at the centre of the loop is :,(a) 1.57 × 10-3Wb/m²,(b) 8.0 × 10-5 Wb/m²,(c) 2.0 × 10-3 Wb/m²,(d) 3.l4 × 10-1 Wb/m²,(b) 8.0 × 10-5 Wb/m²,cyclotron
8,8.0,What happens to the magnetic field at the centre of a circular current carrying coil if we double the radius of the coil keeping the current unchanged?,(a) halved,(b) doubled,(c) quadrupled,(d) remains unchanged,(a) halved,wbm
9,9.0,"When we double the radius of a coil keeping the current through it unchanged, what happens to the magnetic field directed along its axis at far off points?",(a) halved,(b) doubled,(c) quadrupled,(d) remains unchanged,(d) remains unchanged,spectrograph
