,index,0,1,2,3,4,Answer,Words
0,0.0,Which of-the following is not a property of light?,(a) It can travel through vacuum,(b) It has a finite speed,(c) It requires a material medium for its propagation,(d) It involve transportation energy,(c) It requires a material medium for its propagation,zero
1,1.0,Two points P and q are situated at the same distance from a source of light but on opposite sides. The plane difference between the light waves passing through P and q will be:,(a) n,(b) 2n,(c) \(\frac{π}{2}\),(d) zero,(d) zero,approaching
2,2.0,The phase difference between the electric and the magnetic field vectors in electromagnetic waves is,(a) \(\frac{π}{4}\),(b) \(\frac{π}{2}\),(c) π,(d) zero,(d) zero,tlr
3,3.0,A ray of light travelling in air is incident of a glass slab. The ray gets partly reflected and partly refracted. The phase difference between the reflected and the refracted waves is :,(a) \(\frac{π}{2}\),(b) \(\frac{π}{4}\),(c) π,(d) zero,(c) π,optic
4,4.0,Which of the following cannot be polarised?,(a) radiowaves,(b) transverse waves,(c) sound waves,(d) X-rays,(c) sound waves,effective
5,5.0,Light year is the unit of:,(a) distance,(b) time,(c) intensity of light,(d) None of these,(a) distance,resolved
6,6.0,"If a mirror is approaching you at a speed of 10 ms^1, the speed with which your image approach you is:",(a) 10 ms-1,(b) 5 ms-1,(c) 20 ms-1,(d) 15 ms-1,(c) 20 ms-1,liquid
7,7.0,The refractive indices (R.I.) of glass and water with respect to air are 3/2 and 4/3 respectively. The R.I. of glass w.r. to w ater is:,(a) 8/9,(b) 9/8,(c) 7/6,(d) 2,(b) 9/8,propagation
8,8.0,The angle of minimum deviation for an equilateral glass prism is 30°. Refractive index of the prism is:,(a) \(\frac{1}{√3}\),(b) √2,(c) 1,(d) can’t be determined,(b) √2,enters
9,9.0,A beam of light is incident at 60° to a plane surface. The reflected and refracted rays are perpendicular to each other. What is the R.I. of the surface:,(a) \(\frac{1}{√3}\),(b) √3,(c) \(\frac{1}{3}\),(d) 3,(b) √3,undergoes
10,10.0,A concave mirror of focal length f produces an image n times the size of the object. If the image is real then the distance of the object is:,(a) (n – 1) f,(b) (n + 1) f,(c) (\(\frac{n+1}{n}\))f,(d) (\(\frac{n-1}{n}\))f,(c) (\(\frac{n+1}{n}\))f,prism
11,11.0,A convergent lens will become less convergent in :,(a) oil,(b) water,(c) both of (a) and (b),(d) none of these,(b) water,essential
12,12.0,A thin glass (RI = \(\frac{3}{2}\)) lens has optical power of – 5D in air. Its optical power in a liquid medium with RI = 1.6 will be:,(a) -2.5 D,(b) 25 D,(c) -ID,(d) 0.625 D,(d) 0.625 D,micro
13,13.0,"On reflection from a denser medium, a light wave suffers a phase difference of:",(a) π,(b) \(\frac{π}{2}\),(c) \(\frac{π}{4}\),(d) 2π,(a) π,determined
14,14.0,The branch of optics dealing with the formation of images using the concept of straight line propagation of light is called:,(a) geometrical optics,(b) physical optics,(c) corpuscular optics,(d) quantum optics,(d) quantum optics,transportation
15,15.0,"When light travels from one medium to another, which of the following does not change?",(a) frequency,(b) refractive index,(c) velocity,(d) wavelength,(a) frequency,telescope
