,index,0,1,2,3,4,Answer,Words
0,0.0,Bonds in a semiconductor :,(a) trivalent,(b) covalent,(c) bivalent,(d) monovalent,(b) covalent,zero
1,1.0,Number of electrons in the valence shell of a semiconductor is:,(a) 1,(b) 2,(c) 3,(d) 4,(d) 4,semi
2,2.0,Semiconductors of both p-type and n-type are produced by:,(a) ionic solids,(b) covalent solids,(c) metallic solids,(d) molecular solids,(b) covalent solids,uncharged
3,3.0,"With fall of temperature, the forbidden energy gap of a semiconductor",(a) increases,(b) decreases,(c) sometimes increases and sometimes decreases,(d) remains unchanged,(d) remains unchanged,commonly
4,4.0,"In a p-type semiconductor, current conduction is by:",(a) atoms,(b) holes,(c) electrons,(d) protons,(b) holes,simplify
5,5.0,The relation between number of free electrons (n) in a semiconductor and temperature (T) is given by:,(a) n ∝ T,(b) n ∝ T²,(c) n ∝ T1/2,(d) n ∝ T3/2,(d) n ∝ T3/2,heating
6,6.0,In reverse biasing:,(a) large amount of current flows,(b) no current flows,(c) potential barrier across junction increases,(d) depletion layer resistance increases,(c) potential barrier across junction increases,trivalent
7,7.0,Main function of a transistor is to :,(a) rectify,(b) simplify,(c) amplify,(d) all the above,(c) amplify,semiconductor
8,8.0,"To obtain p-type silicon semiconductor, we need to dope pure silicon with:",(a) aluminium,(b) phosphorus,(c) oxygen,(d)germanium,(a) aluminium,electronic
9,9.0,"On applying reverse bias to a junction diode, it:",(a) lowers the potential barrier,(b) raise the potential barrier,(c) increases the majority carrier current,(d) increases the minority carrier current,(b) raise the potential barrier,lower
10,10.0,"For germanium crystal, the forbidden energy gap in joules",(a) 1.216 × 10-19,(b) 1.76 × 10-19,(c) 1.6 × 10-19,(d) zero,(a) 1.216 × 10-19,joule
11,11.0,To obtain electrons as majority charge carriers in a semiconductors the impurity mixed is:,(a) monovalent,(b) divalent,(c) trivalent,(d) pentavalent,(b) divalent,divalent
12,12.0,"In the middle of the depletion layer of a reverse biased p-n junction, the:",(a) electric field is zero,(b) potential is maximum,(c) electric field is maximum,(d) potential zero.,(d) potential zero.,free
13,13.0,In a common base amplifier the phase difference between the input signal voltage and output voltage is :,(a) π/2,(b) 0,(c) π/4,(d) π,(b) 0,obtain
14,14.0,Energy bands in solids are a consequence of:,(a) Ohm’s Law,(b) Pauli’s exclusion principle,(c) Bohr’s theory,(d) Heisenberg’s uncertainty principle,(b) Pauli’s exclusion principle,charge
15,15.0,In semi conductor which are responsible for conduction:,(a) only electron,(b) electron and hole both,(c) only hole,(d) None of these,(b) electron and hole both,amplification
16,16.0,In binary system III represents:,(a) 1,(b) 3,(c) 7,(d) 100,(c) 7,positively
17,17.0,"On heating, resistance of semiconductors:",(a) decreases,(b) increases,(c) remains same,(d) first increases then decreases,(a) decreases,bond
18,18.0,p-n junction diode can be used as:,(a) amplifier,(b) oscillator,(c) detector,(d) modulator,(c) detector,biasing
19,19.0,"In intrinsic semiconductor at room temperature, the number of electrons and holes are:",(a) equal,(b) unequal,(c) infinite,(d) zero,(a) equal,remains
20,20.0,"In full wave rectifier, input a.c. current has a frequency v. The output frequency of current is :",(a) V/2,(b) V,(c) 2V,(d) None,(a),forbidden
21,21.0,Winch of the following gate is not an universal gate?,(a) OR,(b) NOT,(c) AND,(d) NAND,(d) NAND,junction
22,22.0,Zener diode is used for:,(a) producing oscillations in a oscillator,(b) amplification,(c) stabilisation,(d) rectification,(c) stabilisation,depletion
23,23.0,"In semi conductor, at room temperature :",(a) the valence bond is partially empty and the conduction band is partially filled,(b) the valence band is completely filled and the conduction band is partially filled,(c) the valence band is completely filled,(d) the conduction band is completely empty,(a) the valence bond is partially empty and the conduction band is partially filled,used
24,24.0,Crystal diode is:,(a) amplifying device,(b) fluctuating device,(c) non-linear device,(d) linear device,(c) non-linear device,infinite
25,25.0,The part of a transistor which is heavily doped to produce a large number of majority carriers is :,(a) base,(b) emitter,(c) collector,(d) None of these,(b) emitter,universal
26,26.0,A p-type semiconductor is:,(a) negatively charged,(b) positively charged,(c) uncharged,(d) None of these,(c) uncharged,large
27,27.0,The material most commonly used to manufacture electronic solid state devices is :,(a) copper,(b) silicon,(c) germanium,(d) aluminium,(b) silicon,represents
