,index,0,1,2,3,4,Answer,Words
0,0.0,"What happens if one of the slits, say S1 in Young’s double , slit experiment-is covered with a glass plate which absorbs half the intensity of light from it?",(a) The bright fringes become less-bright and the dark fringes have a finite light intensity,(b) The bright fringes become brighter and the dark fringes become darker,(c) The fringe width decreases,(d) No fringes will be observed,(a) The bright fringes become less-bright and the dark fringes have a finite light intensity,zero
1,1.0,What happens to the interference pattern the two slits S1 and S2 in Young’s double experiment are illuminated by two independent but identical sources?,(a) The intensity of the bright fringes doubled,(b) The intensity of the bright fringes becomes four times,(c) Two sets of interference fringes overlap,(d) No interference pattern is observed,(d) No interference pattern is observed,fresnel
2,2.0,What is the reason for your answer to the above question?,(a) The two sources do not emit light of the same wavelength,(b) The two sources emit waves which travel with different speeds,(c) The two sources emit light waves of different amplitudes,(d) There is not constant phase difference between the waves emitted by the two sources,(d) There is not constant phase difference between the waves emitted by the two sources,spectrometer
3,3.0,A single slit diffraction pattern is obtained using a beam of red light What happened the red light is replaced by the blue light?,(a) There is no change in diffraction pattern,(b) Diffraction fringes become narrower and crowded,(d) Diffraction fringes become broader and farther apart,(d) The diffraction pattern disappear,(b) Diffraction fringes become narrower and crowded,tlr
4,4.0,"When a polaroid is rotated, the intensity of light varies but never reduces to zero. It shows that the incident light is:",(a) unpolarised,(b) completely plane polarised,(c) partially plane polarised,(d) None of the above,(c) partially plane polarised,observation
5,5.0,"When a polaroid is rotated, the intensity of light does not vary. The incident light may be:",(a) unpolarised,(b) completely polarised,(c) partially plane polarised,(d) None of the above,(a) unpolarised,halfed
6,6.0,"In Young’s double slit experiment, a maximum is obtained when the path difference between the interfering waves is (n ∈ l):",(a) nλ,(b) n \(\frac{λ}{2}\),(c) (2n + 1) \(\frac{λ}{2}\),(d) (2n – 1) \(\frac{λ}{4}\),(a) nλ,give
7,7.0,Two sources of light are said to be coherent when both give out light waves of the same:,(a) amplitude and phase,(b) intensity and wavelength,(c) speed,(d) wavelength and a constant phase difference,(c) having a constant phase difference,metre
8,8.0,"The intensity of light emerging from the two slits, in Young’s experiment is in the ratio 1 : 4. The ratio of,the intensity of the minimum to that of the consecutive maximum will be:",(a) 1 : 4,(b) 1 : 9,(c) 1 : 16,(d) 2 : 3,(b) 1 : 9,vision
9,9.0,Poisson’s bright spot was discovered by:,(a) Fresnel,(b) Rayleigh,(c) Poisson,(d) Fraunhoffer,(c) Poisson,doppler
10,10.0,"The theory of expanding universe is confirmed by the observation of the spectral lines of the star, which shows :",(a) green shift,(b) red shift,(c) violet shift,(d) yellow shift,(b) red shift,interefere
11,11.0,The application of Doppler effect are:,(a) Doppler spectrometer,(b) Doppler radius,(c) Doppler velocimeter,(d) All of these,(d) All of these,prism
12,12.0,Which of the following is conserved when light waves interefere?,(a) phase,(b) intensity,(c) amplitude,(d) none of these,(d) none of these,upon
13,13.0,"In Young double slit experiment, a minimum is obtained when the phase difference of the superposing waves, is (n ∈ l):",(a) nπ,(b) (n + \(\frac{1}{2}\))π,(c) (2n + 1)π,(d) zero,(c) (2n + 1)π,lessbright
