,index,0;1;2;3;4;Answer,Words
0,During acetylation of glucose it needs ,v moles of.acetic anhydride. The value of x would be;(a) 3;(b) 5;(c) 4;(d) 1;(b) 5,sugar
1,On oxidation with a mild oxidising agent like Br2/H20, the glucose is oxidized to;(a) saccharic acid;(b) glucaric acid;(c) gluconic acid;(d) valeric acid;(c) gluconic acid,cxho
2,Invert sugar is;(a) a type of cane sugar;(b) optically inactive form of sugar;(c) mixture of glucose and galactose;(d) mixture of glucose and fructose in equimolar quantities;(d) mixture of glucose and fructose in equimolar quantities,,found
3,Which of the following compounds is found abundatly in nature?;(a) Fructose;(b) Starch;(c) Glucose;(d) Cellulose;(b) Starch or (d) Cellulose,,increases
4,Glycosidic linkage is an;(a) amide linkage;(b) ester linkage;(c) ether linkage;(d) acetyl linkage;(c) ether linkage,,almost
5,Starch is composed of two polysaccharides which arc;(a) amylopectin and glycogen;(b) amylose and gtycogen;(c) amylose (20%) and amylopectin (80%);(d) cellulose and glycogen;(c) amylose (20%) and amylopectin (80%),,polypeptide
6,Which reagent is used to convert glucose into saccharic acid?;(a) Br2/H2O;(b) Nitric acid;(c) Alkaline solution of iodine;(d) Ammonium hydroxide;(b) Nitric acid,,would
7,Maltose is made up of;(a) two α-D-glucose;(b) normal β-D-glucose;(c) α- and β-D-glucose;(d) fructose;(a) two α-D-glucose,,acid
8,What is the basic formulae for starch?;(a) (C6H12O6)n;(b) (C6H10O5)n;(c) C12O12O11;(d) (C6H12O4)n;(b) (C6H10O5)n,,galactose
9,Whicn of the following is an example of an aldopentose?;(a) D-Ribose;(b) Glyceraldehyde;(c) Fructose;(d) Erythrose;(a) D-Ribose,,oxidized
10,Which of the following treatment will convert starch directly into glucose?;(a) Heating with dilute H2SO4;(b) Fermentation by diastase;(c) Fermentation by zymase;(d) Heating with dilute NaOH;(d) Heptanoic acid,,nan
11,The general formula of carbohydrates is;(a) CnH2n+1O;(b) CnH2nO;(c) Cx(H2O);(d) Cn(H2,O)2n;(c) Cx(H2O),electrostatic
12,The a-and p-forms of glucose are;(a) isomers of D (+) glucose and L (-) glucose respectively;(b) diastereomers of glucose;(c) anomers of glucose;(d) isomers which differ in the configuration of C-2;(c) anomers of glucose,,on
13,What are the hydrolysis products of sucrose?;(a) Fructose + Fructose;(b) Glucose + Glucose;(c) Glucose + Galactose;(d) D-Glucose + D-Fructose;(d) D-Glucose + D-Fructose,,covalent
14,Carbohydrates are stored in human body as the polysaccharide;(a) starch;(b) glycogen;(c) cellulose;(d) amylose;(b) glycogen,,der
15,The glycosidic linkage involved in linking the glucose units in amylose part of starch is;(a) C1-C4 β-linkage;(b) C4-C6 β-linkage;(c) C1-C6 α-linkage;(d) C1-C4 α-linkage;(d) C1-C4 α-linkage,,reduces
16,The conversion of maltose into glucose is possible by the enzyme;(a) zymase;(b) lactase;(c) maltase;(d) diastase;(c) maltase,,attraction
17,Which of the following is a non-reducing sugar?;(a) Glucose;(b) Sucrose;(c) Maltose;(d) Lactose;(b) Sucrose,,blood
18,Which one of the following is not correct?;(a) D(-) Fructose exist sin furanose structure;(b) D (+) Glucose exists in pyranose structure;(c) In sucrose the two monosaccharides are held together by peptide linkage;(d) Maltose is a reducing sugar;(c) In sucrose the two monosaccharides are held together by peptide linkage,,cane
19,The anomeric carbon in D (+) glucose is;(a) C-1 carbon;(b) C-2 carbon;(c) C-5 carbon;(d) C-6 carbon;(a) C-1 carbon,,together
20,Glucose  Product is;(a) hexanoic acid;(b) gluconic acid;(c) saccharic acid;(d) bromohexane;(b) gluconic acid,,unit
21,How many C-atoms are there is a pyranose ring?;(a) 3;(b) 5;(c) 6;(d) 7;(c) 6,,van
22,Cellulose is a;(a) hexapolysaccharide;(b) pentapolysaccharide;(c) tripolysaccharide;(d) None of these;(d) None of these,,fructose
23,The letter ‘D’ in carbohydrates signifies;(a) dextrorotatory;(b) configuration;(c) diamagnetic nature;(d) mode of synthesis;(b) configuration,,forces
24,A diabetic person carries a packet of glucose with him always, because;(a) glucose increases the blood sugar level slowly;(b) glucose reduces the blood sugar level;(c) glucose increases the blood sugar level almost instantaneously;(d) glucose reduces the blood sugar level slowly;(c) glucose increases the blood sugar level almost instantaneously,glucaric
25,Among the naturally occurring carbohydrates, furanose ring is found in the;(a) Glucose unit of cane sugar;(b) Glucose unit of cellulose;(c) Fructose unit of cane sugar;(d) Galactose unit of lactose;(c) Fructose unit of cane sugar,cellulose
26,Amino acids generally exist in the form of Z witter ions. This means they contain;(a) Basic – NH2 group and acidic – COOH group;(b) The basic – NH3 group and acidic – COO– group;(c) Basic -NH2 and acidic – H+ group;(d) Basic – COO– group and acidic – NH3 group;(d) D is dextrorotatory while L is laevorotatory enatiomer,,slowly
27,Globular proteins are present in;(a) blood;(b) eggs;(c) milk;(d) all of these;(d) all of these,,ring
28,Which one of the amino acids can be synthesised in the body?;(a) Alanine;(b) Lysine;(c) Valine;(d) Histidine;(a) Alanine,,moles
29,Which of the following is not true about amino acids?;(a) They are constituents of all proteins;(b) Alanine having one amino and one carboxylic group;(c) Most naturally occurring amino acids have D-configuration;(d) Glycine is the only naturally occuring amino acid which is optically inactive.;(c) Most naturally occurring amino acids have D-configuration,,value
30,Denaturation of protein leads to loss of its biological activity by;(a) formation of amino acids;(b) loss of primary structure;(c) loss of both primary and secondary structure;(d) loss of both secondary and tertiary structures;(d) loss of both secondary and tertiary structures,,saccharic
31,Proteins are condensation polymers of;(a) α-amino acids;(b) β-amino acids;(c) α-hydroxy acids;(d) β-hydroxy acids;(a) α-amino acids,,lactose
32,Mark the wrong statement about denaturation of proteins;(a) The primary structure of the protein does not change;(b) Globular proteins are converted into fibrous proteins;(c) Fibrous proteins are converted into globular proteins;(d) The biological activity of the protein is destroyed;(c) Fibrous proteins are converted into globular proteins,,ofacetic
