,index,0;1;2;3;4;Answer,Words
0,0.0,Oxidation number of gold metal is;(a) +1;(b) 0;(c) -1;(d) all of these;(a) +1,series
1,1.0,Shape of d-orbital is;(a) spherical;(b) dumb bell;(c) double dumb bell;(d) none of these;(c) double dumb bell,earth’s
2,2.0,Electronic configuration of alkaline earth element is;(a) ns2;(b) ns1;(c) np6;(d) ns0;(a) ns2,green
3,3.0,Lanthanoid contraction is due to increase in;(a) atomic number;(b) effective nuclear charge;(c) atomic radius;(d) valence electrons;(b) effective nuclear charge,earth
4,4.0,Which one of the following is called green vitriol?;(a) FeSO4 7H2O;(b) CuSO4 5H2O;(c) CaSO4 2H2O;(d) None of these;(a) FeSO4 7H2O,cro\{}{}\
5,5.0,Which block of elements are known as transition elements?;(a) p-block;(b) s-block;(c) d-block;(d) f-block;(c) d-block,sblock
6,6.0,Most abundant element in earth’s crust is;(a) Si;(b) Al;(c) Zn;(d) Fe;(a) Si,liberate
7,7.0,Which one of the following is diamagnetic ion?;(a) Co2+;(b) Ni2+;(c) Cu2+;(d) Zn2+;(d) Zn2+,np
8,8.0,Which of the following is not an element of first transition series?;(a) Iron;(b) Chromium;(c) Magnesium;(d) Nickel;(c) Magnesium,absorption
9,9.0,Colour of transition metal ions are due to absorption of some wavelength. This results in;(a) d-s transition;(b) s-s transition;(c) s-t/transition;(d) d-d transition;(d) d-d transition,diamagnetic
10,10.0,The melting point of copper is higher than that of zinc because;(a) copper has a bcc structure;(b) the atomic volume of copper is higher;(c) the electrons of copper are involved in metallic bonding;(d) the s as well as d electrons of copper are involved in metallic bonding;(c) the electrons of copper are involved in metallic bonding,dblock
11,11.0,Zr and Hf have almost equal atomic and ionic radii because of;(a) diagonal relationship;(b) lartthanoid contraction;(c) actinoid contraction;(d) belonging to the same group;(b) lartthanoid contraction,bell
12,12.0,Which of the following is not an amphoteric ion?;(a) Al3+;(b) Cr3+;(c) Fe3+;(d) Zn2+;(c) Fe3+,electrons
13,13.0,What happens when potassium iodide reacts with acidic solution of potassium dichromate?;(a) It liberates iodine;(b) Potassium sulphate is formed;(c) Chromium sulphate is formed;(d) All the above products are formed;(d) All the above products are formed,involved
14,14.0,The number of moles of KMnO4 that are needed to react completely with one mole of ferrous oxalate in acidic solution is;(a) 3/5;(b) 2/5;(c) 4/5;(d) 1;(a) 3/5,potassium
15,15.0,Acidified potassium dichromate reacts with potassium iodide and oxidises it to I2. What is the oxidation state of chromium in the products of the reaction?;(a) +4;(b) +6;(c) +3;(d) +2;(c) +3,increase
16,16.0,One mole of acidfied K2Cr3+O on reaction with excess KI will liberate ………….. mole(s) of I2.;(a) 6;(b) 1;(c) 7;(d) 2;(a) 6,acidic
17,17.0,In the diehromateanion (Cr2O\(_{7}^{2-}\));(a) all Cr – O bonds are equivalent;(b) 6 Cr – O bonds are equivalent;(c) 3 Cr – O bonds are equivalent;(d) no bonds in Cr2O\(_{7}^{2-}\) are equivalent;(b) 6 Cr – O bonds are equivalent,oxalate
18,,,reacts
19,,,oxidation
20,,,equivalent
21,,,ni
22,,,react
23,,,oxidises
24,,,element
25,,,caso
26,,,…………
27,,,results
28,,,kcro
29,,,atomic
30,,,melting
31,,,lanthanoid
32,,,metallic
33,,,metal
34,,,iodide
35,,,higher
36,,,sulphate
37,,,copper
38,,,ss
39,,,wavelength
40,,,alkaline
41,,,following
42,,,volume
43,,,effective
44,,,called
45,,,completely
46,,,configuration
47,,,co
48,,,first
49,,,nuclear
50,,,valence
51,,,formed
52,,,acidified
53,,,bonds
54,,,cuso
55,,,fe
56,,,ionic
57,,,kmno
58,,,electronic
59,,,fblock
60,,,one
61,,,almost
62,,,diagonal
63,,,point
64,,,elements
65,,,excess
66,,,dorbital
67,,,actinoid
68,,,iodine
69,,,transition
70,,,ds
71,,,st/transition
72,,,ions
73,,,state
74,,,contraction
75,,,acidfied
76,,,needed
77,,,zinc
78,,,ion
79,,,iron
80,,,known
81,,,equal
82,,,diehromateanion
83,,,bonding
84,,,lartthanoid
85,,,ho
86,,,radii
87,,,none
88,,,radius
89,,,reaction
90,,,zn
91,,,liberates
92,,,colour
93,,,relationship
94,,,cu
95,,,abundant
96,,,products
97,,,dichromate
98,,,amphoteric
99,,,nickel
100,,,double
101,,,chromium
102,,,block
103,,,charge
104,,,solution
105,,,structure
106,,,al
107,,,well
108,,,belonging
109,,,vitriol
110,,,ns
111,,,dd
112,,,ferrous
113,,,happens
114,,,moles
115,,,magnesium
116,,,due
117,,,bcc
118,,,feso
119,,,si
120,,,dumb
121,,,spherical
122,,,mole
123,,,pblock
124,,,cr
125,,,crust
126,,,group
127,,,shape
128,,,number
129,,,gold
