0;1;2;3;4;Answer
CsOH is;(a) Strongly basic;(b) Weakly basic;(c) Slightly acidic;(d) Amphoteric.;"(a) Strongly basic
Explanation:
Caesium hydroxide or cesium hydroxide (CsOH) is a chemical compound consisting of caesium ions and hydroxide ions. It is a strong base (pkb = -1.76), much like the other alkali metal hydroxides such as sodium hydroxide and potassium hydroxide."
Solvays process is used for the manufacture of :;(a) NaOH;(b) (Na2CO3. 10H2O);(c) K2CO3;(d) Na2O2;"(b) (Na2CO3. 10H2O)
Explanation:
The Solvay process or ammonia soda process is used for the manufacture of sodium carbonate
(Na2CO3. 10H2O)."
Alkali metals give a _________________when dissolved in liquid ammonia;(a) Deep blue solution;(b) Colourless;(c) Red colour;(d) None of the Above;"(a) Deep blue solution
Explanation:
When an alkali metal is dissolved in liquid ammonia, it results in the formation of a deep blue coloured solution. The ammoniated electrons absorb energy corresponding to a red region of visible light. Therefore, the transmitted light is blue in colour."
What are Oxo-Acids?;(a) Acid containing Oxygen;(b) Acid containing Sulphur;(c) Acid containing Carbon;(d) None of the Above;"(a) Acid containing Oxygen
Explanation:
An oxyacid, oxoacid, or ternary acid is an acid that contains oxygen. Specifically, it is a compound that contains hydrogen, oxygen, and at least one other element, with at least one hydrogen atom bond to oxygen that can dissociate to produce the H+ cation and the anion of the acid. e.g., carbonic acid, H2CO3 (OC(OH)2; sulphuric acid, H2SO4 (O2S(OH)2)."
In curing cement plasters, water is sprinkled from time to time. This helps in;(a) Converting sand into silicic acid;(b) Keeping it cool;(c) Developing interlocking needle like crystals of hydrated silicates;(d) Hydrating sand and gravel mixed with cement.;"(c) Developing interlocking needle like crystals of hydrated silicates
Explanation:
Water develops interlocking needle ­like crystals of hydrated silicates. The reactions involved are the hydration of calcium aluminates and calcium silicates which change into their colloidal gels."
The substance not likely to contain CaCO3 is;(a) Dolomite;(b) A marble statue;(c) Calcined gypsum;(d) Sea shells.;"(c) Calcined gypsum
Explanation:
The composition of gypsum is CaSO4 ∙2H2O. It does not have CaCO3"
Carnallite is the mineral of:;(a) Na;(b) Ca;(c) Mg;(d) None of the Above;"(c) Mg
Explanation:
Carnallite is an evaporite mineral a hydrated potassium magnesium chloride. It is variably coloured yellow to white, reddish or blue. It occurs with a sequence of potassium and magnesium evaporite. It is an uncommon double chloride mineral that forms under specific conditions. It is an important source of potash."
The wire of flash bulb is made up of:;(a) Mg;(b) Ag;(c) Cu;(d) Ba;"(a) Mg
Explanation:
Magnesium metal is used for the preparation of the wire of flash bulb."
The basic strength of which hydroxide is maximum;(a) LiOH;(b) NaOH;(c) Ca (OH)2;(d) KOH.;"(d) KOH.
Explanation:
The basic strength increases down the group and decreases along a period."
The composition of Sorels cement is;(a) KCl × MgCl2× 6H2O;(b) MgCl2 × 5MgO × (xH2O);(c) MgCO3 × CaCO3;(d) CaSO4 × 2H2O;"(b) MgCl2 × 5MgO × (xH2O)
Explanation:
Mixture of MgCl2 and MgO is called Sorels cement. It is MgCl2 × 5MgO × (xH2O)"
