,index,0;1;2;3;4;Answer,Words
0,0.0,Which of the following alcohols gives 2-butenc on dehydration byconc. H2SO4?;(a) 2-methyl propene-2-ol;(b) 2-methyl 1 -propanol;(c) Butane-2-ol;(d) Butane 1-ol;(c) Butane-2-ol,chchchoh
1,1.0,One mole of ethyl acetate on tatment with an excess of LiAlH4 in dry ether and subsequent acidification produces;(a) 1 mole acetic acid + 1 mole ethyl alcohol;(b) 1 mole ethyl alcohol + 1 mole methyl alcohol;(c) 2 moles of ethyl alcohol;(d) 1 mole of 2-butanol;(c) 2 moles of ethyl alcohol,secondary
2,2.0,1-Phenylethanol can be prepared by the reaction of benzaldehyde with;(a) methyl bromide;(b) ethyl iodide and magnesium;(c) methyl iodide and magnesium (Grignard reagent’s);(d) methyl bromide and aluminium bromide;(c) methyl iodide and magnesium (Grignard reagent’s),acid
3,3.0,Which of the following alcohols will give the most stable carbocation during dehydration?;(a) 2-methyl-1-propanol;(b) 2-methyl-2-propanol;(c) 1-Butanol;(d) 2-Butanol;(b) 2-methyl-2-propanol,pentanol
4,4.0,A compound X with the molecular formula C2H8O can be oxidised to another compound Y whose molecular formulae is C3H6O2. The compound X may be;(a) CH3CH2OCH3;(b) CH3CH2CHO;(c) CH3CH2CH2OH;(d) CH3CHOHCH3;(c) CH3CH2CH2OH,catalysed
5,5.0,Order of esterification of alcohols are;(a) 3° > 1° > 2°;(b) 2°> 3° > 1°;(c) 1 ° > 2° > 3°;(d) None of these;(c) 1 ° > 2° > 3°,carboxylic
6,6.0,What happens when tertiary butyl alcohol is passed over heated copper at 300°C?;(a) Secondary butyl alcohol is formed;(b) 2-methylpropene is formed;(c) 1-butene is formed;(d) Butanol is formed;(b) 2-methylpropene is formed,alcohols
7,7.0,The decreasing order of boiling point of the following alcohols is;(a) 3-methylbuan-2-ol > 2-methylbutan-2-ol > pentan-1-ol;(b) Pentan-1-ol > 3-methylbutan-2-ol > 2-methylbutan-2-ol;(c) 2-methylbutan-2-ol > 3-methylbutan-2-ol > pentan-1-ol;(d) 2-methylbutan-2-ol > pental-1-ol > 3-methylbutan-2-ol;(c),butene
8,8.0,Acid catalysed dehydration of t-butanol is faster than that of n-butanol because;(a) tertiary carbocation is more stable than primary carbocation;(b) primary carbocation is more stable than tertiary carbocation;(c) t-butanol has a higher boiling point;(d) rearrangement takes place during dehydration of t- butanol;(a) tertiary carbocation is more stable than primary carbocation,pcc
9,9.0,Propanone on reaction with alkyl magnesium bromide followed by hydrolysis will produce;(a) primary alcohol;(b) secondary alcohol;(c) tertiary alcohol;(d) carboxylic acid;(c),decreasing
