,index,0;1;2;3;4;Answer,Words
0,0.0,The use of chemicals for therapeutic effect is called;(a) chemotherapy;(b) physiotherapy;(c) angiotherapy;(d) polytherapy;(a) chemotherapy,analgesic
1,1.0,Drugs that bind to the receptor site and inhibit its natural function are called;(a) agonistic drugs;(b) antagonists drugs;(c) antimicrobial drugs;(d) allosteric drugs;(b) antagonists drugs,penicillins
2,2.0,Barbituric acid and its derivatives are well known as;(a) tranquilizers;(b) antiseptics;(c) analgesics;(d) antipyretics;(a) tranquilizers,bitter
3,3.0,A drug which acts as antipyretic as analgesic is;(a) chloroquin;(b) penicillin;(c) chlorodiazeposide;(d) 4-acetamidophenol;(d) 4-acetamidophenol,cells
4,4.0,The drugs which are given to the patients suffering from anxiety and metnal tension are known as;(a) tranquilizers;(b) analgesics;(c) antimicrobials;(d) antibiotics;(a) tranquilizers,antimicrobial
5,5.0,Which of the following can be used as an analgesic without causing addiction?;(a) Morphine;(b) Aspirin;(c) Heroin;(d) Codeine;(b) Aspirin,morphine
6,6.0,Which of the following will not act as a tranquilizer?;(a) Equanil;(b) Analgin;(c) Meprobamate;(d) Chlordiazepoxide;(b) Analgin,hydrogencarbonate
7,7.0,Which of the following is a narcotic analgesic?;(a)Ibuprofen;(b) Aspirin;(c) Paracetamol;(d) Morphine;(d) Morphine,equanil
8,8.0,Antihistamines are not helpful;(a) in curing nasal allergies;(b) in treating rashes caused by itching;(c) in bringing down acute fever;(d) in vasodilation;(c) in bringing down acute fever,acid
9,9.0,The main cause of acidity in the stomach is;(a) release of extra gastric acids which decrease the pH level;(b) indigestion and pain in large intestine;(c) increase the pH level in the stomach;(d) release of extra bile juice which increases alkaline medium in stomach;(a) release of extra gastric acids which decrease the pH level,statements
10,10.0,The chemical substances used to bring down body temperature in high fever are known as;(a) analgesics;(b) antipyretics;(c) antihistamines;(d) tranquilizers;(b) antipyretics,broad
11,11.0,Which of the following statements is not correct?;(a) Some disinfectants can be used as antiseptic at low concehtration;(b) Aspirin is analgesic and natipyretic;(c) Norethindrone is an antihistamines;(d) Chloramphenicol is a broad spectrum antibiotic;(c) Norethindrone is an antihistamines,acids
12,12.0,Terfenadine is commonly used as;(a) antihistamine;(b) antibiotic;(c) antimicrobial;(d) antifertility drug;(a) antihistamine,name
13,13.0,Which of the following statements is not correct about penicillin?;(a) Penicillin G has a narrow spectrum;(b) It is extracted from antibacterial fungus Penicillium;(c) Ampicillin and Amoxycilin are synthetic modification of penicillins;(d) It has bacteriostatic effect;(d) It has bacteriostatic effect,human
14,14.0,Which of the following will not act as antacid?;(a) Sodium hydrogencarbonate;(b) Magnesium hydroxide;(c) Sodium carbonate;(d) Aluminium hydroxide;(c) Sodium carbonate,sulphanilamide
15,15.0,The term ‘broad spectrum antibiotics’ means;(a) bacterial antibiotics;(b) bacteriostatic antibiotics;(c) which kill or inhibit a wide range of gram -ve and gram +ve bacteria;(d) which kill or inhibit all types of gram +ve bacteria;(c) chloramphenicol,drug
16,16.0,The main constituents of dettol are;(a) chloramphenicol + glycerol;(b) 2-3% solution of iodine in alcohol;(c) 0.2% solution of phenol;(d) chloroxylenol and terpineol;(d) chloroxylenol and terpineol,foods
17,17.0,A drug which is effective in curring malaria is;(a) aspirin;(b) quinine;(c) morphine;(d) analgin;(b) quinine,narrow
18,18.0,An ester which is used as a medicine;(a) ethyl acetate;(b) methyl acetate;(c) methyl salicylate;(d) ethyl benzoate;(c) methyl salicylate,artificial
19,19.0,Which of the following statements is incorrect?;(a) Aspirin is both analgesic and antipyretic;(b) Ampicillin is a natural antibiotic;(c) Salvarsan is toxic to human beings;(d) Some disinfectants are used as antiseptics in lower concentrations;(b) Ampicillin is a natural antibiotic,gastric
20,20.0,Which ofthe following is not an antibiotic?;(a) Chloramphenicol;(b) Ofloxacin;(c) Penicillin;(d) Prontosil;(d) Prontosil,agonistic
21,21.0,Which of the following antibiotic is bactericidal?;(a) Erythromycin;(b) Tetracycline;(c) Penicillin;(d) Chloramphenicol;(c) Penicillin,antipyretic
22,22.0,The antibiotic which is effective against certain strain of cancer cells;(a) dysidazirine;(b) sulphanilamide;(c) vancomycin;(d) ofloxacin;(a) dysidazirine,terpineol
23,23.0,Which of the following is not an antidepressants?;(a) Ipronizaid;(b) Phenelzine;(c) Equanil;(d) Salvarsan;(a),angiotherapy
