,index,0;1;2;3;4;Answer,Words
0,0.0,"The chemistry of lithium is very similar to that of magnesium even though they are placed in different groups. Its reason is:;(a) Both are found together in nature;(b) Both have nearly the same size;(c) Both have similar electronic configuration;(d) The ratio of their charge and size (i.e. charge density) is nearly the same;""(d) The ratio of their charge and size (i.e. charge density) is nearly the same",series
1,1.0,Explanation:,earth
2,2.0,"The chemistry of lithium is very similar to that of magnesium even though they are placed in different groups because of diagonal relationship.""",placed
3,3.0,"The element with atomic number 35 belongs to;(a) d – Block;(b) f – Block;(c) p – Block;(d) s – Block;""(c) p – Block",shielding
4,4.0,Explanation:,gaseous
5,5.0,Explanation:,te
6,6.0,"The energy required to remove the most loosely bound electron from an isolated gaseous atom is called the ionisation energy. The ionisation potential decreases as the size of the atom decreases. Atoms with fully or partly filled orbitals have high ionisation potential.""",np
7,7.0,"Representative elements are those which belong to;(a) p and d – Block;(b) s and d – Block;(c) s and p – Block;(d) s and f – Block;""(c) s and p – Block",belongs
8,8.0,Explanation:,electro
9,9.0,Elements in which all the inner shells are complete but outer shell is incomplete is known as representative elements i.e. Those elements which have less than 8 electrons in outermost shell are representative.,nature
10,10.0,"s and p block elements except inert gas is known as representative elements.""",ratio
11,11.0,"Which of the following properties generally decreases along a period?;(a) Ionization Energy;(b) Metallic Character;(c) Electron Affinity;(d) Valency.;""(b) Metallic Character",size
12,12.0,Explanation:,together
13,13.0,"On the Paulings electronegativity scale the element next to F is;(a) N;(b) Cl;(c) O;(d) Ne.;""(c) O",energy
14,14.0,Explanation:,electrons
15,15.0,Explanation:,increase
16,16.0,Atomic number (Z) =15 =P → [Ne] 3s² 3p³,acidic
17,17.0,Phosphorus belongs to 15th group,explanation
18,18.0,"Number of valence electrons 3s²3p³ = 5 and valency = 3 in ground state.""",period
19,19.0,"Which of the following oxides is amphoteric in character?;(a) SnO2;(b) CO2;(c) SiO2;(d) CaO;""(a) SnO2",loosely
20,20.0,Explanation:,belong
21,21.0,"CaO is basic; CO2 is acidic; SiO2 is weakly acidic. SnO2 is amphoteric.""",rn
22,22.0,Explanation:,atom
23,23.0,"The value of the principal quantum number (n) for the outermost shell or the valence shell indicates a period in the Modern periodic table.""",complete
24,24.0,Explanation:,value
25,25.0,"Tellurium (Te) has 5s²5p4 valence shell configuration. It belongs to group 16 and present in period 5 of the periodic table.""",electron
26,26.0,Explanation:,quantum
27,27.0,"Correct order of electron affinity is Se < S < O. In a group electron affinity decreases with increase in atomic number.""",th
