,index,0;1;2;3;4;Answer,Words
0,0.0,Good conductor of electricity and heat is;(a) Anthracite coke;(b) Diamond;(c) Graphite;(d) Charcoal;(c) Graphite,mgcl
1,1.0,The hybridisation of carbon in diamond is;(a) sp3;(b) sp2;(c) sp;(d) dsp2;(a) sp3,conductor
2,2.0,Organic compound must contain an element;(a) oxygen;(b) carbon;(c) hydrogen;(d) nitrogen;(b) carbon,coke
3,3.0,Alkene gives which of the following reactions?;(a) Addition reaction;(b) Substitution reaction;(c) Both (a) and (b);(d) None of these;(c) Both (a) and (b),reagents
4,4.0,Single bond length between carbon-carbon is;(a) 1.34 Å;(b) 1.20 Å;(c) 1.54 Å;(d) none of these;(c) 1.54 Å,mchlorotuluene
5,5.0,Valency of carbon is;(a) 1;(b) 2;(c) 3;(d) 4;(d) 4,oand
6,6.0,Criteria for purity of organic solid is;(a) boiling point;(b) melting point;(c) specific gravity;(d) none of these;(b) melting point,formation
7,7.0,General formula of Alkene is;(a) CnH2n;(b) CnH2n+2;(c) CnH2n-2;(d) none of these;(a) CnH2n,hbr
8,8.0,Hybridisation of carbon in ethane is;(a) sp3;(b) sp2;(c) sp;(d) sp3d2;(a) sp3,fecl
9,9.0,Number of π bonds in ethyne is;(a) 1;(b) 2;(c) 3;(d) 4;(b) 2,prepard
10,10.0,The compound having general formula CnH2n+2 is;(a) Alkene;(b) Alkyne;(c) Alkane;(d) none of these;(c) Alkane,van’t
11,11.0,The negative part of the addendum (the molecule to be added) adds on the carbon atom of the double bond containing the least number of hydrogen atoms. This rule is known as;(a) Saytzeffs rule;(b) Peroxide rule;(c) Markovnikov’s rule;(d) van’t hoff rule;(c) Markovnikov’s rule,chchchchcl
12,12.0,Bromination of methane in presence of sunlight is a;(a) nucleophilic substitution;(b) free radical substitution;(c) electrophilic substitution;(d) nucleophilic addition;(c) electrophilic addition,heating
13,13.0,Which of the following reactions follows Markovnikov’s rule?;(a) C2H4 + HBr;(b) C3H6 + Cl6;(c) C3H6 + HBr;(d) C3H6 + Br2;(c) C3H6 + HBr,alcohols
14,14.0,The reaction of toluene with chlorine in presence of FeCl3 gives predominantly.;(a) amixture of o-and p-chlorotoluene;(b) benzyl chloride;(c) m-chlorotuluene;(d) benzoyl chloride;(a) amixture of o-and p-chlorotoluene,agf
15,15.0,Which of the following compounds has the highest boiling point?;(a)CH3CH2CH2Cl;(b) CH3CH2CH2CH2Cl;(c) CH3CH(CH3)CH2Cl;(d) (CH3)3CCl;(b) CH3CH2CH2CH2Cl,koh
16,16.0,Which of the following molecules has highest dipole moment?;(a) CH3Cl;(b) CH2Cl2;(c) CHCl5;(d) CCl4;(a) CH3Cl,ethane
17,17.0,Alkyl halides are immiscible in water though they are polar because;(a) they react with water to give alcohols;(b) they cannot form hydrogen bonds with water;(c) C -X bond cannot be broken easily;(d) they are stable compounds and are not reactive;(b) (iv) > (iii) > (ii) > (i),randomly
18,18.0,Which one of the following is not correct order of boiling .points of the alkyl/aryl halides?;(a) CHCl3 > CH2Cl2;(b) CH3(CH2)3CI > CH3(CH2)2Cl;(c) (CH3)3CCl > (CH3)2CHCH2Cl;(d) CH3(CH2)3Cl > CH3CH2CHClCH3;(c) (CH3)3CCl > (CH3)2CHCH2Cl,chchchcl
19,19.0,Which of the following compounds will have highest melting point?;(a) Chlorobenzene;(b) o-Dichlorobenzene;(c) m-Dichlorobenzene;(d) p-Dichlorobenzene;(d) p-Dichlorobenzene,oxygen
20,20.0,Ethyl alcohol is obtained when ethyl chloride is boiled with;(a) alcoholic KOH;(b) aqueous KOH;(c) water;(d) aqueous KMnO4;(b) aqueous KOH,alkyl
21,21.0,Which of the following alkyl halides undergoes hydrolysis with aqueous KOH at the fastest rate?;(a) CH3CH2CH2Cl;(b) CH3CH2Cl;(C) CH3CH2CH2CH2Cl;(d) CH3CH2CH (Br) CH3;(d) CH3CH2CH (Br) CH3,predominantly
22,22.0,Butane nitrile can be prepard by heating.;(a) propyl alcohol with KCN;(b) butyl chloride with KCN;(c) butyl alcohol with KCN;(d) propyl chloride with KCN;(d) propyl chloride with KCN,follows
23,23.0,Methyl bromide reacts with AgF to give methyl fluoride and silver bromide. This reaction is called;(a) Fittig reaction;(b) Swarts reaction;(c) Wurtz reaction;(d) Finkelstein reaction;(a) (a) is major product and (b) is minor product,nitrile
24,24.0,The alkyl halide is converted into an alcohol by;(a) elimination;(b) dehydrohalogenation;(c) addition;(d) substitution;(d) substitution,reacts
25,25.0,A mixture of 1-chloropropane and 2-chloropropane when treated with alcoholic KOH gives;(a) prop-1-ene;(b) prop-2-ene;(c) a mixture of prop-1 -ene and prop-2-ene;(d) propanol;(a) prop-1-ene,least
26,26.0,In SN2 reactions with the sequence of bond breaking and bond formation is as follows;(a) bond breaking is followed by formation;(b) bond formation is followed by breaking;(c) bond breaking and formation are simultaneously;(d) bond breaking and formation take place randomly;(c) bond breaking and formation are simultaneously,odichlorobenzene
27,27.0,Grignard reagents are formed by the reaction of alkyl halides by warming;(a) with alcoholic solution;(b) with MgCl2;(c) Mg in presence of dry ether;(d) with MgCO3;(c) Mg in presence of dry ether,chch
28,28.0,Which of the following is the most reactive towards nucleophilic substitution reaction?;(a) ClCH2– CH = CH2;(b) CH2 = CH-Cl;(c) CH3CH = CH-Cl;(d) C6H6Cl;(a) ClCH2-CH = CH2,chchch
29,,,followed
30,,,atom
31,,,ene
32,,,anthracite
33,,,major
34,,,grignard
35,,,radical
36,,,react
37,,,towards
38,,,easily
39,,,hydrogen
40,,,single
41,,,atoms
42,,,element
43,,,propene
44,,,heat
45,,,valency
46,,,highest
47,,,iii
48,,,halide
49,,,carbon
50,,,moment
51,,,though
52,,,melting
53,,,alcoholic
54,,,propanol
55,,,sp
56,,,simultaneously
57,,,sn
58,,,gravity
59,,,br
60,,,formula
61,,,elimination
62,,,chcl
63,,,place
64,,,reactive
65,,,points
66,,,minor
67,,,addition
68,,,methane
69,,,alkyl/aryl
70,,,reactions
71,,,fastest
72,,,substitution
73,,,product
74,,,rule
75,,,mdichlorobenzene
76,,,following
77,,,alcohol
78,,,aqueous
79,,,free
80,,,fluoride
81,,,chchchclch
82,,,called
83,,,specific
84,,,hybridisation
85,,,fittig
86,,,methyl
87,,,treated
88,,,carboncarbon
89,,,chlorobenzene
90,,,dipole
91,,,propyl
92,,,benzyl
93,,,length
94,,,formed
95,,,bonds
96,,,alkane
97,,,wurtz
98,,,purity
99,,,amixture
100,,,chchcl
101,,,kmno
102,,,halides
103,,,one
104,,,the
105,,,presence
106,,,chloropropane
107,,,charcoal
108,,,criteria
109,,,point
110,,,alkene
111,,,dsp
112,,,converted
113,,,general
114,,,benzoyl
115,,,containing
116,,,rate
117,,,stable
118,,,electrophilic
119,,,part
120,,,pdichlorobenzene
121,,,boiled
122,,,dry
123,,,hoff
124,,,compounds
125,,,warming
126,,,iv
127,,,kcn
128,,,cnhn
129,,,d
130,,,must
131,,,give
132,,,ii
133,,,broken
134,,,clchch
135,,,chccl
136,,,immiscible
137,,,molecule
138,,,markovnikov’s
139,,,breaking
140,,,graphite
141,,,known
142,,,spd
143,,,ethyne
144,,,undergoes
145,,,addendum
146,,,sequence
147,,,alkyne
148,,,hydrolysis
149,,,added
150,,,take
151,,,bond
152,,,chchci
153,,,none
154,,,diamond
155,,,reaction
156,,,water
157,,,silver
158,,,butane
159,,,compound
160,,,pchlorotoluene
161,,,ethyl
162,,,contain
163,,,double
164,,,organic
165,,,solution
166,,,negative
167,,,electricity
168,,,toluene
169,,,swarts
170,,,obtained
171,,,butyl
172,,,boiling
173,,,saytzeffs
174,,,ccl
175,,,bromination
176,,,polar
177,,,correct
178,,,pointchchchclb
179,,,cl
180,,,gives
181,,,form
182,,,peroxide
183,,,clch–
184,,,nucleophilic
185,,,mgco
186,,,solid
187,,,adds
188,,,nitrogen
189,,,ether
190,,,prop
191,,,cannot
192,,,mixture
193,,,bromide
194,,,chlorine
195,,,sunlight
196,,,order
197,,,molecules
198,,,number
199,,,dehydrohalogenation
200,,,chloride
201,,,good
202,,,finkelstein
203,,,ch
