,index,0;1;2;3;4;Answer,Words
0,0.0,Bakelite is an example of;(a) elastomer;(b) fibre;(c) thermoplastic;(d) thermosetting;(d) thermosetting,vulcanisation
1,1.0,The S in buna-S refers to;(a) Sulphur;(b) Styrene;(c) Sodium;(d) Salicylate;(c),porous
2,2.0,Terylerte is a condensation polymer of ethylene glycol and;(a) benzoic acid;(b) phthalic acid;(c) dimethyl terephthalate;(d) salicylic acid;(c) dimethyl terephthalate,fibre
3,3.0,Heating rubber with sulphur is known as;(a) galvanisation;(b) bessemerisation;(c) vulcanisation;(d) sulphonation;(c) vulcanisation,bunas
4,4.0,Dacron is an example of;(a) polyamides;(b) polypropenes;(c) polyacrylnitrfle;(d) polyesters;(d) polyesters,styrene
5,5.0,Which of the following is a condensation polymer?;(a) Teflon;(b) PVC;(c) Polyester;(d) Neoprene;(c) Polyester,acid
6,6.0,Which of the following polymers does not involve cross-linkages?;(a) Vulcanised rubber;(b) Bakelite;(c) Melamine;(d) Teflon;(d) Teflon,inhibitors
7,7.0,Composition of Ziegler-Natta catalyst is;(a) (Et3)3Al.TiCl2;(b) (Me)3Al.TiCl2;(c) (Et)3Al.TiCl4;(d) (Et)3Al.PtCl4;(c) (Et)3Al.TiCl4,like
8,8.0,Teflon and neoprene are the examples of;(a) copolymers;(b) monomers;(c) homopolymers;(d) condensation polymers;(c) homopolymers,polyacrylonitrile
9,9.0,Which among the following is a cross-linked polymer?;(a) Polyesters;(b) Glycogens;(c) Melamine-formaldehyde;(d) Polyvinyl chloride;(c) Melamine-formaldehyde,formation
10,10.0,Synthetic polymer prepared by using caprolactam is known as;(a) terylene;(b) teflon;(c) nylon 6;(d) neoprene;(c) nylon 6,catalyst
11,11.0,Which of the following is not an example of rubber?;(a) Polychloroprene;(b) Buna-N;(c) Butadiene-styrene copolymer;(d) Polyacrylonitrile;(d) Polyacrylonitrile,heating
12,12.0,Which of the following polymers does not have vinylic monomer units?;(a) Acrilan;(b) Nylon;(c) Polystyrene;(d) Neoprene;(b) Nylon,elastic
13,13.0,cis-Polyisoprene possesses elastic property because;(a) It is soft and soluble in non-polar solvent;(b) It is unsaturated and porous;(c) It has a coiled structure and chains held together by weak van der waals forces;(d) It has fibrous structure and reactive sites at various double bonds;(c) It has a coiled structure and chains held together by weak van der waals forces,dacron
14,14.0,The monomers used in addition polymerisation through free radical should be very pure because;(a) the traces of impurities act like inhibitors resulting in short chain polymers;(b) the impurities result in formation of different products;(c) the polymer formed is impure;(d) catalyst does not function in presence of impurities;(a) the traces of impurities act like inhibitors resulting in short chain polymers,ethylene
15,,,together
16,,,copolymers
17,,,impure
18,,,polymer
19,,,property
20,,,acrilan
21,,,sites
22,,,zieglernatta
23,,,radical
24,,,dimethyl
25,,,vinylic
26,,,copolymer
27,,,polyacrylnitrfle
28,,,example
29,,,unsaturated
30,,,short
31,,,possesses
32,,,forces
33,,,monomer
34,,,butadienestyrene
35,,,traces
36,,,terephthalate
37,,,nylon
38,,,condensation
39,,,pure
40,,,composition
41,,,sulphonation
42,,,monomers
43,,,reactive
44,,,glycol
45,,,fibrous
46,,,different
47,,,van
48,,,addition
49,,,teflon
50,,,bakelite
51,,,polyesters
52,,,using
53,,,caprolactam
54,,,melamineformaldehyde
55,,,following
56,,,terylene
57,,,held
58,,,free
59,,,sodium
60,,,bunan
61,,,polyester
62,,,bessemerisation
63,,,elastomer
64,,,waals
65,,,etalticl
66,,,homopolymers
67,,,formed
68,,,units
69,,,bonds
70,,,der
71,,,thermoplastic
72,,,galvanisation
73,,,melamine
74,,,polyamides
75,,,sulphur
76,,,thermosetting
77,,,presence
78,,,phthalic
79,,,polychloroprene
80,,,etalptcl
81,,,result
82,,,pvc
83,,,chain
84,,,solvent
85,,,salicylic
86,,,polypropenes
87,,,examples
88,,,crosslinked
89,,,terylerte
90,,,benzoic
91,,,function
92,,,known
93,,,synthetic
94,,,nonpolar
95,,,among
96,,,weak
97,,,resulting
98,,,salicylate
99,,,polyvinyl
100,,,used
101,,,act
102,,,products
103,,,mealticl
104,,,polymerisation
105,,,glycogens
106,,,double
107,,,impurities
108,,,various
109,,,structure
110,,,polystyrene
111,,,prepared
112,,,soft
113,,,polymers
114,,,involve
115,,,soluble
116,,,cispolyisoprene
117,,,crosslinkages
118,,,vulcanised
119,,,coiled
120,,,refers
121,,,chloride
122,,,rubber
123,,,chains
124,,,neoprene
