,index,0;1;2;3;4;Answer,Words
0,0.0,The average value of a cover a complete cycle is:;(a) l0;(b) \(\frac{l_0}{2}\);(c) \(\frac{l_0}{√2}\);(d) zero;(d) zero,turns
1,1.0,Power factor of an ac circuit is a measure of:;(a) virtual power;(b) power lost in the circuit;(c) mean power;(d) all the above;(b) power lost in the circuit,\\frac{}{π}\sqrt{\frac{l}{c}}\
2,2.0,The dimensional formula of L/R is similar to that of:;(a) frequency;(b) time;(c) length;(d) none of these;(b) time,\\frac{l}{√}\
3,3.0,Which of the following has dimensions different from the rest?;(a) L/R;(b) \(\frac{1}{RC}\);(c) \(\sqrt{LC}\);(d) RC;(b) \(\frac{1}{RC}\),pure
4,4.0,The dimensional formula of impedance is;;(a) [ML2T-2A-2];(b) [ML2T-3A-2];(c) [ML2T-2A-1];(d) [ML2T-2A-3];(b) [ML2T-3A-2],infinite
5,5.0,Energy dissipates in LCR circuit in :;(a) L only;(b) C only;(c) R only;(d) All of the above;(c) R only,ratio
6,6.0,An iron core transformer with a turns ratio of 8 : 1 has 120 V applied across the primary. The voltage across the;(a) 15 V;(b) 120 V;(c) 180 V;(d) 960 V;(a) 15 V,capacitor
7,7.0,What is the ratio of inductive and capacitance reactances in an ac circuit?;(a) 1;(b) ω²L;(c) ω²LC;(d) l;(c) ω²LC,formula
8,8.0,An acceptor circuit is :;(a) series resonant circuit;(b) parallel resonant circuit;(c) LCR circuit;(d) None of these;(a) series resonant circuit,following
9,9.0,A broadcast circute broadcasts at 300 m band. A condenser of capacitance 2.4 lµF is available. The value of the inductance required for resonant circuit is:;(a) 10-4 H;(b) 10-8 H;(c) 10-6 H;(d) 10-2 H;(b) 10-8 H,works
10,10.0,In series resonant circuit:;(a) reactance is zero;(b) current is zero;(c) voltage is zero;(d) None of these;(d) None of these,iron
11,11.0,In parallel resonant circuit:;(a) impedance is very high;(b) current is very high;(c) voltage is very high;(d) None of these;(a) impedance is very high,emf
12,12.0,Transformer works on the principle of:;(a) convertor;(b) invertor;(c) mutual induction;(d) self-induction;(c) mutual induction,lµf
13,13.0,Which of the following effects is not shown in alternating current ?;(a) Chemical effect;(b) Magnetic effect;(c) Heating current;(d) All of these;(a) Chemical effect,capacitance
14,14.0,An ac ammeter connected in series in an ac circuit reads 5A. The peak value of current:;(a) 5 A;(b) 5√2A;(c) \(\frac{5}{√5}\) A;(d) zero;(b) 5√2A,mutual
15,15.0,The phase difference b/w the A.C. and e.m.f. \(\frac{π}{2}\) Which of the following can not be the instituent of the circuit?;(a) LC;(b) L alone;(c) C alone;(d) RL;(d) RL,resistance
16,16.0,The Q factor of an LCR circuit at resonance is :;(a) \(\sqrt{R^2+ω^2L^2}\);(b) \(\sqrt{R^2+(\frac{1}{cω}})^2\);(c) \(\frac{ω_rL}{R}\);(d) \(\sqrt{R^2+\frac{1}{c^2ω^2}}\);(c) \(\frac{ω_rL}{R}\),li²
17,17.0,Faraday constant:;(a) depends on the amount of the electrolyte;(b) depends on the current in the electrolyte;(c) is a universal constant;(d) depends on the amount of charge passed through the electrolyte;(c) is a universal constant,band
18,18.0,The natural frequency of an L -C-Circuit is equal to :;(a) \(\frac{\sqrt{LC}}{2π}\);(b) \(\frac{1}{3π\sqrt{LC}}\);(c) \(\frac{1}{2π}\sqrt{\frac{L}{C}}\);(d) \(\frac{1}{2π}\sqrt{\frac{C}{L}}\);(b) \(\frac{1}{3π\sqrt{LC}}\),acceptor
19,19.0,A rejector circuit is:;(a) series resonant circuit;(b) parallel resonant circuit;(c) LCR circuit;(d) None of these;(b) parallel resonant circuit,rejector
20,20.0,The inductive reactance of an inductor coil of \(\frac{1}{π}\) H at 50 Hz is:;(a) \(\frac{50}{π}\) Ω;(b) \(\frac{π}{50}\) Ω;(c) 100 Ω;(d) 50 Ω;(c) 100 Ω,cover
21,21.0,In pure inductive circuit current;(a) lags behind emf by π/2;(b) leads the emf by π/2;(c) lags behind emf by π;(d) leads the emf by π;(a) lags behind emf by π/2,virtual
22,22.0,The current through an inductor of 1H is given by I = 3t sin t. The voltage across the inductor of 1 H is:;(a) 3 sin t + 3 cos t;(b) 3 sin t + 3t cos t;(c) 3 cos t + t sin t;(d) 3t cos t + sin t;(b) 3 sin t + 3t cos t,l/r
23,23.0,An electric circuit containing capacitor only suffers:;(a) equal resistance for A.C. and D.C.;(b) Resistance of A.C. > Resistance of D.C.;(c) Resistance for A.C. < Resistance of D.C.;(d) offers infinite resistance for D.C.;(d) offers infinite resistance for D.C.,factor
24,24.0,The average power dissipation in pure inductance or capacitance is:;(a) \(\frac{1}{2}\) LI²;(b) \(\frac{3}{2}\) CV²;(c) either (a) or (b);(d) zero;(d) zero,phase
25,,,heating
26,,,reactance
27,,,√a
28,,,principle
29,,,electrolyte
30,,,convertor
31,,,inductor
32,,,applied
33,,,d
34,,,cycle
35,,,resonant
36,,,dc
37,,,length
38,,,shown
39,,,instituent
40,,,value
41,,,average
42,,,rest
43,,,chemical
44,,,dimensional
45,,,\\frac{π}{}\
46,,,ammeter
47,,,π/
48,,,alone
49,,,mean
50,,,universal
51,,,current
52,,,magnetic
53,,,measure
54,,,\\frac{}{π}\
55,,,cos
56,,,\\frac{}{}\
57,,,circute
58,,,effect
59,,,natural
60,,,voltage
61,,,\\frac{}{√}\
62,,,none
63,,,rl
64,,,amount
65,,,selfinduction
66,,,depends
67,,,difference
68,,,dissipates
69,,,transformer
70,,,complete
71,,,different
72,,,either
73,,,zero
74,,,ω²l
75,,,sin
76,,,[mlta]
77,,,frequency
78,,,lcr
79,,,electric
80,,,impedance
81,,,alternating
82,,,charge
83,,,behind
84,,,rc
85,,,constant
86,,,reads
87,,,energy
88,,,\\frac{ωrl}{r}\
89,,,ac
90,,,circuit
91,,,available
92,,,coil
93,,,reactances
94,,,\\frac{\sqrt{lc}}{π}\
95,,,similar
96,,,\\sqrt{rωl}\
97,,,induction
98,,,dissipation
99,,,cv²
100,,,ω²lc
101,,,containing
102,,,leads
103,,,lags
104,,,lc
105,,,\\sqrt{lc}\
106,,,equal
107,,,broadcast
108,,,resonance
109,,,ccircuit
110,,,offers
111,,,time
112,,,connected
113,,,lost
114,,,suffers
115,,,broadcasts
116,,,high
117,,,\\frac{}{rc}\
118,,,series
119,,,\\frac{}{π\sqrt{lc}}\
120,,,parallel
121,,,passed
122,,,peak
123,,,condenser
124,,,inductive
125,,,primary
126,,,b/w
127,,,effects
128,,,\\frac{l}{}\
129,,,power
130,,,inductance
131,,,dimensions
132,,,\\sqrt{r\frac{}{cω}}\
133,,,given
134,,,core
135,,,invertor
136,,,across
137,,,required
138,,,faraday
139,,,\\frac{}{π}\sqrt{\frac{c}{l}}\
