,index,0;1;2;3;4;Answer,Words
0,0.0,An atom stays in an excited state for about:;(a) 10 micro seconds;(b) 10 milli seconds;(c) 10 nano seconds;(d) 10 seconds;(c) 10 nano seconds,artificial
1,1.0,The energy equivalent to one atomic mass unit is :;(a) 1.6 × 10-19 J;(b) 6.02 × 1023 J;(c) 9.31 MeV;(d) 931 MeV;(d) 931 MeV,ratio
2,2.0,Who explained the splitting of special lines in magnetic field?;(a) Zeeman;(b) Bohr;(c) Summerfield;(d) Einstein;(a) Zeeman,enthalpy
3,3.0,The mass of a neutron is:;(a) 1.00866 u;(b) 1.0866 u;(c) 1.866 u;(d) 0.1866 u;(a) 1.00866 u,hund
4,4.0,Isobars have the same:;(a) A;(b) Z;(c) N;(d) All the above;(a) A,represents
5,5.0,Isotones have the same:;(a) A;(b) Z;(c) N;(d) All the above;(c) N,concept
6,6.0,Half-life of a substance depends on:;(a) pressure;(b) temperature;(c) density;(d) None of these;(d) None of these,one
7,7.0,The concept of electron spin was introduced by:;(a) Becquerel;(b) Goudsmit;(c) Millikan;(d) Uhlenbeek and Goudsmit;(d) Uhlenbeek and Goudsmit,force
8,8.0,The principle that a quantum orbital cannot be occupied by more than two electrons was given by:;(a) Pauli;(b) Millikan;(c) Hund;(d) None of these;(a) Pauli,deuteron
9,9.0,Fg and Fe represents the gravitational and electrostatic force respectively between two electrons situated at some distance the ratio \(\frac{F_g}{F_e}\) is if the order of:;(a) 9.8;(b) 109;(c) 1042;(d) 10-42;(d) 10-42,milli
10,10.0,Artificial radioactivity was discovered by:;(a) Joliot;(b) Becquerel;(c) Pauli;(d) None of these;(a) Joliot,special
11,11.0,P-decay produces:;(a) isobars;(b) isotopes;(c) isotones;(d) All the above;(a) isobars,internal
12,12.0,Natural radioactivity was discovered by:;(a) Joliot;(b) Becquerel;(c) Pauli;(d) None of these;(b) Becquerel,temperature
13,13.0,Transmutation of nuclei was discovered by:;(a) Rutherford;(b) Becquerel;(c) Pauli;(d) None of these;(a) Rutherford,explained
14,14.0,The energy equivalent to mass defect is called :;(a) binding energy;(b) internal energy;(c) external energy;(d) enthalpy;(a) binding energy,binding
15,15.0,The total energy that will be released if a nucleus is built from its constituents is called the:;(a) binding energy of the nucleus;(b) binding energy of the solid;(c) binding energy of the atom;(d) None of these;(a) binding energy of the nucleus,cannot
16,16.0,The binding energy of \(_{2}^{4}\)He is about:;(a) 28.3 eV;(b) 28.3 MeV;(c) 28.3 J;(d) 2.83 MeV;(b) 28.3 MeV,splitting
17,17.0,The binding energy of a deuteron is about:;(a) 2.22 MeV;(b) 2.22 J;(c) 2.22 eV;(d) None of these;(a) 2.22 MeV,principle
18,,,unit
19,,,\{}{}\he
20,,,mev
21,,,solid
22,,,density
23,,,quantum
24,,,halflife
25,,,order
26,,,neutron
27,,,excited
28,,,produces
29,,,bohr
30,,,\\frac{fg}{fe}\
31,,,total
32,,,magnetic
33,,,transmutation
34,,,electron
35,,,einstein
36,,,isobars
37,,,seconds
38,,,ev
39,,,zeeman
40,,,natural
41,,,becquerel
42,,,none
43,,,gravitational
44,,,defect
45,,,depends
46,,,goudsmit
47,,,two
48,,,mass
49,,,pauli
50,,,summerfield
51,,,joliot
52,,,nuclei
53,,,constituents
54,,,atom
55,,,pressure
56,,,spin
57,,,energy
58,,,state
59,,,electrons
60,,,occupied
61,,,field
62,,,micro
63,,,nucleus
64,,,substance
65,,,pdecay
66,,,external
67,,,millikan
68,,,introduced
69,,,situated
70,,,equivalent
71,,,radioactivity
72,,,called
73,,,orbital
74,,,released
75,,,rutherford
76,,,isotopes
77,,,stays
78,,,discovered
79,,,respectively
80,,,built
81,,,isotones
82,,,uhlenbeek
83,,,nano
84,,,given
85,,,electrostatic
86,,,distance
87,,,atomic
88,,,lines
