,index,0;1;2;3;4;Answer,Words
0,0.0,The speed at which tjie current travels in a conductor is nearly:;(a) 3 × 104 ms-1;(b) 3 × 106 ms-1;(c) 3 × 108 ms-1;(d) 3 × 1010 ms-1;(a) 3 × 104 ms-1,rod
1,1.0,The resistance of a human body is about:;(a) 12 Ω;(b) 120 Ω;(c) 12 KΩ;(d) 120 MΩ;(c) 12 KΩ,battery
2,2.0,The number of electrons that constitute 1 A of current is:;(a) 6.25 × 1016;(b) 6.25 × 1017;(c) 6.25 × 1018;(d) 6.25 × 1019;(c) 6.25 × 1018,number
3,3.0,How many different resistances are possible with two equal resistors?;(a) 2;(b) 3;(c) 4;(d) 5;(b) 3,stretched
4,4.0,Specific resistance of ali metals is mostly affected by:;(a) temperature;(b) pressure;(c) magnetic field;(d) volume;(a) temperature,days
5,5.0,The example of a non-ohmic resistance is:;(a) copper wire;(b) fi lament lamp;(c) carbon resistor;(d) diode;(d) diode,specific
6,6.0,The specific resistance of a rod of copper as compared to that of thin wire of copper is :;(a) less;(b) more;(c) same;(d) depends upon the length and area of cross-section of the wire;(c) same,metals
7,7.0,The length of a conductor is halved. Its resistance will be :;(a) halved;(b) doubled;(c) unchanged;(d) quadrupled;(a) halved,ratio
8,8.0,Siemen is the unit of:;(a) resistance;(b) conductance;(c) specific conductance;(d) None of these;(b) conductance,thomson
9,9.0,How much electric energy is consumed by a 100 W lamp used for 6 hours everyday for 30 days?;(a) 18 kJ;(b) 18 kWh;(c) 1.8 J;(d) None of these;(b) 18 kWh,wire
10,10.0,Kirchhoffs first and second laws for electrical circuits are consequences of:;(a) conservation of energy;(b) conservation of electrical charge and energy respectively;(c) conservation of electric charge;(d) neither conservation of energy nor electric charge;(b) conservation of electrical charge and energy respectively,following
11,11.0,A 5 A fuse wire can with stand a maximum power of 1 W in circuit. The resistance of the fuse wire is:;(a) 0.2 Ω;(b) 5 Ω;(c) 0.4 Ω;(d) 0.04 Ω;(d) 0.04 Ω,resistance
12,12.0,A galvanometer acting as a volt meter will have with its coil.;(a) a high resistance in parallel;(b) a high resistance in series;(c) a low resistance in parallel;(d) a low resistance in series;(b) a high resistance in series,emf
13,13.0,Why is the Wheatstone bridge more accurate than other methods of measuring resistances: ‘;(a) It is a null method;(b) It is based on Kirchhoffs laws;(c) It has four resistances;(d) It does not involve ohm’s law;(a) It is a null method,stand
14,14.0,A potential difference of 10 V is applied across a conductance of 2 S. The current in the conductor will be :;(a) 20 A;(b) 5 A;(c) 0.2 A;(d) None of these;(a) 20 A,area
15,15.0,Ohm’s law is valid when the temperature of conductor is :;(a) very low;(b) very high;(c) varying;(d) constant;(d) constant,n²r
16,16.0,The emf of a car battery is about:;(a) 2.5 V;(b) 4.5 V;(c) 8.6 V;(d) 12 V;(d) 12 V,obtained
17,17.0,Emf is measured in :;(a) joule;(b) joule/coulomb;(c) joule-coulombs;(d) joule/coulomb/metre;(b) joule/coulomb,temperature
18,18.0,1 kilowatt hour is commonly known as :;(a) unit;(b) 1 faraday;(c) 1 curie;(d) None of these;(a) unit,based
19,19.0,How many joules are equal to I kWh ?;(a) 3.6 × 104;(b) 3.6 × 105;(c) 3.6 × 106;(d) None of these;(c) 3.6 × 106,curie
20,20.0,The temperature coefficient of resistance is expressed in :;(a) °C;(b) °C-1;(c) m°C-1;(d) None of these;(b) °C-1,commonly
21,21.0,Copper wire is used as connecting wire because :;(a) copper has high electrical resistivity;(b) copper has low electrical resistivity;(c) copper has low electrical conductivity;(d) copper has high value of elasticity;(b) copper has low electrical resistivity,resistors
22,22.0,The heat sensitive device whose resistivity changes very rapidly with change of temperature is called a :;(a) resistor;(b) super-conductor;(c) thermocouple;(d) thermistor;(d) thermistor,mω
23,23.0,The phenomenon of super-conductivity was discovered by :;(a) Ohm;(b) Onnes;(c) Edison;(d) None of these;(b) Onnes,unit
24,24.0,The specific resistance of a conductor increases with :;(a) increase in temperature;(b) increase in cross-sectional area;(c) decrease in length;(d) decrease in cross-sectional area;(a) increase in temperature,applied
25,25.0,Two conductors of equal length and radii the ratio of 2 : 3 are; connected in parallel the source of electricity. The ratio of the velocity of electrons in the conductor be :;(a) 2 : 3;(b) 4 : 9;(c) 1 : 1;(d) 3 : 2;(c) 1 : 1,used
26,26.0,The smallest resistance that can be obtained by the combination of n resistors each resistance r is :;(a) \(\frac{r}{n}\);(b) nr;(c) \(\frac{n}{r}\);(d) n²r;(a) 0.3 A,sensitive
27,27.0,Which of the following has a negative temperature coefficient of resistance ?;(a) Tungsten;(b) Carbon;(c) Nichrome;(d) Platinum;(b) Carbon,onnes
28,28.0,In India electricity is supplied fordomestic use at 220 V. It is supplied at 110 V in U.S.A. If the resistance of a 60 W bulb use in India is R. the resistance of a 60 W bulb for use in USA will be:;(a) 2 R;(b) R;(c) R/2;(d) R/4;(d) R/4,acting
29,29.0,Potentiometer measures the potential difference more accurately than a voltmeter because:;(a) It has a wire of high resistance;(b) It has a wire of low resistance;(c) It does not draw current from external circuit;(d) It draws heavy current from external circuit;(c) It does not draw current from external circuit,increase
30,30.0,The resistance of an aluminium wire is/i. It is stretched to /i times its original length. Its new resistance will be :;(a) nr;(b) n²r;(c) \(\frac{n^2}{r}\);(d) \(\frac{r}{n^2}\);(b) n²r,source
31,31.0,A wire P is half the diameter and half the length of a wire Q of similar material. The ratio of resistances of P to that 0 is:;(a) 4 : 1;(b) 8 : 1;(c) 2 : 1;(d) 1 : 2;(c) 2 : 1,joule
32,32.0,What is the resistance across A and B in the network in Fig.?;(a) R;(b) 2 R;(c) \(\frac{R}{2}\);(d) 6 R;(a) R,\\frac{n}{r}\
33,33.0,Thermo electricity was discovered by:;(a) Joule;(b) Peitier;(c) Thomson;(d) Seebeck;(d) Seebeck,material
34,34.0,Thermo emf is the order of:;(a) 10 V;(b) 10-3 V;(c) 10-6 V;(d) 10-12 V;(c) 10-6 V,changes
35,,,lament
36,,,ali
37,,,length
38,,,null
39,,,thermocouple
40,,,bridge
