,index,0;1;2;3;4;Answer,Words
0,0.0,Which one of the following is the unit of electric field?;(a) Coulomb;(b) Newton;(c) Volt;(d) N/C;(d) N/C,practically
1,1.0,If an electric dipole is kept in a uniform electric field then resultant electric force on it is :;(a) always zero;(b) never zero;(c) depend upon capacity of dipole;(d) None;(a) always zero,number
2,2.0,The number of electron-taken out from a body to produce 1 coulomb of charge will be :;(a) 6.25 × 1018;(b) 625 × 1018;(c) 6.023 × 1023;(d) None;(a) 6.25 × 1018,metre/volt
3,3.0,The work done in rotating an electric dipole in an electric field:;(a) W = ME (1 – cos θ);(b) W = ME tan θ;(c)W = ME sec θ;(d) None;(a) W = ME (1 – cos θ),ratio
4,4.0,If sphere of bad conductor is given charge then it is distributed on:;(a) surface;(b) inside the surface;(c) only inside the surface;(d) None;(d) None,created
5,5.0,Electric field in a cavity of metal:;(a) depends upon the surroundings;(b) depends upon the size of cavity;(c) is always zero;(d) is not necessarily zero;(d) is not necessarily zero,following
6,6.0,The dielectric constant of a metal is:;(a) 0;(b) 1;(c) ∞;(d) -1;(c) ∞,nm
7,7.0,1 coulomb is equal to:;(a) 3 × 109 e.s.u.;(b) \(\frac{1}{3}\) × 109 e.s.u.;(c) 3 × 1010 e.s.u.;(d) \(\frac{1}{3}\) × 1010 e.s.u.;(a) 3 × 109 e.s.u.,corona
8,8.0,The dimensional representation of cu will be :;(a) [MLT4 A2];(b) [M-1L-3T4A2];(c)[ML-2T ];(d) None of these;(c) N-1m-2C9,one
9,9.0,A parrot comes and sits on a bare high power line. It will:;(a) experience a mild shock ‘;(b) experience a strong shock.;(c) get killed instantaneously;(d) not be affected practically;(d) not be affected practically,force
10,10.0,The SI units of electric dipole moment are:;(a) C;(b) Cm-1;(c) Cm;(d) Nm-1;(c) Cm,straight
11,11.0,If two conducting sphere are connected after charging separately then:;(a) Electrostatic energy sphere energy will remain conserved;(b) Electrostatic energy charges remains conserved;(c) Electrostatic energy energy and charge remains conserved;(d) None;(b) Electrostatic energy charges remains conserved,mm
12,12.0,An electron is sent in an electric field of magnitude 9.1 × 106NC-1. The acceleration produced in it is :;(a) 1.6 ms-2;(b) 1.6 × 1018ms-2;(c) 3.2 × 1018ms-2;(d) 0.8 × 1018 ms-2;(b) 1.6 × 1018ms-2,particle
13,13.0,A semicircular arc of radius r is charged uniformly and the charge per unit length is λ. The electric field at the centre is:;(a) \(\frac{λ}{2λε_0r^2}\);(b) \(\frac{λ}{4πε_0r}\);(c) \(\frac{λ^2}{2πε_0r}\);(d) \(\frac{λ}{2πε_0r}\);(b) \(\frac{λ}{4πε_0r}\),mild
14,14.0,The graph drawn between V are r for a non-conducting charged solid sphere of radius R for r < R will be :;(a) straight line;(b) parabola;(c) hyperbola;(d) None of these;(d) None of these,per
15,15.0,Corona discharge takes place:;(a) at the surface of a conductor;(b) near the sharp points of a conductor;(c) outside the conductor;(d) at the centre of the conductor;(b) near the sharp points of a conductor,sits
16,16.0,The belt of a Vande Graaf generator gets charge by :;(a) corona discharge;(b) induction;(c) electrification;(d) None of these;(a) corona discharge,near
17,17.0,Quantisation of charge implies:;(a) Charge does not exist;(b) Charge exists on particles;(c) There is a minimum permissible magnitude of charge;(d) Charge can’t be created;(c) There is a minimum permissible magnitude of charge,size
18,18.0,The conservation of electric charge implies that:;(a) Charge can’t be created;(b) Charge can’t be destroyed;(c) The number of charged particle in the universe is constant;(d) Simultaneous creation of equal and opposite charges is permissible;(d) Simultaneous creation of equal and opposite charges is permissible,electrontaken
19,19.0,The number of electrons contained in one coulomb of charge is:;(a) 6.25 × 1018;(b) 6.25 × 1017;(c) 6.25 × 1019;(d) 1.6 × 1019;(a) 6.25 × 1018,conducting
20,20.0,The unit of intensity of electric field is :;(a) metre/volt;(b) Joule/newton;(c) Coulomb/newton;(d) Newton/coulomb;(a) metre/volt,place
21,21.0,1 V equals to:;(a) 1 J;(b) 1 JC-1;(c) 1 CJ-1;(d) 1 JC;(b) 1 JC-1,graaf
22,22.0,1 V m-1 equals to:;(a) 1 N;(b) 1 Mm-1;(c) 1 NC-1;(d) 1 J-1;(c) 1 NC-1,produced
23,23.0,The minimum amount of charge observed so far is:;(a) 1 C;(b) 4.8 × 1-13 C;(c) 1.6 × 10-19 C;(d) 1.6 × 1019 C;(c) 1.6 × 10-19 C,coulomb
24,24.0,The ratio of electric force between two electrons to the gravitational force between them is of the order:;(a) 1042;(b) 1039;(c) 1036;(d) 1;(a) 1042,belt
25,,,moment
26,,,discharge
27,,,surroundings
28,,,sphere
29,,,instantaneously
30,,,unit
31,,,representation
32,,,solid
33,,,capacity
34,,,charged
35,,,sent
36,,,experience
37,,,length
38,,,order
39,,,a]
40,,,magnitude
41,,,permissible
42,,,particles
43,,,shock
44,,,dimensional
45,,,conserved
46,,,parrot
47,,,line
48,,,[mlt
49,,,vande
50,,,exists
51,,,bad
52,,,kept
53,,,\\frac{λ}{λεr}\
54,,,volt
55,,,contained
56,,,joule/newton
57,,,cm
58,,,implies
59,,,inside
60,,,cavity
61,,,electron
62,,,sharp
63,,,cos
64,,,killed
65,,,never
66,,,outside
67,,,\\frac{}{}\
68,,,semicircular
69,,,θw
70,,,parabola
71,,,acceleration
72,,,none
73,,,esu
74,,,charging
75,,,amount
76,,,gravitational
77,,,body
78,,,depends
79,,,hyperbola
80,,,minimum
81,,,charges
82,,,uniformly
83,,,done
84,,,radius
85,,,two
86,,,centre
87,,,zero
88,,,θ
89,,,remain
90,,,intensity
91,,,n/c
92,,,electric
93,,,equals
94,,,work
95,,,charge
96,,,cj
97,,,opposite
98,,,electrification
99,,,far
100,,,units
101,,,comes
102,,,constant
103,,,tan
104,,,energy
105,,,electrons
106,,,uniform
107,,,observed
108,,,points
109,,,field
110,,,simultaneous
111,,,\\frac{λ}{πεr}\
112,,,resultant
113,,,dipole
114,,,generator
115,,,induction
116,,,dielectric
117,,,affected
118,,,takes
119,,,jc
120,,,drawn
121,,,creation
122,,,[mlta][mlt
123,,,produce
124,,,remains
125,,,equal
126,,,ms
127,,,nmc
128,,,nc
129,,,metal
130,,,universe
131,,,sec
132,,,coulomb/newton
133,,,connected
134,,,gets
135,,,newton
136,,,high
137,,,get
138,,,bare
139,,,arc
140,,,strong
141,,,quantisation
142,,,always
143,,,distributed
144,,,necessarily
145,,,surface
146,,,upon
147,,,rotating
148,,,power
149,,,conservation
150,,,separately
151,,,conductor
152,,,exist
153,,,depend
154,,,given
155,,,destroyed
156,,,electrostatic
157,,,can’t
158,,,newton/coulomb
159,,,graph
160,,,nonconducting
