,index,0;1;2;3;4;Answer,Words
0,0.0,A number of small drops of mercury coalesce adiabatically to form a single drop. The temperature of drop;(a) Increases;(b) Is infinite;(c) Remains unchanged;(d) May decrease or increase depending upon size;(d) May decrease or increase depending upon size,
1,1.0,Surface tension of a soap solution is 1.9 × 10-2N/m. work done in blowing a bubble of 2.0 cm diameter will be;(a) 7.6 × 10-6 p J;(b) 15.2 × 10-6 p J;(c) 1.9 × 10-6 p J;(d) 1 × 10-4 p J;(b) 15.2 × 10-6 p J,number
2,2.0,Plants get water through the roots because of;(a) Capillarity;(b) Viscosity;(c) Gravity;(d) Elasticity;(a) Capillarity,capillarity
3,3.0,The height of a liquid in a fine capillary tube;(a) Increases with an increase in the density of a liquid;(b) Decreases with a decrease in the diameter of the tube;(c) Decreases with an increase in the surface tension;(d) Increases as the effective value of acceleration due to gravity is decreased;(d) Increases as the effective value of acceleration due to gravity is decreased,rises
4,4.0,Water rises up to a height of 5 cm in a capillary tube of radius 2 mm. what is the radius of the radius of the capillary tube if the water rises up to a height of 10 cm in another capillary?;(a) 4 mm;(b) 1 mm;(c) 3 mm;(d) 1 cm;(b) 1 mm,liquid
5,5.0,Two soap bubbles have radii in the ratio of 4 : 3. What is the ratio of work done to below these bubbles?;(a) 4 : 3;(b) 16 : 9;(c) 09 : 16;(d) 3 : 4;(b) 16 : 9,infinite
6,6.0,The surface of water in contact with glass wall is;(a) Plane;(b) concave;(c) convex;(d) Both b and c;(b) concave,ratio
7,7.0,Pressure inside two soap bubbles is 1.01 and 1.02 atmospheres. ratio between their volume is;(a) 102 : 101;(b) (102)3 : (101)3;(c) 8 : 1;(d) 2 : 1;(c) 8 : 1,bubble
8,8.0,One end of a towel dips into a bucket full of water and other end hangs over the bucket. It is found that after some time the towel becomes fully wet. It happens;(a) Because viscosity of eater is high;(b) Because of the capillary action of cotton threads;(c) Because of gravitational force;(d) Because of evaporation of water.;(b) Because of the capillary action of cotton threads,one
9,9.0,The height of a liquid in a fine capillary tube;(a) Increases with an increase in the density of a liquid;(b) Decreases with a decrease in the diameter of the tube;(c) Decreases with an increase in the surface tension;(d) Increases as the effective value of acceleration due to gravity is decreased;(d) Increases as the effective value of acceleration due to gravity is decreased,wall
10,,,force
11,,,mm
12,,,small
13,,,towel
14,,,coalesce
15,,,size
16,,,plane
17,,,wet
18,,,temperature
19,,,drops
20,,,glass
21,,,adiabatically
22,,,concave
23,,,capillary
24,,,increase
25,,,density
26,,,blowing
27,,,value
28,,,hangs
29,,,tension
30,,,plants
31,,,may
32,,,threads
33,,,soap
34,,,decreases
35,,,atmospheres
36,,,found
37,,,due
38,,,end
39,,,cm
40,,,inside
41,,,n/m
42,,,diameter
43,,,decreased
44,,,decrease
45,,,acceleration
46,,,gravitational
47,,,unchanged
48,,,convex
49,,,done
50,,,radius
51,,,single
52,,,two
53,,,roots
54,,,full
55,,,work
56,,,eater
57,,,pressure
58,,,contact
59,,,evaporation
60,,,depending
61,,,fine
62,,,bucket
63,,,tube
64,,,dips
65,,,cotton
66,,,remains
67,,,solution
68,,,increases
69,,,gravity
70,,,time
71,,,another
72,,,becomes
73,,,high
74,,,get
75,,,action
76,,,viscosity
77,,,height
78,,,happens
79,,,form
80,,,effective
81,,,fully
82,,,volume
83,,,surface
84,,,upon
85,,,mercury
86,,,drop
87,,,water
88,,,radii
89,,,bubbles
90,,,elasticity
