,index,0;1;2;3;4;Answer,Words
0,0.0,The displacement in metres of a body varies with time t in second as y = t2 – t – 2. The displacement is zero for a positive of t equal to;(a) 1 s;(b) 2 s;(c) 3 s;(d) 4 s;(b) 2 s,starting
1,1.0,Which one of the following is the unit of velocity?;(a) kilogram;(b) metre;(c) m/s;(d) second;(c) m/s,∏/
2,2.0,The dimensional formula for speed is;(a) T-1;(b) LT-1;(c) L-1T-1;(d) L-1T;(b) LT-1,rest
3,3.0,The dimensional formula for velocity is;(a) [LT];(b) [LT-1];(c) [L2T];(d) [L-1T];(b) [LT-1],made
4,4.0,A body starts from rest and travels with an acceleration of 2 m/s². After t seconds its velocity is 10 m/s . Then t is;(a) 10 s;(b) 5 s;(c) 20 s;(d) 6 s;(b) 5 s,time
5,5.0,A body starts from rest and travels with an acceleration of 2 m/s². After t seconds its velocity is 10 m/s. Then t is;(a) 10 s;(b) 5 s;(c) 20 s;(d) 6 s;(b) 5 s,point
6,6.0,A body starts from rest and travels for five seconds to make a displacement of 25 m if it has travelled the distance with uniform acceleration a then a is;(a) 3 m/s²;(b) 4 m/s²;(c) 2 m/s²;(d) 1 m/s²;(c) 2 m/s²,ratio
7,7.0,A boy moves on a circular distance of radius R. Starting from a point A he moves to a point B which is on the other end of the diameter AB. The ratio of the distance travelled to the displacement made by him is;(a) ∏/2;(b) ∏;(c) 2∏;(d) 4∏;(a) ∏/2,formula
8,8.0,The dimensional formula for acceleration is;(a) [LT2];(b) [LT?2];(c) [L2T];(d) [L2T2];(b) [LT?2],following
9,9.0,Which one of the following is the unit of velocity?;(a) kilogram;(b) metre;(c) m/s;(d) second;(c) m/s,starts
10,10.0,The displacement in metres of a body varies with time t in second as y = t2 – t – 2. The displacement is zero for a positive of t equal to;(a) 1 s;(b) 2 s;(c) 3 s;(d) 4 s;(b) 2 s,varies
11,,,[lt]
12,,,dimensional
13,,,displacement
14,,,one
15,,,metre
16,,,circular
17,,,kilogram
18,,,end
19,,,five
20,,,second
21,,,m/s
22,,,velocity
23,,,m/s²
24,,,diameter
25,,,ab
26,,,seconds
27,,,uniform
28,,,lt
29,,,make
30,,,positive
31,,,speed
32,,,boy
33,,,travels
34,,,acceleration
35,,,moves
36,,,unit
37,,,distance
38,,,body
39,,,metres
40,,,travelled
41,,,equal
42,,,radius
43,,,zero
