,index,0;1;2;3;4;Answer,Words
0,0.0,The current sensitibility of a moving coil galanometer increases with decrease in:;(a) magnetic field;(b) area of a coil;(c) number of turns;(d) None of these;(d) None of these,turns
1,1.0,The sensitivity of a tangent galvanometer can be increased by increasing:;(a) the radius of the coil;(b) the external magnetic field;(c) the number of turns of the coil;(d) all the above;(b) the external magnetic field,number
2,2.0,The permeability of a paramagnetic substance is:;(a) very large;(b) small but more than unity;(c) less than unity;(d) negative;(b) small but more than unity,moving
3,3.0,Which of the following shows that the earth behaves as a magnet?;(a) Repulsion between like poles .;(b) Attraction between unlike poles;(c) Null points in the magnetic field of a bar magnet;(d) No existence of isolated magnetic poles;(c) Null points in the magnetic field of a bar magnet,magnet
4,4.0,What is the angle of dip at the magnetic poles ?;(a) 30°;(b) 0°;(c) 45°;(d) None of these;(d) None of these,usual
5,5.0,Circular loop of radius 0.0157 m carries a current 2 A. The magnetic field at the centre of the loop is :;(a) 1.57 × 10-3Wb/m²;(b) 8.0 × 10-5 Wb/m²;(c) 2.0 × 10-3 Wb/m²;(d) 3.l4 × 10-1 Wb/m²;(b) 8.0 × 10-5 Wb/m²,infinite
6,6.0,What happens to the magnetic field at the centre of a circular current carrying coil if we double the radius of the coil keeping the current unchanged?;(a) halved;(b) doubled;(c) quadrupled;(d) remains unchanged;(a) halved,following
7,7.0,The strength of the magnetic field around an infinite current carrying conductor is :;(a) same everywhere;(b) inversely proportional to the distance;(c) directly proportional to the distance;(d) None of these;(b) inversely proportional to the distance,b/
8,8.0,A current carrying power line carries current from west to east. Then the direction of the magnetic field 2 m above it is :;(a) west to east;(b) south to north;(c) north to south;(d) None of these;(c) north to south,iron
9,9.0,How much force will be experienced by a moving charge in a magnetic field? The symbols have their usual meanings.;(a) \(\vec{F}\) = q(\(\vec{v}\).\(\vec{B}\));(b) \(\vec{F}\) = \(\frac{q}{(\vec{v}.\vec{B})}\);(c) \(\vec{F}\) = \(\frac{q}{2}\)\((\vec{v}×\vec{B}\));(d) \(\vec{F}\) = q(\(\vec{v}\)×\(\vec{B}\));(d) \(\vec{F}\) = q(\(\vec{v}\)×\(\vec{B}\)),resistance
10,10.0,Which of the following is not a unit of magnetic induction?;(a) gauss;(b) tesla;(c) oersted;(d) weber/metre²;(c) oersted,one
11,11.0,The magnetic field produced by an / meter long straight (x cry thin) current (I) carry ing conductor at any point on itself is :;(a) zero;(b) infinite;(c) \(\frac{µ_0l}{4πl}\);(d) \(\frac{µ_0l}{2πl}\);(a) zero,sensitibility
