,index,0;1;2;3;4;Answer,Words
0,0.0,In damped oscilation the directions of the restoring force and the resistive force;(a) are the same;(b) are opposite;(c) may be same or opposite;(d) have no relation with each other;(c) may be same or opposite,escapes
1,1.0,The displacement y of a particle executing periodic motion is given by y = 4 cos² (t/2) sin (1000t). This expression may be considered to be a result of superposition of the following number of harmonic motions.;(a) two;(b) three;(c) four;(d) five;(b) three,resistive
2,2.0,Spring is pulled down by 2 cm. What is amplitude of motion?;(a) 0 cm;(b) 6 cm;(c) 2 cm;(d) cm;(c) 2 cm,number
3,3.0,The acceleration of particle executing S.H.M. when it is at mean position is;(a) Infinite;(b) Varies;(c) Maximum;(d) Zero;(d) Zero,three
4,4.0,The period of thin magnet is 4 sec. if it is divided into two equal halves then the time period of each part will be;(a) 4 sec;(b) 1 sec;(c) 2 sec;(d) 8 sec;(c) 2 sec,spring
5,5.0,Length of a simple pendulum executing simple harmonic motion is increased by 21%. The percentage increase in the time – period of the pendulum of increased length is;(a) 10%;(b) 1%;(c) 21%;(d) 42%;(a) 10%,part
6,6.0,The maximum velocity for particle in SHM is 0.16 m/s and maximum acceleration is 0.64 m/s2. The amplitude is;(a) 4 × 10-2 m;(b) 4 × 10-1 m;(c) 4 × 10 m;(d) 4 × 100 m;(a) 4 × 10-2 m,magnet
7,7.0,The period of a simple harmonic oscillator is 2 sec. The ratio of its maximum velocity and maximum acceleration is;(a) ∏;(b) 1/∏;(c) 2∏;(d) 4;(b) 1/∏,sec
8,8.0,If a hole is bored along the diameter of the earth and a stone is dropped into the hole;(a) The stone reaches the centre of the earth and stops there;(b) The stone reaches the other side of the earth and stops there;(c) The stone executes simple harmonic motion about the centre of the earth;(d) The stone reaches the other side of the earth and escapes into space;(c) The stone executes simple harmonic motion about the centre of the earth,harmonic
9,,,time
10,,,superposition
11,,,infinite
12,,,ratio
13,,,executes
14,,,bored
15,,,may
16,,,restoring
17,,,damped
18,,,following
19,,,four
20,,,cos²
21,,,displacement
22,,,varies
23,,,simple
24,,,side
25,,,force
26,,,relation
27,,,opposite
28,,,oscilation
29,,,particle
30,,,divided
31,,,t/
32,,,mean
33,,,earth
34,,,maximum
35,,,space
36,,,stops
37,,,periodic
38,,,five
39,,,motions
40,,,cm
41,,,m/s
42,,,velocity
43,,,percentage
44,,,diameter
45,,,period
46,,,increased
47,,,along
48,,,expression
49,,,dropped
50,,,pendulum
51,,,position
52,,,motion
53,,,executing
54,,,hole
55,,,stone
56,,,reaches
57,,,oscillator
58,,,acceleration
59,,,centre
60,,,result
61,,,thin
62,,,given
63,,,considered
64,,,increase
65,,,shm
66,,,pulled
67,,,directions
68,,,amplitude
69,,,equal
70,,,/∏
71,,,two
72,,,length
73,,,halves
74,,,zero
75,,,sin
