,index,0;1;2;3;4;Answer,Words
0,0.0,Nitrogen atom of amino group is ………. hybridised.;(a) sp;(b) sp2;(c) sp3;(d) sp3d;(c) sp3,coming
1,1.0,C3H8N cannot represent;(a) 1° ammine;(b) 2° ammine;(c) 3° ammine;(d) quartemary ammonium salt;(b) IV,secondary
2,2.0,The most convenient method to prepare primary (i Amine) amine containing one carbon atom less is;(a) Gabriel phthalmidie synthesis;(b) Reductive amination of aldehydes;(c) Hofmann bromamide reaction;(d) Reduction of isonitriles;(c) Hofmann bromamide reaction,acid
3,3.0,Amides may be converted into amines by a reaction named after;(a) Hofmann Bromide;(b) Claisen;(c) Perkin;(d) Kekule;(a) Hofmann Bromide,chchnhchch
4,4.0,Reduction of CH3CH2NC with hydrogen in presence of Ni or Pt as catalvst gives;(a) CH3CH2NH2;(b) CH3CH2NHCH3;(c) CH3CH2NHCH2CH3;(d) (CH3)3N;(b) CH3CH2NHCH3,isocyanide
5,5.0,Secondary amines can be prepared by;(a) reduction of nitro compounds;(b) oxidation of N-substituted amides;(c) reduction of isonitriles;(d) reduction of nitriles;(c) reduction of isonitriles,ammonia
6,6.0,Which of the following amides will give ethylamine on reaction with sodium hypobromide?;(a) Butanamide;(b) Propanamide;(c) Acetamide;(d)Benzamide;(b) Propanamide,nature
7,7.0,Benzoic acid is treated with SOCl2 and the product (X) formed is reacted with ammonia to give (Y). (Y) on reaction with Br2 and KOH gives (Z). (Z) in the reaction is;(a) aniline;(b) chlorobenzene;(c) benzamide;(d) benzoyl chloride;(a) aniline,pnhchnh
8,8.0,Amine that cannot be prepared by Gabricl-Phthalmidie synthesis is;(a) aniline;(b) benzyl amine;(c) methyl amine;(d) iso-butylamine;(c) LiAlH4 ether,heating
9,9.0,Tertiary amines have lowest boiling points amongst isomeric amines because;(a) they have highest molecular mass;(b) they do not form hydrogen bonds;(c) they are more polar in nature;(d) they are most basic in nature;(a) Aniline,bromamide
10,10.0,Which of the following amines will give carbylatnine reaction?;(a) (C2H5)3N;(b) (C2H5)2NH;(c) C2H5NH2;(d) C3H7NHC2H35;(c) C2H5NH2,koh
11,11.0,Primary and secondary amines are distinguished by;(a) Br2/ROH;(b) HClO;(c) HNO2;(d) NH3;(a) CH3CH2CH2NHCOCH3,conditions
12,12.0,Which of the following from isocyanide on reaction with CHCl and KOH?;(a) C6H5NHCH3;(b) CH3C6H4NH2;(c) C6H5NHC4H9.;(d) C6H5N (C2H5)2;(c) C6H5NH2 <NH3 < CH3NH2<(CH3)2NH,socl
13,13.0,Which of the following is used as Hinsberg’s reagent?;(a) C6H5SO2Cl;(b) C6H5SO3H;(c) C6H5NHCH3;(d) C6H5COCH3;(a) C6H5SO2Cl,reacts
14,14.0,Anilinium hydrogensulphate on heating with sulphuric acid at 453-473 K produces;(a) sulphanilic acia;(b) benzenesulphonic acid;(c) aniline;(d) anthranilic acid;(a) sulphanilic acia,amination
15,15.0,Which of the following can exist as zwitter ion?;(a) p-Aminoacetophenone;(b) Sulphanilic acid;(c) p-Nitroaminobenzene;(d) p-Methoxyphenol;(c),pmethoxyphenol
16,16.0,Reduction of aromatic nitro-compounds using Sn and HCl gives;(a) aromatic primary amines;(b) aromatic secondary amines;(c) aromatic tertiary amines;(d) aromatic amides;(a) aromatic primary amines,oxidation
17,17.0,Which of the following compounds cannot be identified by carbylamine test?;(a) CH3CH2NH2;(b) (CH3)2CHNH2;(c) C6H5NH2;(d) C6H5NHC6H5;(d) C6H5NHC6H5,atom
18,18.0,What is obtained when benzoyl chloride reacts with aniline in the presence of sodium hydroxide?;(a) Benzoic acid;(b) Benzanilide;(c) Acetanilide;(d) Azobenzene;(b) Benzanilide,value
19,19.0,Which of the following compounds reacts with NaNO2 and HCl at 0-4°C to give alcohol/phenol?;(a) C6H5NH2;(b) C2H5NH2;(c) CH3NHCH3;(d) C6H5NHCH3;(b) C2H5NH2,strongest
20,20.0,Which of the following has highest pKb value?;(a) (CH3)3CNH2;(b) NH3;(c) (CH3)2MH;(d) CH3NH3;(b) NH3,chsocl
21,21.0,Which of the following is amphoteric in nature?;(a) CH3NH2;(b) CH3NHCH3;(c) CH3CONH2;;(c) CH3CONH2,benzenesulphonic
22,22.0,An organic compound (X) was treated with sodium nitrite and HCl in ice cold conditions. Bubbles of nitrogen gas were seen coming out. The compound (X) may be;(a) a secondary aliphatic amine.;(b) a primary aromatic amine;(c) a primary aliphatic amine;(d) a tertiary amine;(b),butanamide
23,23.0,The strongest base among the following is;(a) C6H5NH3;(b) p-NH2C6H4NH;(c) m-NO2C6H4NH2;(d) C6H5CH2NH2;(d) C6H5CH2NH2,hydrogen
24,,,amino
25,,,named
26,,,represent
27,,,chnhch
28,,,test
29,,,aldehydes
30,,,isobutylamine
31,,,highest
32,,,hybridised
33,,,reacted
34,,,benzamide
35,,,basic
36,,,chn
37,,,hypobromide
38,,,carbon
39,,,hinsberg’s
40,,,hydrogensulphate
41,,,sp
42,,,br
43,,,ammine
44,,,nitrite
45,,,pkb
46,,,exist
47,,,chcl
48,,,nsubstituted
49,,,lialh
50,,,synthesis
51,,,points
52,,,chcoch
53,,,sulphuric
54,,,quartemary
55,,,alcohol/phenol
56,,,aromatic
57,,,benzanilide
58,,,chchnc
59,,,isomeric
60,,,product
61,,,phthalmidie
62,,,mass
63,,,using
64,,,chcnh
65,,,following
66,,,gas
67,,,bubbles
68,,,hydroxide
69,,,sodium
70,,,cold
71,,,may
72,,,less
73,,,ammonium
74,,,treated
75,,,ethylamine
76,,,methyl
77,,,chlorobenzene
78,,,chchnhch
79,,,produces
80,,,benzyl
81,,,propanamide
82,,,amine
83,,,formed
84,,,nitrocompounds
85,,,nano
86,,,bonds
87,,,convenient
88,,,base
89,,,anthranilic
90,,,distinguished
91,,,aniline
92,,,one
93,,,presence
94,,,carbylamine
95,,,aliphatic
96,,,gabriel
97,,,converted
98,,,chchnh
99,,,catalvst
100,,,benzoyl
101,,,azobenzene
102,,,containing
103,,,reagent
104,,,acetanilide
105,,,compounds
106,,,chsoh
107,,,hno
108,,,nh
109,,,benzoic
110,,,chnh<chnh
111,,,chmh
112,,,amongst
113,,,method
114,,,give
115,,,salt
116,,,zwitter
117,,,chnh
118,,,<nh
119,,,hofmann
120,,,………
121,,,ion
122,,,reductive
123,,,spd
124,,,ice
125,,,among
126,,,chchchnhcoch
127,,,reduction
128,,,anilinium
129,,,reaction
130,,,used
131,,,compound
132,,,sulphanilic
133,,,amphoteric
