,index,0;1;2;3;4;Answer,Words
0,0.0,K2[Fe(CN)6] is a/an;(a) double salt;(b) complex salt;(c) acid;(d) base;(b) complex salt,nhcl]
1,1.0,Which of the following compounds has tetrahedral geometry?;(a) [Ni(CN)4]2-;(b) [Pd(CN)4]2-;(c [PdCl4]2-;(d) [NiCl4]2-;(d) [NiCl4]2-,isomer
2,2.0,The oxidation state of nickel in |(Ni(CO4)| is;(a) 1;(b) 4;(c) 2;(d) 3;(b) 2,complex
3,3.0,According to Werner’s theory of coordination compounds;(a) Primary valency is ion isable;(b) Secondary valency is ionisable;(c) Primary and secondary valencies are lonisable;(d) Neither primary nor secondary valency ¡s ionisable;(a) Primary valency is ion isable,pentacyanonitroferrate
4,4.0,Ammonia acts as a very good ligand but ammonium ion does not form complexes because;(a) NH3 isa gas while NH\(_{4}^{+}\) is in liquid form.;(b) NH3 undergoes sp3 hybridisatiort while NH\(_{4}^{+}\) undergoes sp3 d hybndisation;(c) NH\(_{4}^{+}\) ion does not have any lone pair of electrons;(d) NH\(_{4}^{+}\) ion has one unpaired electron while NH3 has two unpaired electrons;(c) NH\(_{4}^{+}\) ion does not have any lone pair of electrons,nitritepentacynanoiron
5,5.0,The ligand N(CH2CH2NH2) is;(a) bidentate;(b) tridentate;(c) tetradentate;(d) pentadentate;(c) tetradentate,[niennh]
6,6.0,Which of the following is a tridentate ligand?;(a) EDTA4+;(b) (COO)\(_{2}^{2-}\);(c) dien;(d) NO\(_{2}^{-}\);(c) dien,secondary
7,7.0,Which of the following ligands form a chelate?;(a) Acetate;(b) Oxalate;(c) Cyanide;(d) Ammonia;(a) (i) and (iii),acid
8,8.0,Which of the following is not a neutral ligand?;(a) H2O;(b) NH3;(c) ONO;(d) CO2;(c) ONO,[conhcl]
9,9.0,The complex ion which has no d-electrons in the central metal atom is;(a) [MnO4]–;(b) [Co(NH3)6]3-;(c) [Fe(CN)6]3-;(d) [Cr(H2O)6]3+;(a) [MnO4]–,tetradentate
10,10.0,The correct IUPAC name of the coordination compound K3|Fe(CN)5NO| is;(a) Potassium pentacyanonitrosylferrate (II);(b) Potassium pentacyanonitroferrate (II);(c) Potassium nitritopentacyanoferrate (IV);(d) Potassium nitritepentacynanoiron (II);(a) Potassium pentacyanonitrosylferrate (II),chloridechromate
11,11.0,The correct IUPAC name of the following compound is |Cr(NH3)5(NCS)||ZnCl4|;(a) Penta amine isothiocyanato chromium (III) tetrachlorozincate (II);(b) Penta amine isothicocyanatezinc chloridechromate (III);(c) Penta amine isothicoyanato chromate (II);(d) isothiocyanatopenta amine chromium (II) zinc chloride (IV);(a) Penta amine isothiocyanato chromium (III) tetrachlorozincate (II),name
12,12.0,Correct formulae of tetraaminechloronitroplatinum (IV) sulphate can be written as;(a) [Pt(NH3)4 (ONO) Cl]SO4;(b) [Pt(NH3)4Cl2NO2]2;(c) [Pt(NH3)4 (NO2) Cl]SO4;(d) [PtCl(ONO)NH3(SO4)];(c) [Pt(NH3)4 (NO2) Cl]SO4,[coennoci]br
13,13.0,Which of the following isomers will give white precipitate with BaCl2 solution?;(a) [CO(NH3)5SO4]Br;(b) [CO(NH3)5Br]SO4;(c) [CO(NH3)4(SO4)2]Br;(d) [CO(NH3)4(SO4)];(c) [CO(NH3)4(SO4)2]Br,delectrons
14,14.0,|Pt(NH3)4| |CuCl4| and |Cu(NH3)4||PtCl4| are known as;(a) ionisation isomers.;(b) coordination isomers;(c) linkage isomers;(d) polymerisation isomers;(b) coordination isomers,nitritopentacyanoferrate
15,15.0,The name of the linkage isomer of |C0(NH3)5NO2|Cl2 will be;(a) pentaammonotrocobalt (II) chloride;(b) pentaaminenitrochloridecobaltate (III);(c) pentaamminenitritocobalt (III) chloride;(d) pentanitrosoamminechlorocobaltate(III);(c) pentaamminenitritocobalt (III) chloride,ammonia
16,16.0,Which of the following complex species is not expected to exhibit optical isomerism?;(a) [Co(en) (NH3)2Cl2]+;(b) [Co(en)3]3+;(c)[Co(en)2Cl2];(d) [Co(NH3)3Cl3];(d) [Co(NH3)3Cl3],[nicl]
