,index,0;1;2;3;4;Answer,Words
0,0.0,Concentration of sulphide ore is done by;(a) froth flotation process;(b) electrolysis;(c) roasting;(d) None of these;(a) froth flotation process,pine
1,1.0,Malachite is an ore of;(a) iron;(b) copper;(c) zinc;(d) Sliver;(b) copper,electromagnetic
2,2.0,Formula of copper pyrite is;(a)Cu2S;(b) CuFeS;(c) CuFeS2;(d) Cu2Fe2S2;(c) CuFeS2,represents
3,3.0,Ore of aluminium is;(a) bauxite;(b) hematite;(c) dolomite;(d) None of these;(a) bauxite,like
4,4.0,For which of the following ores froth floatation method is used for concentration?;(a) Haematite;(b) Zinc blende;(c) Magnetite;(d) Camallite;(b) Zinc blende,haematite
5,5.0,The powdered ore is agitated with water or washed with running stream of water. The heavy ore particles and lighter impurities are separated. This method of concentration is known as;(a) metallurgy;(b) leaching;(c) froth floatation process;(d) gravity separation;(d) gravity separation,separated
6,6.0,The oil used as frothing agent in froth floatation process is;(a) coconut oil;(b) castor oil;(c) palmitic oil;(d) pine oil;(d) pine oil,liquation
7,7.0,Which of the following metals is not extracted by leaching?;(a) Aluminium;(b) Mercury;(c) Silver;(d) Gold;(b) Mercury,floatation
8,8.0,Sulphide ore of zinc/copper is concentrated by;(a) floatation process;(b) electromagnetic process;(c) gravity separation;(d) distillation;(a) floatation process,galena
9,9.0,Which of the following ores is concentrated by chemical leaching method?;(a) Cinnabar;(b) Argentite;(c) Copper pyrites;(d) Galena;(b) Argentite,lined
10,10.0,How do we separate two sulphide ores by froth floatation method?;(a) By using excess of pine oil;(b) By adjusting proportion of oil to water or using depressant.;(c) By using some solvent in which one of the sulphides is soluble;(d) By using collectors and froth stabilisers like xanthates;(b) By adjusting proportion of oil to water or using depressant.,process
11,11.0,Common impurities present in bauxite are;(a) CuO;(b) ZnO;(c) CaO;(d) SiO2;(d) SiO2,heating
12,12.0,An ore of tin containing FeCrO4 is concentrated by;(a) gravity separation;(b) magnetic separation;(c) froth floatation;(d) leaching;(b) magnetic separation,separation
13,13.0,Which of the following ores cannot be concentrated by magnetic separation?;(a) Haematite;(b) Malachite;(c) Magnetite;(d) Siderite;(b) Malachite,furnace
14,14.0,Which of the following metals is extracted using a silica lined convertor?;(a) Mg;(b) Al;(c) Cu;(d) Zn;(c) Cu,air
15,15.0,Which of the following sulphides when heated strongly in air gives the corresponding metal without undergoing separate reduction of oxide?;(a) Cu2S;(b) FeS;(c) HgS;(d) ZnS;(c) HgS,impure
16,16.0,Which of the following metals cannot be obtained by reduction of its metal oxide bv aluminium ?;(a) Cr;(b) Mn;(c) Fe;(d) Mg;(d) Mg,mg
17,17.0,Heating pyrites to remove sulphur is called;(a) smelting;(b) calcination;(c) liquation;(d) roasting;(d) roasting,frothing
18,18.0,Ellingham diagram represents change of;(a) ΔG with temperature;(b) ΔH with temperature;(c) ΔG with pressure;(d) (ΔG – TΔS) with temperature;(a) ΔG with temperature,bessermerisation
19,19.0,In blast furnace iron oxide is reduced by;(a) silica;(b) carbon monoxide;(c) carbon;(d) lime stone;(b) carbon monoxide,palmitic
20,20.0,In a thermite process is used as reducing agent.;(a) Zn;(b) Al;(c) Mn;(d) Fe;(b) Al,roasting
21,21.0,Blister copper is;(a) impure copper;(b) obtained in self reduction process during bessermerisation;(c) Both are correct;(d) None is correct;(c) Both are correct,cuo
22,22.0,Which of the following slags is produced during extraction of iron?;(a) CaSiO3;(b) FeSiO3;(c) MgSiO3;(d) ZnSiO3;(a) CaSiO3,znsio
23,23.0,Which of the following oxides cannot be reduced by hydrogen?;(a) Ferric oxide;(b) Aluminium oxide;(c) Zinc oxide;(d) Cupric oxide;(b) Aluminium oxide,monoxide
24,,,metals
25,,,zns
26,,,hydrogen
27,,,cupric
28,,,lighter
29,,,sio
30,,,hgs
31,,,extraction
32,,,casio
33,,,corresponding
34,,,stream
35,,,proportion
36,,,tin
37,,,convertor
38,,,blende
39,,,carbon
40,,,stabilisers
41,,,thermite
42,,,separate
43,,,temperature
44,,,gravity
45,,,castor
46,,,metal
47,,,remove
48,,,blast
49,,,ferric
50,,,formula
51,,,heavy
52,,,dolomite
53,,,copper
54,,,iscusb
55,,,aluminium
56,,,diagram
57,,,agent
58,,,magnetic
59,,,using
60,,,following
61,,,depressant
62,,,reducing
63,,,stone
64,,,called
65,,,common
66,,,concentrated
67,,,heated
68,,,distillation
69,,,mercury
70,,,fe
71,,,change
72,,,oxide
73,,,smelting
74,,,sulphide
75,,,sulphur
76,,,collectors
77,,,one
78,,,calcination
79,,,flotation
80,,,siderite
81,,,excess
82,,,without
83,,,fesio
84,,,containing
85,,,solvent
86,,,sliver
87,,,bauxite
88,,,two
89,,,xanthates
90,,,present
91,,,particles
92,,,concentration
93,,,method
94,,,pyrites
95,,,produced
96,,,oxides
97,,,powdered
98,,,ores
99,,,zinc/copper
100,,,cao
101,,,zinc
102,,,reduced
103,,,iron
104,,,known
105,,,camallite
106,,,coconut
107,,,δg
108,,,reduction
109,,,agitated
110,,,washed
111,,,none
112,,,zno
113,,,water
114,,,silver
115,,,cinnabar
116,,,zn
117,,,used
118,,,froth
119,,,cu
120,,,pyrite
121,,,slags
122,,,ellingham
123,,,leaching
124,,,electrolysis
125,,,impurities
126,,,chemical
127,,,strongly
128,,,malachite
129,,,al
130,,,obtained
131,,,mn
132,,,correct
133,,,done
134,,,sulphides
135,,,gives
136,,,pressure
137,,,adjusting
138,,,ore
139,,,oil
140,,,fecro
141,,,soluble
142,,,magnetite
143,,,blister
144,,,mgsio
145,,,silica
146,,,hematite
147,,,self
148,,,fes
149,,,cannot
150,,,cr
151,,,metallurgy
152,,,argentite
153,,,cufes
154,,,cus
155,,,lime
156,,,running
157,,,undergoing
158,,,tδs
159,,,extracted
160,,,gold
