,index,0;1;2;3;4;Answer,Words
0,0.0,If two compounds have the same empirical formula but different molecular formula they must have;(a) Different percentage composition;(b) Different molecular weight;(c) Same viscosity;(d) Same vapour density;(b) Different molecular weight,green
1,1.0,"Identify the chiral molecule among the following:;(a) Isopropyl alcohol;(b) 2-pentanol;(c) 1-bromo 3-butene;(d) Isobutyl alcohol;""(d) Isobutyl alcohol",chfcooh
2,2.0,Explanation:,delocalized
3,3.0,"Chirality is the condition for a molecule to be optically active and here isobutyl alcohol is the only compound is optically active and hence it is the chiral molecule.""",acid
4,4.0,"0.0833mol of carbohydrate of empirical formula CH2O contain 1g of hydrogen. The molecular formula of the carbohydrate is;(a) C5H10O5;(b) C3H4O3;(c) C12H22O11;(d) C6H12O6;""(d) C6H12O6",isopropyl
5,5.0,Explanation:,intramolecular
6,6.0,As 0.0833 mole carbohydrate has hydrogen = 1g,methoxynitrobenzaldehyde
7,7.0,Empirical Formula (CH2O) has hydrogen = 2g,name
8,8.0,Hence n = \(\frac {(12)}{(2)}\) = 6,pentanol
9,9.0,"Hence molecular formula of carbohydrate =(CH2O)6 = C6H12O6""",πelectrons
10,10.0,"The displacement of electrons in a multiple bond in the presence of attacking reagent is called;(a) Inductive effect;(b) Electromeric effect;(c) Resonance;(d) Hyper conjugation.;""(b) Electromeric effect",dumas
11,11.0,Explanation:,ammonia
12,12.0,"The electromeric effect is a temporary effect brought into play at the requirement of attacking reagent. Electromeric effect refers to a molecular polarizability effect occurring by an intra-molecular electron displacement. It is the temporary effect.""",nature
13,13.0,"Which of the following cannot be represented by resonance structures?;(a) Dimethyl ether;(b) Nitrate anion;(c) Carboxylate anion;(d) Toluene;""(a) Dimethyl ether",−cl−
14,14.0,Explanation:,heating
15,15.0,"Ethers due to absence of delocalized pair of electrons do not show resonance.""",displacement
16,16.0,"An organic compound which produces a bluish green coloured flame on heating in presence of copper is;(a) Chlorobenzene;(b) Benzaldehyde;(c) Aniline;(d) Benzoic acid;""(d) Benzoic acid",butene
17,17.0,Explanation:,estimated
18,18.0,"Which one is strongest acid among following options?;(a) CH2FCOOH;(b) CH2ClCOOH;(c) CHCl2COOH;(d) CHF2COOH;""(b) CH2ClCOOH",electrons
19,19.0,Explanation:,takes
20,20.0,"CHF2−COOH. Difluoroacetic acid is strongest because presence of two F atoms increases its acidic nature.""",involves
21,21.0,"Insulin contains 3.4% sulphur. The minimum molecular weight of insulin is;(a) 350;(b) 470;(c) 560;(d) 940;""(d) 940",calculate
22,22.0,Explanation:,choh
23,23.0,Minimum mass of sulphur = wt. of its one atom = 32,acidic
24,24.0,As 3.4 gms of sulphur present in 100 gms.,explanation
25,25.0,Explanation:,identify
26,26.0,IUPAC name is 4-methoxy-2-nitrobenzaldehyde,property
27,27.0,"
In the Dumas method, the nitrogen present in organic compound gets converted to;(a) Sodium Cyanide;(b) Gaseoue Ammonia;(c) Dinitrogen Gas;(d) Ammonium Sulphate.;(c) Dinitrogen Gas",chch
28,28.0,Explanation:,delocalization
29,29.0,"Nitrogen present in the organic compound is converted into N2 gas by heating the compound with CuO.""",anion
30,30.0,"0.0833mol of carbohydrate of empirical formula CH2O contain 1 g of hydrogen. The molecular formula of the carbohydrate is;(a) C5H10O5;(b) C3H4O3;(c) C12H22O11;(d) C6H12O6;""(d) C6H12O6",atom
31,31.0,Explanation:,strongest
32,32.0,As 0.0833 mole carbohydrate has hydrogen = 1 g,equivalent
33,33.0,Empirical Formula (CH2O) has hydrogen = 2 g,electron
34,34.0,Hence n = \(\frac {(12)}{(2)}\) = 6,cuo
35,35.0,"Hence molecular formula of carbohydrate = (CH2O)6 = C6H12O6""",partially
36,36.0,Explanation:,dimethyl
37,37.0,"
Which one of the following conformations of cyclohexane is chiral?;(a) Twist boat;(b) Rigid;(c) Chair;(d) Boat;(a) Twist boat",gets
38,38.0,Explanation:,weight
39,39.0,The twist boat conformation of cyclohexane is optically active as it does not have any plane of symmetry.,hydrogen
40,40.0,"
If 0.228 g of silver salt of dibasic acid gave a residue of 0.162 g of silver on ignition then molecular weight of the acid is;(a) 70;(b) 80;(c) 90;(d) 100;(c) 90",{}{}\
41,41.0,Explanation:,conjugation
42,42.0,Mass of silver salt taken = 0.228 gm,atoms
43,43.0,Mass of silver left = 0.162 gm,cyclohexane
44,44.0,Basicity of acid = 2,occurring
45,45.0,Step 1- To calculate the equivalent mass of the silver salt (Eq. mass of silver salt)/(Eq. mass of silver)=(Mass of Acid taken)/(Mass of silver left),element
46,46.0,(\(\frac {E}{108}\)) = (\(\frac {0.228}{0.162}\)),condition
47,47.0,E = (\(\frac {0.228}{0.162}\)) × 108 = 152(Eq. mass of silver salt),chirality
48,48.0,Step 2 – To calculate the eq. mass of acid = ( Equivalent mass of acid),symmetric
49,49.0,= Equivalent mass of silver salt – Equivalent mass of Ag + Basicity,halogen
50,50.0,= 152 – 108 + 1,contains
51,51.0,= 152 – 109,chc
52,52.0,= 43 (Equivalent mass of acid),carbon
53,53.0,"Step 3- To determine the molecular mass of acid. molecular mass of the acid = Equivalent mass of acid × basicity = 45 × 2 = 90.""",increases
54,54.0,Explanation:,chf−cooh
55,55.0,"Which element is estimated by Carius method;(a) Carbon;(b) Hydrogen;(c) Halogen;(d) Nitrogen;""(c) Halogen",carius
56,56.0,Explanation:,developed
57,57.0,"Halogen element is estimated by Carius method""",formula
58,58.0,"Inductive effect involves;(a) displacement of σ electrons;(b) delocalization of π electrons;(c) delocalization of σ-electrons;(d) displacement of π-electrons;""(a) displacement of σ electrons",inductive
59,59.0,Explanation:,non
60,60.0,During inductive effect shifting of a electrons takes place due to which partially charges are developed on the atom.,place
61,61.0,+δ” +δ′ +δ −δ,taken
62,62.0,"C− C− C −Cl−""",composition
63,63.0,"A crystalline solid possess which one of the following property?;(a) Irregularity;(b) Non- symmetric;(c) Perfect geometric pattern;(d) non- stability;""(c) Perfect geometric pattern",different
64,64.0,Explanation:,sulphate
65,65.0,"Which of the following behaves both as a nucleophile and as an electrophile?;(a) CH3C ≡ N;(b) CH3OH;(c) CH2 = CHCH3;(d) CH3NH2;""(a) CH3C ≡ N",flame
66,66.0,Explanation:,copper
67,,,dibasic
68,,,plane
69,,,coloured
70,,,play
71,,,residue
72,,,cyanide
73,,,mol
74,,,mass
75,,,gas
76,,,vapour
77,,,following
78,,,alcohol
79,,,brought
80,,,resonance
81,,,twist
82,,,symmetry
83,,,sodium
84,,,called
85,,,hyper
86,,,ammonium
87,,,cho
88,,,chclcooh
89,,,chlorobenzene
90,,,gaseoue
91,,,produces
92,,,silver=mass
93,,,density
94,,,conformation
95,,,dinitrogen
96,,,taken/mass
97,,,isobutyl
98,,,nitrate
99,,,aniline
100,,,effect
101,,,sulphur
102,,,one
103,,,presence
104,,,options
105,,,structures
106,,,converted
107,,,percentage
108,,,reagent
109,,,boat
110,,,represented
111,,,ignition
112,,,two
113,,,bluish
114,,,compounds
115,,,charges
116,,,present
117,,,benzoic
118,,,=cho
119,,,minimum
120,,,method
121,,,must
122,,,electromeric
123,,,salt
124,,,{e}{}\
125,,,iupac
126,,,multiple
127,,,attacking
128,,,pattern
129,,,chnh
130,,,molecule
131,,,irregularity
132,,,carbohydrate
133,,,insulin
134,,,ethers
135,,,among
136,,,stability
137,,,chair
138,,,benzaldehyde
139,,,optically
140,,,bond
141,,,salt/eq
142,,,determine
143,,,gms
144,,,perfect
145,,,basicity
146,,,silver
147,,,bromo
148,,,electrophile
149,,,carboxylate
150,,,compound
151,,,δ′
152,,,contain
153,,,pair
154,,,absence
155,,,organic
156,,,hence
157,,,molecular
158,,,wt
159,,,chiral
160,,,toluene
161,,,σelectrons
162,,,polarizability
163,,,possess
164,,,crystalline
165,,,left
166,,,rigid
167,,,\\frac
168,,,conformations
169,,,viscosity
170,,,solid
171,,,nitrogen
172,,,temporary
173,,,gave
174,,,due
175,,,eq
176,,,ether
177,,,shifting
178,,,geometric
179,,,active
180,,,step
181,,,cannot
182,,,mole
183,,,behaves
184,,,refers
185,,,difluoroacetic
186,,,requirement
187,,,δ”
188,,,empirical
189,,,nucleophile
190,,,show
191,,,ch
