,index,0;1;2;3;4;Answer,Words
0,The vapour pressure of water at 300 K in a closed container is 0.4 atm. If the volume of container is doubled," its vapour pressure at 300 K will be;(a) 0.8 atm;(b) 0.2 atm;(c) 0.4 atm;(d) 0.6 atm;""(c) 0.4 atm",wrong
1,Explanation:,,gaseous
2,"Vapour pressure depends on T only and it does not depend on container volume.""",,break
3,Explanation:,,smaller
4,"The state of matter that shows the uniformity of behavior :;(a) Solid Liquid;(b) Liquid;(c) Gas;(d) None of the Above;""(c) Gas",,uniformity
5,Explanation:,,compressible
6,Of the three states of matter, the gaseous state is the simplest and shows greatest uniformity in behaviour. Gases show almost similar behaviour irrespective of their chemical nature. This state is characterized by:,become
7,"Gases maintain neither the volume nor the shape. They completely fill the container in which they are placed.""",,measure
8,"A gas deviates from ideal behavior at a high pressure because its molecules:;(a) Attract one another;(b) Show the Tyndall Effect;(c) Have kinetic energy;(d) Are bound by covalent bonds;""(a) Attract one another",,nature
9,Explanation:,,ratio
10,Explanation:,,size
11,The value of the gas constant R depends on the units used for pressure," volume and temperature.""",root
12,Explanation:,,irrespective
13,"Vc = 3b = 3 × 4N × (4/3) πr³""",,faster
14,"Which of the following statement is wrong for gases?;(a) Gases do not have definite shape and volume;(b) Volume of the gas is equal to the volume of the container confining the gas;(c) Confined gas exert uniform pressure on the wall of the container in all directions;(d) Mass of the gas cannot be determined by weighing a container in which it is contained;""(d) Mass of the gas cannot be determined by weighing a container in which it is contained",,collisions
15,Explanation:,,therefore
16,Mass of the gas = mass of the cylinder including gas – mass of empty cylinder. So mass of a gas can be determined by weighing the container in which it is enclosed. Thus," the statement (d) is wrong for gases.""",value
17,In van der Waal equation of state of gas laws," the constant b is a measure of;(a) Intermolecular collisions per unit volume;(b) Intermolecular attraction;(c) Volume occupied by the molecules;(d) Intermolecular repulsions;""(c) Volume occupied by the molecules",molar
18,Explanation:,,shows
19,In van der Waals equation of state of the gas law," the constant b is a measure of the volume occupied by the molecules. It gives the effective size of the gas molecules. The greater value of b indicates a larger size of the molecules and smaller compressible volume.""",rutherfords
20,"The volume of 2.8 g of carbon monoxide at 27°C and 0.0821 atm is;(a) 30 L;(b) 3 L;(c) 0.3 L;(d) 1.5 L;""(a) 30 L",,rapid
21,Explanation:,,atomic
22,According to the ideal gas equation, we have,temperature
23,PV = nRT,,pv
