,index,0;1;2;3;4;Answer,Words
0,0.0,"CsOH is;(a) Strongly basic;(b) Weakly basic;(c) Slightly acidic;(d) Amphoteric.;""(a) Strongly basic",
1,1.0,Explanation:,rainy
2,2.0,"Solvays process is used for the manufacture of :;(a) NaOH;(b) (Na2CO3. 10H2O);(c) K2CO3;(d) Na2O2;""(b) (Na2CO3. 10H2O)",mgcl
3,3.0,Explanation:,interlocking
4,4.0,The Solvay process or ammonia soda process is used for the manufacture of sodium carbonate,made
5,5.0,"(Na2CO3. 10H2O).""",slippery
6,6.0,"Alkali metals give a _________________when dissolved in liquid ammonia;(a) Deep blue solution;(b) Colourless;(c) Red colour;(d) None of the Above;""(a) Deep blue solution",acid
7,7.0,Explanation:,like
8,8.0,"What are Oxo-Acids?;(a) Acid containing Oxygen;(b) Acid containing Sulphur;(c) Acid containing Carbon;(d) None of the Above;""(a) Acid containing Oxygen",statue
9,9.0,Explanation:,ammonia
10,10.0,Explanation:,unslaked
11,11.0,"Water develops interlocking needle ­like crystals of hydrated silicates. The reactions involved are the hydration of calcium aluminates and calcium silicates which change into their colloidal gels.""",process
12,12.0,"The substance not likely to contain CaCO3 is;(a) Dolomite;(b) A marble statue;(c) Calcined gypsum;(d) Sea shells.;""(c) Calcined gypsum",nacl/ho
13,13.0,Explanation:,energy
14,14.0,"The composition of gypsum is CaSO4 ∙2H2O. It does not have CaCO3""",koh
15,15.0,"Carnallite is the mineral of:;(a) Na;(b) Ca;(c) Mg;(d) None of the Above;""(c) Mg",involved
16,16.0,Explanation:,solvay
17,17.0,"The wire of flash bulb is made up of:;(a) Mg;(b) Ag;(c) Cu;(d) Ba;""(a) Mg",when
18,18.0,Explanation:,countries
19,19.0,"Magnesium metal is used for the preparation of the wire of flash bulb.""",acidic
20,20.0,"The basic strength of which hydroxide is maximum;(a) LiOH;(b) NaOH;(c) Ca (OH)2;(d) KOH.;""(d) KOH.",explanation
21,21.0,Explanation:,oxygen
22,22.0,"The basic strength increases down the group and decreases along a period.""",period
23,23.0,"The composition of Sorels cement is;(a) KCl × MgCl2× 6H2O;(b) MgCl2 × 5MgO × (xH2O);(c) MgCO3 × CaCO3;(d) CaSO4 × 2H2O;""(b) MgCl2 × 5MgO × (xH2O)",mg
24,24.0,Explanation:,decomposition
25,25.0,"Mixture of MgCl2 and MgO is called Sorels cement. It is MgCl2 × 5MgO × (xH2O)""",reacts
26,26.0,"Which of the following alkali metals has the least melting point?;(a) Na;(b) K;(c) Rb;(d) Cs.;""(d) Cs.",season
27,27.0,Explanation:,least
