0;1;2;3;4;Answer
Bakelite is an example of;(a) elastomer;(b) fibre;(c) thermoplastic;(d) thermosetting;(d) thermosetting
Arrange the following polymers is an increasing order of intenqolecular forces: fibre, plastic, elastomer;(a) Elastomer < Fibre < Plastic;(b) Elastomer < Plastic < Fibre;(c) Plastic < Elastomer < Fibre;(d) Fibre < Elastomer < Plastic;(b) Elastomer < Plastic < Fibre
The S in buna-S refers to;(a) Sulphur;(b) Styrene;(c) Sodium;(d) Salicylate;(c)
Which of the following are thermoplastic polymers?;(a) Polythene, urea-formaldehyde, polyvinyls;(b) Bakelite, polythene, polystyrene;(c) Polythene, polystyrene, polyvinyls;(d) Urea-formaldehyde, polystyrene, bakelite;(a) (i) Homopolymer, (ii) Copolymer
Glycogen, anaturally occuring polymer stored in animals is a;(a) monosaccharide;(b) disaccharide;(c) trisaccharide;(d) polysaccharide;(d) polysaccharide
Nylon 6, 6 is obtained by condensation polymerisation of;(a) adipic acid and ethylene glycol;(b) adipic acid and hexamethylenediamine;(c) terephthalic acid and ethylene glycol;(d) adipic acid and phenol;(b) adipic acid and hexamethylenediamine
Terylerte is a condensation polymer of ethylene glycol and;(a) benzoic acid;(b) phthalic acid;(c) dimethyl terephthalate;(d) salicylic acid;(c) dimethyl terephthalate
Natural rubber is a polymer of;(a) 1, 1-dimethylbufadiene;(b) 2-methyl-1, 3-rbutadiene;(c) 2-chlorobuta-1, 3-diene;(d) 2-chlorobut-2-ene;(b) 2-methyl-1, 3rbutadiene
Heating rubber with sulphur is known as;(a) galvanisation;(b) bessemerisation;(c) vulcanisation;(d) sulphonation;(c) vulcanisation
Dacron is an example of;(a) polyamides;(b) polypropenes;(c) polyacrylnitrfle;(d) polyesters;(d) polyesters
Which of the following is a condensation polymer?;(a) Teflon;(b) PVC;(c) Polyester;(d) Neoprene;(c) Polyester
Which of the following polymers does not involve cross-linkages?;(a) Vulcanised rubber;(b) Bakelite;(c) Melamine;(d) Teflon;(d) Teflon
Composition of Ziegler-Natta catalyst is;(a) (Et3)3Al.TiCl2;(b) (Me)3Al.TiCl2;(c) (Et)3Al.TiCl4;(d) (Et)3Al.PtCl4;(c) (Et)3Al.TiCl4
Which of the following is not an example of addition polymer?;(a) Polythene;(b) Polystyrene;(c) Neoprene;(d) Nylon 6,6;(d) Nylon 6,6
Teflon and neoprene are the examples of;(a) copolymers;(b) monomers;(c) homopolymers;(d) condensation polymers;(c) homopolymers
Which of the following sets contains only addition polymers?;(a) Polyethylene, polypropylene, terylene;(b) Polyethylene, PVC, acrilan;(c) Buna-S, nylon, polybutadiene;(d) Bakelite, PVC, polyethylene;(b) Polyethylene, PVC, acrilan
Which among the following is a cross-linked polymer?;(a) Polyesters;(b) Glycogens;(c) Melamine-formaldehyde;(d) Polyvinyl chloride;(c) Melamine-formaldehyde
Synthetic polymer prepared by using caprolactam is known as;(a) terylene;(b) teflon;(c) nylon 6;(d) neoprene;(c) nylon 6
Polymer which has amide linkage is;(a) nylon-6, 6;(b) terylene;(c) teflon;(d) bakelite;(a) nylon-6, 6
Which of the following is not an example of rubber?;(a) Polychloroprene;(b) Buna-N;(c) Butadiene-styrene copolymer;(d) Polyacrylonitrile;(d) Polyacrylonitrile
Which of the following polymers does not have vinylic monomer units?;(a) Acrilan;(b) Nylon;(c) Polystyrene;(d) Neoprene;(b) Nylon
cis-Polyisoprene possesses elastic property because;(a) It is soft and soluble in non-polar solvent;(b) It is unsaturated and porous;(c) It has a coiled structure and chains held together by weak van der waals forces;(d) It has fibrous structure and reactive sites at various double bonds;(c) It has a coiled structure and chains held together by weak van der waals forces
The monomers used in addition polymerisation through free radical should be very pure because;(a) the traces of impurities act like inhibitors resulting in short chain polymers;(b) the impurities result in formation of different products;(c) the polymer formed is impure;(d) catalyst does not function in presence of impurities;(a) the traces of impurities act like inhibitors resulting in short chain polymers
