0;1;2;3;4;Answer
The vapour pressure of water at 300 K in a closed container is 0.4 atm. If the volume of container is doubled, its vapour pressure at 300 K will be;(a) 0.8 atm;(b) 0.2 atm;(c) 0.4 atm;(d) 0.6 atm;"(c) 0.4 atm
Explanation:
Vapour pressure depends on T only and it does not depend on container volume."
The rate of diffusion methane is twice that of X. The molecular mass of X is;(a) 64.0;(b) 32.0;(c) 40;(d) 80;"(c) Alcohol, Petrol, Water
Explanation:
The vapour pressure of the liquid is inversely proportional to the magnitude of the intermolecular forces of attraction present. Based on this, the liquid with higher vapour pressure in the different pairs is: (a) Alcohol, (b) Petrol, (c) Water."
The state of matter that shows the uniformity of behavior :;(a) Solid Liquid;(b) Liquid;(c) Gas;(d) None of the Above;"(c) Gas
Explanation:
Of the three states of matter, the gaseous state is the simplest and shows greatest uniformity in behaviour. Gases show almost similar behaviour irrespective of their chemical nature. This state is characterized by:
Gases maintain neither the volume nor the shape. They completely fill the container in which they are placed."
A gas deviates from ideal behavior at a high pressure because its molecules:;(a) Attract one another;(b) Show the Tyndall Effect;(c) Have kinetic energy;(d) Are bound by covalent bonds;"(a) Attract one another
Explanation:
The basic concept of the kinetic-molecular theory give us the information why real gases deviate from ideal behavior. The molecules of an ideal gas are assumed to occupy no space and have no attractions for one another. Real molecules, however, do have finite volumes, and they do attract one another. So, a gas deviates from ideal behavior at a high pressure because its molecules attract one another."
The value of universal gas constant R depends on;(a) Temperature of Gas;(b) Volume of Gas;(c) Number of Moles of Gas;(d) Units of Volume,Temperature and Pressure;"(d) Units of Volume,Temperature and Pressure
Explanation:
The value of the gas constant R depends on the units used for pressure, volume and temperature."
The critical volumes of four gases A, B, C, D are respectively 0.025 L, 0.312 L, 0.245 L, 0.432 L, the gas with highest value of van der Wall constant b is;(a) A;(b) B;(c) C;(d) D;"(d) D
Explanation:
Vc = 3b = 3 × 4N × (4/3) πr³"
Which of the following statement is wrong for gases?;(a) Gases do not have definite shape and volume;(b) Volume of the gas is equal to the volume of the container confining the gas;(c) Confined gas exert uniform pressure on the wall of the container in all directions;(d) Mass of the gas cannot be determined by weighing a container in which it is contained;"(d) Mass of the gas cannot be determined by weighing a container in which it is contained
Explanation:
Mass of the gas = mass of the cylinder including gas – mass of empty cylinder. So mass of a gas can be determined by weighing the container in which it is enclosed. Thus, the statement (d) is wrong for gases."
In van der Waal equation of state of gas laws, the constant b is a measure of;(a) Intermolecular collisions per unit volume;(b) Intermolecular attraction;(c) Volume occupied by the molecules;(d) Intermolecular repulsions;"(c) Volume occupied by the molecules
Explanation:
In van der Waals equation of state of the gas law, the constant b is a measure of the volume occupied by the molecules. It gives the effective size of the gas molecules. The greater value of b indicates a larger size of the molecules and smaller compressible volume."
The volume of 2.8 g of carbon monoxide at 27°C and 0.0821 atm is;(a) 30 L;(b) 3 L;(c) 0.3 L;(d) 1.5 L;"(a) 30 L
Explanation:
According to the ideal gas equation, we have
PV = nRT
​PV = (\(\frac {w}{M}\)) RT
​V = ​ (\(\frac {w}{M}\)) (\(\frac {RT}{P}\))
Given values are:
w = 2.8 g
M = Molar mass of CO = 28 g mol-1
T = 27°C = (273 + 27) = 300 K
P = 0.821 atm
R = 0.0821 L atm mol-1 K-1
Putting the values in the formula we get :
V = (2.8 g /28 g mol-1) × (0.0821 L atm mol-1 K-1) × (300 K)/(0.821 atm)
= 3 L"
If 20cm³ gas at 1 atm. is expanded to 50 cm³ at constant T, then what is the final pressure;(a) 20 × 150;(b) 50 × 120;(c) 1 × 120 × 50;(d) None of these;"(a) 20 × 150
Explanation:
At constant T, P1V1 = P2V2
1 × 20 = P2 × 50;
P2 = (\(\frac {20}{ 50}\)) × 1"
