0;1;2;3;4;Answer
A dibromo derivative of an alkane reacts with sodium metal to form an alicyclic hydrocarbon. The derivative is ______.;(a) 2, 2-dibromobutane;(b) 1, 1-dibromopropane;(c) 1, 4-dibromobutane;(d) 1, 2-dibromoethane;"(c) 1, 4-dibromobutane
Explanation:
The derivative is 1, 4 dibromobutane. This on reaction with sodium metal gives cyclobutane.

This reaction is an example of internal Wurtz reaction."
The position of double bond in alkenes can be located by :;(a) Hydrogenation of oil;(b) Ozonolysis;(c) Photolysis;(d) Hydration;"(b) Ozonolysis
Explanation:
Ozonolysis is the cleavage of an alkene or alkyne with ozone to form organic compounds in which the multiple carbon-carbon bonds have been replaced by a double bond to oxygen. The outcome of the reaction depends on the type of multiple bonds being oxidized."
Nitrobenzene on reaction with conc. HNO3/H2SO4 at 80 – 100°C forms which one of the following products?;(a) 1, 2-Dinitrobenzene;(b) 1, 3-Dinitrobenzene;(c) 1, 4-Dinitrobenzene;(d) 1, 2, 4-Trinitrobenzene;"(b) 1, 3-Dinitrobenzene
Explanation:
NO2 is an m-directing group and hence, 1, 3-dinitrobenzene is formed.
"
Some meta-directing substituents in aromatic substitution are given. Which one is most deactivating?;(a) –C ≡ N;(b) -SO3H;(c) -COOH;(d) -NO2;"(d) -NO2
Explanation:
The correct order of deactivation is
−NO2 > −C ≡ N > −SO32 H > −COOH"
Which of the following compounds will exhibit geometrical isomerism?;(a) 1 – Phenyl – 2 – butene;(b) 3 – Phenyl – 1 – butene;(c) 2 – Phenyl – 1 butene;(d) 1, 1 – Diphenyl – propene .;"(a) 1 – Phenyl – 2 – butene
Explanation:
C6H5CH2−CH = CH−CH3 (1-phenyl-2-butene) exhibits the phenomenon of geometrical isomerism due to Cab = Cad structure, so its two isomers are possible which are given are follow :
"
The order of decreasing reactivity towards an electrophilic reagent, for the following : (i) Benzene (ii) Toluene (iii) Chlorobenzene (iv) Phenol would be:;(a) (i) > (ii) > (iii) > (iv);(b) (ii) > (iv) > (i) > (iii);(c) (iv) > (iii) > (ii) > (i);(d) (iv) > (ii) > (i) > (iii);"(d) (iv) > (ii) > (i) > (iii)
Explanation:
Benzene having any activating group i.e., OH, R etc., undergoes electrophilic substitution very easily as compared to benzene itself. Thus toluene (C6H5CH3), phenol (C6H5OH) undergo electrophilic substitution very readily than benzene. Chlorine with +E and +M effect deactivates the ring due to strong -I effect. So, it is difficult to carry out the substitution in chlorobenzene than in benzene, so correct order is Phenol (iv) > Toluene (ii) > Benzene (i) > Chlorobenzene (iii)"
Pure methane can be prepared by;(a) Soda lime decarboxylation;(b) Kolbes electrolytic method;(c) Wurtz reaction;(d) Reduction with H2;"(a) Soda lime decarboxylation
Explanation:
Methane cannot be prepared by either Wurtz reaction, Kolbes electrolytic method or by reduction of alkenes with H2. While acetic acid salt on heating with soda lime gives methane.
CH3COONa– → CH4 + Na2CO3"
Hydrocarbon containing following bond is most reactive;(a) C ≡ C;(b) C = C;(c) C-C;(d) All of these;"(a) C ≡ C
Explanation:
−C ≡ C−is most reactive because sp-hybridization."
The compound C3H4 has a triple bond, which is indicated by its reaction with;(a) Bromine water;(b) Bayers reagent;(c) Fehling solution;(d) Ammonical silver nitrate;"(d) Ammonical silver nitrate
Explanation:
CH3−C ≡ C−H + AgNO3 → CH3 −C ≡ C−Ag
Propyne Ammonical Siver salt of Propyne"
Isopropyl bromide on Wurtz reaction gives;(a) Hexane;(b) Propane;(c) 2, 3 – Dimethylbutane;(d) Neohexane;"(c) 2, 3 – Dimethylbutane
Explanation:
CHMe2 − Br + 2Na + Br − CHMe2 + Br − CHMe2 \(\underrightarrow { dryEther } \) Me2CH − CHMe2 + 2NaBr"
Nitrobenzene on reaction with conc. HNO3/H2SO4 at 80 – 100°C forms which one of the following products?;(a) 1, 2-Dinitrobenzene;(b) 1, 3-Dinitrobenzene;(c) 1, 4-Dinitrobenzene;(d) 1, 2, 4-Trinitrobenzene;"(b) 1, 3-Dinitrobenzene
Explanation:
NO2 is an m-directing group and hence, 1, 3-dinitrobenzene is formed."
