0;1;2;3;4;Answer
The increasing order (lowest first) for the values of e/m (charge/mass) for;(a) e, p, n, α;(b) n, p, e, α;(c) n, p, α, e;(d) n, α, p, e;"(d) n, α, p, e
Explanation:
(i) (e/m) for (i) neutron = (\(\frac{0}{1}\)) = 0
(ii) α− particle = (\(\frac{2}{4}\)) = 0.5
(iii) Proton = (\(\frac{1}{1}\)) = 1
(iv) electron = (\(\frac{1}{1837}\)) = 1837."
The ionization enthalpy of hydrogen atom is 1.312 × 106 J mol-1. The energy required to excite the electron in the atom from n = 1 to n = 2 is;(a) 8.51 × 105 J mol-1;(b) 6.56 × 105 J mol-1;(c) 7.56 × 105 J mol-1;(d) 9.84 × 105 J mol-1;"(d) 9.84 × 105 J mol-1
Explanation:
Energy required when an electron makes transition from n = 1 to n = 2
E2=−(1.312 × 106 × (1)²)/(2²)
= −3.28 × 105 J mol-1
E1 = −1.312 × 106 J mol-1
ΔE = E2 − E1
=−3.28 × 105−(−13.2 × 106)
ΔE = 9.84×105 J mol-1"
or a given principal level n = 4, the energy of its subshells is in the order;(a) s < p < d < f;(b) s > p > d > f;(c) s < p < f < d;(d) f < p < d < s;"(a) s < p < d < f
Explanation:
Order of energy is:
s < p < d < f
"
A gas absorbs a photon of 355 nm and emits at two wavelengths. If one of the emissions is at 680 nm, the other is at:;(a) 518 nm;(b) 1035 nm;(c) 325 nm;(d) 743 nm;"(d) 743 nm
Explanation:
From Law of Conservation of energy, energy of absorbed photon must be equal to combined energy of two emitted photons.
ET = E1 + E2 ….. (1)
Where E1 is Energy of first emitted photon emitted and E2is Energy of second emitted photon.
Energy E and wavelength λ of a photon are related by the equation
E= (hc)/ (λ)….. (2)
Where Plancks constant = h, c is velocity of light.
Substituting the values from (2) in (1) we get
(hc/λT) = (hc)/ (λ1) + (hc)/ (λ2)
Or (\(\frac{1}{λ_T}\)) = (\(\frac{1}{λ_1}\)) + (\(\frac{1}{λ_2}\)) …… (3)
Substituting given values in (3) we get
(\(\frac{1}{355}\)) = (\(\frac{1}{680}\)) + (\(\frac{1}{λ_2}\))
Or \(\frac{(1)}{(λ_T)}\) = (\(\frac{1}{355}\)) − (\(\frac{1}{680}\))
⇒ (\(\frac{1}{λ_2}\)) = (680 − 355)/ (355 × 680)
⇒ λ2 = 742.77nm"
Which of the following statements in relation to the hydrogen atom is correct?;(a) 3s orbital is lower in energy than 3p orbital;(b) 3p orbital is lower in energy than 3d orbital;(c) 3s and 3p orbitals are of lower energy than 3d orbital;(d) 3s, 3p and 3d orbitals all have the same energy;"(d) 3s, 3p and 3d orbitals all have the same energy
Explanation:
A hydrogen atom has 1st configuration and these its, 3p and 3d orbitals will have same energy wrt 1s orbital."
The magnetic quantum number specifies;(a) Size of orbitals;(b) Shape of orbitals;(c) Orientation of orbitals;(d) Nuclear Stability;"(c) Orientation of orbitals
Explanation:
The magnetic quantum number specifies orientation of orbitals."
The electronic configuration of silver atom in ground state is;(a) [Kr]3d104s1;(b) [Xe]4f145d106s1;(c) [Kr]4d105s1;(d) [Kr]4d95s2;"(c) [Kr]4d105s1
Explanation:
The electronic configuration of Ag in ground state is [Kr]4d105s1"
Which of the following element has least number of electrons in its M-shell?;(a) K;(b) Mn;(c) Ni;(d) Sc;"(a) K
Explanation:
K = 19 = 1s²2s22p63s23p6s1
3s23p6 = m-shell
= k has only 8 electrons in M shell"
Which one of the following sets of ions represents a collection of isoelectronic species? (Atomic nos.: F = 9, Cl = 17, Na = 11, Mg = 12, Al = 13, K = 19, Ca = 20, Sc = 21);(a) K+, Ca2+, Sc3+, Cl–;(b) Na+, Ca2+ , Sc3+, F–;(c) K+, Cl–, Mg2+, Sc3+;(d) Na+, Mg2+, Al3+, Cl–;"(a) K+, Ca2+, Sc3+, Cl–
Explanation:
Isoelectronic species are those which have same number of electrons.
K+ = 19 – 1 = 18; Ca2+ = 20 – 2 = 18; Sc3+ = 21 – 3 = 18; Cl– = 17 + 1 = 18
Thus all these ions have 18 electrons in them."
In the ground state, an element has 13 electrons in its M-shell. The element is_____.;(a) Copper;(b) Chromium;(c) Nickel;(d) Iron;"(b) Chromium
Explanation:
M shell means it is third shell ⇒ n = 3
Number of electrons in M shell = 13
⇒ 3s23p63d5
The electronic configuration is: (1s2) (2s2 2p6) (3s2 3p6 3d5) (4s1)
The element is chromium is Cr."
