0;1;2;3;4;Answer
Red phosphorus is chemically less reactive because;(a) It does not contain P – P bonds;(b) It dos not contain tetrahedral P4 molecules;(c) It does not catch fire in air even upto 400°C;(d) It has a polymeric structure;"(d) It has a polymeric structure
Explanation:
Red phosphorus is less reactive because of its gaint polymeric structure."
Which of the following will not produce hydrogen gas?;(a) Reaction between Fe and dil. HCl;(b) Reaction between Zn and NaOH;(c) Reaction between Zn and conc. H2SO4;(d) Electrolysis of NaCl in Nelsons cell;"(c) Reaction between Zn and conc. H2SO4
Explanation:
Concentrated sulphuric acid reacts with Zn to give SO2 and not H2"
Which of the following statement is correct?;(a) Copper (I) metaborate is colourless;(b) Copper (II) metaborate is colourless;(c) Copper (II) metaborate is light green;(d) Copper (I) metaborate is dark green;"(a) Copper (I) metaborate is colourless
Explanation:
Copper (II) metaborate is bluish green and colour of Copper (I) metaborate is blue in colour."
The structure of diBorane contains;(a) Four 2c – 2e bonds and two 3c – 2e bonds;(b) Two 2c – 2e bonds and two 3c – 2e bonds;(c) Two 2c – 2e bonds and two 3c – 3e bonds;(d) Four 2c – 2e bonds and four 3c – 2e bonds;"(a) Four 2c – 2e bonds and two 3c – 2e bonds
Explanation:
According to molecular orbital theory, each of the two boron atoms is in sp³ hybrid state. Of the four hybrid orbitals, three have one electron each while the fourth is empty. Two of the four orbitals of each of the boron atom overlap with two terminal hydrogen atoms forming two normal B – H σ-bonds. One of the remaining hybrid orbital (either filled or empty) of one of the boron atoms, 1s orbital of hydrogen atoms (bridge atom) and one of hybrid orbitals of the other boron atom overlap to form a delocalised orbital covering the three nuclei with a pair of electrons. Such a bond is known as three centre two electron (3c – 2e) bonds
"
Which is not the correct statement for Boron?;(a) It exhibits Allotropy;(b) It exists in both crystalline and Amorphous form;(c) It forms solid chlorides;(d) It forms volatile hydrides.;"(c) It forms solid chlorides
Explanation:
Boron exists in amorphous and crystalline state and exhibit allotropy.
It forms numerous volatile hydrides which spontaneously catch fire on exposure to air and are easily hydrolysed.
The chlorides of Boron is liquid, it fumes in most air and readily hydrolysed by water."
Oxygen gas can be prepared from solid KMnO4 by:;(a) Dissolving the solid in dil. HCl;(b) Dissolving the solid in conc. H2SO4;(c) Treating the solid with H2 gases;(d) Strongly heating the solid;"(d) Strongly heating the solid
Explanation:
Oxygen gas can be prepared from solid KMnO4
250°C
2KMnO4 → KMnO4 + MnO2 + O2"
In the upper layers of atmosphere ozone is formed:;(a) By action of electric discharge on oxygen molecule;(b) By action of ultraviolet rays on oxygen molecule;(c) By action of infrared rays on oxygen molecule;(d) Due to sudden drops of pressure;"(b) By action of ultraviolet rays on oxygen molecule
Explanation:
In the upper layer of atmosphere, the Ultraviolet rays (UV rays) split the molecule of oxygen (O2) into its constituent 2 atoms.
Each of the atom then combine with another oxygen (O2) molecule which gives rise to Ozone (O3)."
Among the C-X bond (where, X = Cl, Br, l) the correct decreasing order of bond energy is;(a) C−I > C−Cl > C−Br;(b) C−I > C−Br > C−Cl;(c) C−Cl > C−Br > C−I;(d) C−Br > C−Cl > C−I;"(c) C−Cl > C−Br > C−I
Explanation:
Among the C-X bond (where , X = Cl, Br, I), the correct decreasing order of bond energy is
C−Cl > C−Br > C−l"
Which of the following oxidation states are most characteristic for lead and tin respectively?;(a) 2, 2;(b) 4, 2;(c) 2, 4;(d) 4, 4;"(c) 2, 4
Explanation:
Due to inert pair effect, ns² electron pair of Pb does not participate in bonding. Thus, +2 is the most characteristic oxidation state for Pb. However, for Sn, the inert pair effect is not so strong Thus, +4 is the most characteristic oxidation state for Sn."
When excess of Kl is added to copper sulphate solution:;(a) Cuprous iodide is formed;(b) l2 is liberated;(c) Potassium iodide is oxidized;(d) All;"(d) All
Explanation:
It is an redox reaction which occurs when the iodide ion will reduce the copper (II) ion to copper(I) while iodide itself is oxidized to elemental iodine. Like most copper (I) compounds, Cul is insoluble in water.
KI + 2CuSO4 (aq) → Cu2l2(s) + l2(s) + 2K2SO4(aq)"
