0;1;2;3;4;Answer
The angular velocity depends upon the rate of change of the?;(a) Angular acceleration;(b) Angular Distance.;(c) Angular Displacement.;(d) torque;(c) Angular Displacement.
A small body attached at the end of an inextensible string completes a vertical circle, then its;(a) angular momentum remains constant;(b) linear momentum remains constant;(c) angular velocity remains constant;(d) total mechanical energy remains constant;(d) total mechanical energy remains constant
A cyclist goes round a circular path of circumference 343 m in s. The angle made by him, with the vertical is;(a) 440;(b) 420;(c) 430;(d) 450;(d) 450
A body makes a displacement of 4 m due East from a point O and then makes displacement of 3 m due North. Its resultant displacement from O;(a) 7 m;(b) 1 m;(c) 5 m;(d) 1 . 2 m;(c) 5 m
A body is traveling in a circle at constant speed. It;(a) has an inward acceleration;(b) has constant velocity.;(c) has no acceleration;(d) has an outward radial acceleration;(a) has an inward acceleration
When a body P moves on a circular path, the centripetal acceleration is;(a) directed inwards from P, to the centre of the circle;(b) directed tangential to the circumference of the circle, at P;(c) directed perpendicular to the planc of the circle, at P;(d) directed outward, perpendicular to the circumference of the circle;(a) directed inwards from P, to the centre of the circle
A coin kept on a rotating gramophone disc just begins to slip if its centre is at a distance of 8 cm from the centre of the disc. The angular velocity of the gramophone disc is then doubled. Through what distance, the coin should be shifted towards the centre, so that the coin will just slip?;(a) 2 cm;(b) 6 cm;(c) 16 cm;(d) 4 cm;(a) 2 cm
A can filled with water is revolved in a vertical circle of radius 4 metre and the water does not fall down. The time period of revolution will be;(a) 4 sec;(b) 10 sec;(c) 8 sec;(d) 1 sec;(a) 4 sec
When angular velocity changes with respect to time then?;(a) an angular acceleration is produced;(b) a linear acceleration is produced;(c) it constitute a couple;(d) a linear velocity is produced;(a) an angular acceleration is produced
The total flight requires a time that is?;(a) four times the time necessary to reach the maximum height.;(b) thrice the time necessary to reach the maximum height;(c) equal to the time necessary to reach the maximum height.;(d) twice the time necessary to reach the maximum height;(d) twice the time necessary to reach the maximum height
The path followed by a projectile is called its?;(a) Territory;(b) Treasury;(c) Tractor;(d) Trajectory;(d) Trajectory
One radian is defined to be the angle subtended where the arc length S is exactly equal to the?;(a) radius of the circle.;(b) diameter of the circle.;(c) circumference of the circle.;(d) half of radius of the circle.;(a) radius of the circle.
A car sometimes overturns while taking a turn. When it overturns, it is;(a) the inner wheel which leaves the ground first;(b) either inner wheel or the outer wheel leaves the ground;(c) both the wheel leave the ground simultaneously;(d) the outer wheel which leaves the ground first;(a) the inner wheel which leaves the ground first
A body travels along the circumference of a circle of radius 2 m with a linear velocity of 6 m/s . Then its angular velocity is;(a) 6 rad /s;(b) 3 rad /s;(c) 2 rad / s;(d) 4 rad / s;(b) 3 rad /s
The centripetal component of acceleration arises when?;(a) The direction of motion is changed.;(b) The direction propagation is changed.;(c) The direction of gravity is changed.;(d) The direction of projectile is changed.;(a) The direction of motion is changed.
The word centripetal is derived from two Greek words meaning?;(a) Seeking the situation.;(b) Seeking the centre.;(c) Touching the centre.;(d) Leaving the centre.;(b) Seeking the centre.
A car is moving with a speed of 30 m/s on a circular path of radius 500 m. Its speed is increasing at the rate of 2 m/s². The acceleration of the car is;(a) 2 m/s²;(b) 9.8 m/s²;(c) 1.8 m/2;(d) 2.7 m/s²;(d) 2.7 m/s²
One radian is equal to?;(a) 57.7o;(b) 53.7o;(c) 59.3o;(d) 57.3o;(d) 57.3o
A body is moving along a circle with an increasing speed. It possesses?;(a) centripetal acceleration only (ac);(b) tangential acceleration only (ar);(c) both tangential and centripetal acceleration (ar and ac);(d) No acceleration;(c) both tangential and centripetal acceleration (ar and ac)
The path of a particle is given by the expression y = at + bt², where a and b are constants . Y is the displacement at time t. Its velocity at any instant is given by;(a) a + 2bt;(b) zero;(c) 2bt;(d) at;(a) a + 2bt
