0;1;2;3;4;Answer
An atom stays in an excited state for about:;(a) 10 micro seconds;(b) 10 milli seconds;(c) 10 nano seconds;(d) 10 seconds;(c) 10 nano seconds
The energy equivalent to one atomic mass unit is :;(a) 1.6 × 10-19 J;(b) 6.02 × 1023 J;(c) 9.31 MeV;(d) 931 MeV;(d) 931 MeV
Who explained the splitting of special lines in magnetic field?;(a) Zeeman;(b) Bohr;(c) Summerfield;(d) Einstein;(a) Zeeman
The mass of a neutron is:;(a) 1.00866 u;(b) 1.0866 u;(c) 1.866 u;(d) 0.1866 u;(a) 1.00866 u
Isobars have the same:;(a) A;(b) Z;(c) N;(d) All the above;(a) A
Isotones have the same:;(a) A;(b) Z;(c) N;(d) All the above;(c) N
Half-life of a substance depends on:;(a) pressure;(b) temperature;(c) density;(d) None of these;(d) None of these
The concept of electron spin was introduced by:;(a) Becquerel;(b) Goudsmit;(c) Millikan;(d) Uhlenbeek and Goudsmit;(d) Uhlenbeek and Goudsmit
The principle that a quantum orbital cannot be occupied by more than two electrons was given by:;(a) Pauli;(b) Millikan;(c) Hund;(d) None of these;(a) Pauli
For ionization of excited Hydrogen atom, the, required energy is:;(a) a little less than 13.6;(b) equal to 13.6;(c) more than 13.6;(d) 3.4 or less;(d) 3.4 or less
According to Bohr’s theory of hydrogen atom, the radius r of stationary orbit are related to principal quantum number n as:;(a) rg ∝ \(\frac{1}{n^2}\);(b) rg ∝ \(\frac{1}{n}\);(c) rg ∝ n;(d) rg ∝ n²;(d) rg ∝ n²
Fg and Fe represents the gravitational and electrostatic force respectively between two electrons situated at some distance the ratio \(\frac{F_g}{F_e}\) is if the order of:;(a) 9.8;(b) 109;(c) 1042;(d) 10-42;(d) 10-42
Artificial radioactivity was discovered by:;(a) Joliot;(b) Becquerel;(c) Pauli;(d) None of these;(a) Joliot
P-decay produces:;(a) isobars;(b) isotopes;(c) isotones;(d) All the above;(a) isobars
Natural radioactivity was discovered by:;(a) Joliot;(b) Becquerel;(c) Pauli;(d) None of these;(b) Becquerel
Transmutation of nuclei was discovered by:;(a) Rutherford;(b) Becquerel;(c) Pauli;(d) None of these;(a) Rutherford
The energy equivalent to mass defect is called :;(a) binding energy;(b) internal energy;(c) external energy;(d) enthalpy;(a) binding energy
The total energy that will be released if a nucleus is built from its constituents is called the:;(a) binding energy of the nucleus;(b) binding energy of the solid;(c) binding energy of the atom;(d) None of these;(a) binding energy of the nucleus
The binding energy of \(_{2}^{4}\)He is about:;(a) 28.3 eV;(b) 28.3 MeV;(c) 28.3 J;(d) 2.83 MeV;(b) 28.3 MeV
The binding energy of a deuteron is about:;(a) 2.22 MeV;(b) 2.22 J;(c) 2.22 eV;(d) None of these;(a) 2.22 MeV
